Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Czech1Czech2,9,13,35,2.69231,58,4.46154,12,12,4,6,25,35,1.4,58,2.32,88.8,12,0.48,3,22,32,50,2.27273,10,0.454545,7,0.318182,87.6364,2,3,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,92,15,35,2.33333,83.3333,6,0,9,22,4,2.44444,85.8889,0,6,13,2,2.16667,79.5,0,0,0,0,0,0,0,
Mord,9,12,33,2.75,53,4.41667,11,10,4,1,24,33,1.375,53,2.20833,89.8333,11,0.458333,1,18,24,41,2.27778,8,0.444444,2,0.111111,93.6667,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,5,6,9,1.8,2,0.4,2,0.4,74,15,29,1.93333,73.7333,5,2,14,26,4,1.85714,71.8571,2,1,3,1,3,100,0,0,0,0,0,0,0,
Whooboy,9,8,14,1.75,34,4.25,6,4,7,3,16,14,0.875,34,2.125,83.875,6,0.375,1,12,14,27,2.25,4,0.333333,0,0,86.4167,2,0,6,3,2,1,0,0,100,0,0,0,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,52.5,14,30,2.14286,82.6429,6,0,11,21,3,1.90909,77.9091,0,3,9,3,3,100,0,0,0,0,0,0,0,
Angry Russian,9,9,30,3.33333,43,4.77778,10,6,4,1,18,30,1.66667,43,2.38889,93.7778,10,0.555556,3,5,3,10,2,1,0.2,1,0.2,89.6,12,24,30,2.5,8,0.666667,4,0.333333,95,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,13,25,1.92308,71.0769,4,2,11,22,3,2,71.7273,1,1,3,1,3,100,0,1,0,0,0,35,1,
Deadpool,9,3,8,2.66667,13,4.33333,2,0,6,2,6,8,1.33333,13,2.16667,88.3333,2,0.333333,1,2,2,3,1.5,0,0,1,0.5,77.5,4,6,10,2.5,2,0.5,0,0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,1.88889,83.1111,3,0,7,11,1,1.57143,78.2857,0,2,6,2,3,100,0,0,0,0,0,0,0,
beteljuice,9,7,20,2.85714,33,4.71429,6,2,11,1,14,20,1.42857,33,2.35714,91,6,0.428571,2,1,0,2,2,0,0,0,0,64,9,8,19,2.11111,2,0.222222,2,0.222222,90,4,12,12,3,4,1,4,1,100,0,0,0,0,0,0,0,0,0,18,36,2,75.2222,5,0,14,29,4,2.07143,82.0714,0,1,3,1,3,100,0,3,4,0,1.33333,35,0,
Simlin,9,4,6,1.5,17,4.25,2,4,2,1,8,6,0.75,17,2.125,78.25,2,0.25,0,7,6,15,2.14286,2,0.285714,0,0,77.2857,1,0,2,2,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,2.4,83.4,2,0,4,9,1,2.25,79.25,0,1,3,1,3,100,0,0,0,0,0,0,0,
Frog,9,11,26,2.36364,43,3.90909,8,12,10,0,22,26,1.18182,43,1.95455,82.5909,8,0.363636,3,10,8,19,1.9,2,0.2,3,0.3,82.5,10,18,23,2.3,6,0.6,5,0.5,86,0,0,0,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,66,20,35,1.75,72.05,4,0,19,34,4,1.78947,73.7895,0,0,0,0,0,0,0,1,1,0,1,39,0,
Soulsek,9,6,18,3,30,5,6,5,6,2,12,18,1.5,30,2.5,87.9167,6,0.5,0,4,0,8,2,0,0,0,0,75.75,6,12,16,2.66667,4,0.666667,2,0.333333,92,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,12,19,1.58333,76.8333,2,1,10,14,1,1.4,75,1,2,5,1,2.5,86,0,0,0,0,0,0,0,
UTiger13,9,9,17,1.88889,34,3.77778,5,8,13,5,18,17,0.944444,34,1.88889,78.5556,5,0.277778,0,15,14,29,1.93333,4,0.266667,3,0.2,80.6,2,3,4,2,1,0.5,0,0,82,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,0,0,41,20,40,2,79.55,5,1,15,27,2,1.8,74.8,1,5,13,3,2.6,93.8,0,0,0,0,0,0,0,
