Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Yash Trivedi,9,1,3,3,5,5,1,0,1,0,2,3,1.5,5,2.5,75,1,0.5,0,0,0,0,0,0,0,0,0,0,2,3,5,2.5,1,0.5,1,0.5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.5,74,1,1,2,3,1,1.5,74,1,0,0,0,0,0,0,0,0,0,0,0,0,
Czech1Czech2,9,22,65,2.95455,97,4.40909,21,16,9,13,43,65,1.51163,97,2.25581,87.8605,21,0.488372,5,36,56,83,2.30556,18,0.5,10,0.277778,90.2222,3,6,9,3,3,1,1,0.333333,100,0,0,0,0,0,0,0,0,0,4,3,5,1.25,0,0,2,0.5,57.5,29,67,2.31034,84.7586,11,0,16,36,5,2.25,81.875,0,13,31,6,2.38462,88.3077,0,0,0,0,0,0,0,
Mord,9,16,35,2.1875,67,4.1875,12,13,4,3,31,35,1.12903,67,2.16129,88,12,0.387097,3,23,24,51,2.21739,9,0.391304,2,0.0869565,91.087,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,7,11,13,1.85714,2,0.285714,2,0.285714,76.1429,19,38,2,78.7895,6,2,16,31,5,1.9375,75.1875,2,3,7,1,2.33333,98,0,0,0,0,0,0,0,
Whooboy,9,16,44,2.75,73,4.5625,17,6,8,8,32,44,1.375,73,2.28125,87.0938,17,0.53125,1,25,38,58,2.32,13,0.52,0,0,87.6,3,3,9,3,3,1,0,0,100,0,0,0,0,0,0,0,0,0,4,3,6,1.5,1,0.25,0,0,74.25,23,54,2.34783,84.6087,12,0,15,30,4,2,76.4,0,8,24,8,3,100,0,0,0,0,0,0,0,
Angry Russian,9,11,30,2.72727,48,4.36364,10,7,5,2,22,30,1.36364,48,2.18182,90.0455,10,0.454545,4,5,3,10,2,1,0.2,1,0.2,89.6,14,24,34,2.42857,8,0.571429,4,0.285714,94.5,1,3,3,3,1,1,1,1,100,2,3,1,0.5,0,0,0,0,55,16,31,1.9375,71.5625,5,2,13,25,3,1.92308,70,1,2,6,2,3,100,0,1,0,0,0,35,1,
Deadpool,9,3,8,2.66667,13,4.33333,2,0,6,2,6,8,1.33333,13,2.16667,88.3333,2,0.333333,1,2,2,3,1.5,0,0,1,0.5,77.5,4,6,10,2.5,2,0.5,0,0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,1.88889,83.1111,3,0,7,11,1,1.57143,78.2857,0,2,6,2,3,100,0,0,0,0,0,0,0,
beteljuice,9,16,53,3.3125,76,4.75,17,5,40,2,31,53,1.70968,76,2.45161,92.5161,17,0.548387,5,1,0,2,2,0,0,0,0,64,22,29,50,2.27273,9,0.409091,8,0.363636,91.0909,8,24,24,3,8,1,8,1,100,0,0,0,0,0,0,0,0,0,56,103,1.83929,73.4643,11,4,46,88,9,1.91304,77.6957,2,2,6,2,3,100,0,8,9,0,1.125,42.5,2,
Ohio-Legend-216,9,5,14,2.8,21,4.2,4,3,2,3,10,14,1.4,21,2.1,87,4,0.4,1,9,12,19,2.11111,4,0.444444,2,0.222222,89.8889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,61,7,14,2,77.4286,2,1,3,6,0,2,73.3333,0,3,8,2,2.66667,99.6667,0,1,0,0,0,23,1,
Simlin,9,4,6,1.5,17,4.25,2,4,2,1,8,6,0.75,17,2.125,78.25,2,0.25,0,7,6,15,2.14286,2,0.285714,0,0,77.2857,1,0,2,2,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,2.4,83.4,2,0,4,9,1,2.25,79.25,0,1,3,1,3,100,0,0,0,0,0,0,0,
Frog,9,20,50,2.5,83,4.15,16,17,24,1,40,50,1.25,83,2.075,85.175,16,0.4,7,21,20,43,2.04762,6,0.285714,6,0.285714,84.4762,15,27,36,2.4,9,0.6,6,0.4,90.5333,0,0,0,0,0,0,0,0,0,4,5,4,1,1,0.25,1,0.25,68.75,43,76,1.76744,71.7907,8,1,41,74,8,1.80488,72.8781,1,1,1,0,1,60,0,1,1,0,1,39,0,
