Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Evan Hardluck,9,1,0,0,4,4,0,0,1,1,2,0,0,4,2,68,0,0,0,2,0,4,2,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,84,1,0,1.98571,2,5,1,2.5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,
Slim Shady,9,8,15,1.875,33,4.125,5,5,13,3,16,15,0.9375,33,2.0625,79.625,5,0.3125,1,4,3,9,2.25,1,0.25,0,0,80.5,8,12,19,2.375,4,0.5,0,0,89.625,0,0,0,0,0,0,0,0,0,4,0,5,1.25,0,0,0,0,58.75,20,37,1.85,73.35,5,1,2.53442,18,32,4,1.77778,71.6111,1,2,5,1,2.5,89,0,0,0,0,0,0,0,
Chief Aarya,9,3,12,4,15,5,4,0,3,0,6,12,2,15,2.5,90.6667,4,0.666667,0,1,0,2,2,0,0,0,0,73,3,6,7,2.33333,2,0.666667,1,0.333333,90.3333,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,6,14,2.33333,85.3333,3,0,2.01493,6,14,3,2.33333,85.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris,10,18,47,2.61111,73,4.05556,9,14,8,5,36,47,1.30556,73,2.02778,80.9167,9,0.25,2,15,23,30,2,3,0.2,8,0.533333,78.4,17,18,32,1.88235,3,0.176471,4,0.235294,80.7059,0,0,0,0,0,0,0,0,0,4,6,11,2.75,3,0.75,2,0.5,91.25,26,51,1.96154,72.2692,6,2,1.41082,19,40,4,2.10526,77.1579,0,3,8,2,2.66667,89,0,4,3,0,0.75,36.5,2,
Czech1Czech2,9,17,39,2.29412,74,4.35294,13,8,9,11,32,39,1.21875,74,2.3125,88.5312,13,0.40625,1,21,26,49,2.33333,9,0.428571,5,0.238095,90.4286,8,9,20,2.5,4,0.5,0,0,93.75,0,0,0,0,0,0,0,0,0,3,4,5,1.66667,0,0,2,0.666667,61.3333,26,56,2.15385,85.2692,10,0,1.62259,14,29,5,2.07143,85.4286,0,11,24,4,2.18182,83.7273,0,1,3,1,3,100,0,
Mord,9,8,31,3.875,39,4.875,9,2,5,5,16,31,1.9375,39,2.4375,88.5,9,0.5625,1,7,15,19,2.71429,5,0.714286,1,0.142857,98.4286,5,12,14,2.8,4,0.8,1,0.2,95.8,0,0,0,0,0,0,0,0,0,4,4,6,1.5,0,0,2,0.5,62,13,31,2.38462,90.8462,6,0,1.70179,8,17,2,2.125,85.25,0,5,14,4,2.8,99.8,0,0,0,0,0,0,0,
Karen,9,12,23,1.91667,48,4,8,3,3,7,24,23,0.958333,48,2,79.875,8,0.333333,0,10,12,23,2.3,4,0.4,2,0.2,87.7,7,9,18,2.57143,4,0.571429,1,0.142857,91.1429,0,0,0,0,0,0,0,0,0,7,2,7,1,0,0,1,0.142857,57.4286,15,37,2.46667,81.4,9,0,1.27686,7,17,3,2.42857,88.1429,0,6,18,6,3,100,0,2,2,0,1,2,0,
Whooboy,9,16,48,3,70,4.375,17,9,14,9,31,48,1.54839,70,2.25806,82.2903,17,0.548387,1,16,30,41,2.5625,11,0.6875,3,0.1875,94,8,18,22,2.75,6,0.75,1,0.125,91.625,0,0,0,0,0,0,0,0,0,7,0,7,1,0,0,0,0,44.8571,29,56,1.93103,76.3448,9,1,1.84873,23,41,6,1.78261,73.6522,1,6,15,3,2.5,86.6667,0,0,0,0,0,0,0,
MrBates,9,1,3,3,5,5,1,0,1,0,2,3,1.5,5,2.5,93,1,0.5,0,0,0,0,0,0,0,0,0,0,2,3,5,2.5,1,0.5,1,0.5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,92,1,0,1.92647,2,5,1,2.5,92,0,0,0,0,0,0,0,0,0,0,0,0,0,
Avra's Secret,9,2,3,1.5,8,4,1,0,3,0,4,3,0.75,8,2,82.5,1,0.25,0,1,0,1,1,0,0,0,0,69,3,3,7,2.33333,1,0.333333,1,0.333333,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,76.6,2,0,2.40909,4,9,2,2.25,83.5,0,0,0,0,0,0,0,1,1,0,1,49,0,
