version,1,reserved,reserved,reserved,reserved,reserved
Titans Legacy,,,Paradox,YPGC02P9,,S1
25,,,,,,
2019/01/18,,,,,,
1,greencheese,12,LRV2QGYR,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Atticus,12,R80VVQJP,,12,
4,Damage Inc,12,J9Q28P2,,12,
5,BringerOfRain,12,Y8V0C2PU,,12,
6,Blackhawk,12,LVRYJQG,,12,
7,Ryan,12,GYLQ2GPY,,12,
8,Black-ops 500,12,2L2VP0G,,12,
9,kittykat,12,YR2GG8UY,,12,
10,Atlas,12,RJ9PJ9CC,,12,
11,Scott_218,12,UUYYPYC9,,12,
12,Scott_212,12,CQQR8QYY,,12,
13,Sgt Baker,12,QJLUV9LC,,12,
14,Yamato,12,R00ULQYL,,12,
15,Daddy,12,RR2YCRY2,,12,
16,Fergus Maximus,12,YJUP908U,,12,
17,James,12,2PJUGPCPV,,12,
18,Jacob,12,PPVU2G8R,,12,
19,ZeroGage,12,LQCVQJ9G,,12,
20,Anna,12,9QPV9VGY,,12,
21,black dragon,12,28YL99VPY,,12,
22,Broken Heart,12,CV0CP8LO,,12,
23,Celebpi,12,QGR0CCQR,,12,
24,Lucy,12,P889YLR2,,12,
25,kokobeast,12,CQ8RJ2R9,,12,
1,2,58,2,2,,
2,2,93,11,1,,
3,1,72,12,4,,
4,,,5,3,2,72
5,2,79,5,17,,
6,,,3,8,2,72
7,2,74,25,23,,
8,3,100,5,6,,
9,2,76,2,3,,
10,2,79,4,22,,
11,1,49,23,25,,
12,,,1,3,2,92
13,,,24,17,2,70
14,2,70,4,21,,
15,,,8,16,2,60
16,1,65,25,24,,
17,,,13,5,2,57
18,2,88,9,12,,
19,2,55,3,20,,
20,,,20,16,2,84
21,,,23,17,2,53
22,,,21,22,1,59
23,1,42,23,24,,
24,2,51,6,25,,
25,1,31,6,19,,
26,2,78,14,14,,
27,2,68,21,7,,
28,,,14,8,2,85
29,2,72,21,9,,
30,,,16,24,2,86
31,2,74,1,13,,
32,2,79,14,10,,
33,2,57,3,18,,
34,2,59,7,16,,
35,1,47,19,15,,
36,,,22,18,3,100
37,,,15,19,0,47
38,,,18,18,1,53
39,,,15,15,2,63
40,,,12,13,2,83
41,,,4,9,2,75
42,2,85,11,8,,
43,2,58,12,11,,
44,2,93,7,24,,
45,2,60,10,4,,
46,,,7,13,1,35
47,,,10,10,2,84
48,,,9,9,0,48
49,2,70,10,5,,
50,,,17,10,1,66
51,,,11,24,2,58
52,,,25,5,1,55
53,1,57,24,19,,
54,2,62,20,19,,
55,1,51,24,15,,
56,1,73,20,15,,
57,2,62,9,15,,
58,,,9,20,1,71
59,2,74,16,25,,
60,,,6,11,2,55
61,1,63,16,20,,
62,,,2,12,2,69
63,,,19,15,2,82
64,,,21,14,1,63
65,,,25,11,3,100
66,,,21,19,1,72
67,2,72,19,25,,
68,,,21,7,2,86
69,2,85,17,23,,
70,3,100,15,11,,
71,1,89,8,23,,
72,,,18,7,1,68
73,,,7,12,2,68
74,2,84,22,25,,
75,2,50,8,20,,
76,1,68,15,18,,
77,2,73,1,20,,
78,,,18,23,0,28
79,1,59,18,21,,
80,2,55,13,25,,
81,,,18,2,1,58
82,,,17,4,2,78
83,,,18,25,2,83
84,,,9,2,1,55
85,,,9,25,1,61
86,,,9,23,1,38
87,,,9,22,1,62
88,1,56,13,24,,
89,,,9,4,2,75
90,,,18,20,2,66
91,1,72,17,25,,
