version,1,reserved,reserved,reserved,reserved,reserved
Fun,,,Paradox,YPGC02P9,,S1
25,,,,,,
2019/01/20,,,,,,
1,greencheese,12,LRV2QGYR,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Atticus,12,R80VVQJP,,12,
4,Damage Inc,12,J9Q28P2,,12,
5,BringerOfRain,12,Y8V0C2PU,,12,
6,Blackhawk,12,LVRYJQG,,12,
7,Ryan,12,GYLQ2GPY,,12,
8,Black-ops 500,12,2L2VP0G,,12,
9,kittykat,12,YR2GG8UY,,12,
10,Atlas,12,RJ9PJ9CC,,12,
11,Scott_218,12,UUYYPYC9,,12,
12,Scott_212,12,CQQR8QYY,,12,
13,Sgt Baker,12,QJLUV9LC,,12,
14,Yamato,12,R00ULQYL,,12,
15,James,12,2PJUGPCPV,,12,
16,Daddy,12,RR2YCRY2,,12,
17,Fergus Maximus,12,YJUP908U,,12,
18,Broken Heart,12,CV0CP8LO,,12,
19,black dragon,12,28YL99VPY,,12,
20,Celebpi,12,QGR0CCQR,,12,
21,Lucy,12,P889YLR2,,12,
22,G Squad,12,JJPVG0GJ,,12,
23,kokobeast,12,CQ8RJ2R9,,12,
24,Delivering Chaos,12,YRVGGUG8,,12,
25,g-solo,12,QR9PU9CU,,12,
1,,,10,10,2,62
2,,,25,4,1,73
3,,,8,7,2,57
4,,,2,13,2,55
5,,,9,1,2,57
6,0,48,25,25,,
7,1,92,10,15,,
8,1,38,11,1,,
9,1,43,20,20,,
10,,,4,9,1,70
11,,,24,1,2,63
12,,,23,24,2,55
13,,,7,10,1,38
14,,,12,12,1,93
15,,,6,7,2,59
16,1,69,23,25,,
17,2,70,14,10,,
18,2,63,21,21,,
19,2,74,19,5,,
20,,,5,13,2,69
21,2,59,3,3,,
22,3,100,23,22,,
23,2,53,15,23,,
24,2,65,19,8,,
25,2,56,3,2,,
26,,,1,23,2,76
27,2,58,12,7,,
28,,,25,17,2,64
29,2,82,2,4,,
30,2,58,11,24,,
31,2,67,17,17,,
32,2,50,21,19,,
33,2,75,12,1,,
34,2,68,17,14,,
35,2,66,14,20,,
36,2,55,7,6,,
37,2,77,5,11,,
38,1,57,2,9,,
39,2,93,5,16,,
40,1,40,25,24,,
41,2,60,6,18,,
42,2,65,7,25,,
43,,,20,16,1,63
44,,,13,16,2,70
45,,,3,23,2,68
46,,,22,12,2,72
47,,,16,2,2,57
48,,,20,17,2,58
49,,,21,9,1,65
50,,,17,22,2,79
51,,,19,21,0,45
52,,,14,20,2,60
53,,,12,22,1,54
54,,,11,2,2,64
55,2,66,8,12,,
56,,,7,20,2,77
57,2,85,8,13,,
58,,,18,4,2,78
59,,,19,24,3,100
60,,,15,18,2,68
61,,,12,14,3,100
62,,,21,19,2,51
63,2,51,1,19,,
64,2,53,15,25,,
65,1,67,9,15,,
66,2,70,4,25,,
67,2,66,1,23,,
68,2,71,9,9,,
69,1,74,6,15,,
70,,,4,11,2,95
71,,,25,6,3,100
72,,,21,11,2,90
73,,,15,6,2,50
74,,,22,18,2,63
75,2,96,10,24,,
76,,,22,14,2,99
77,,,22,15,2,86
78,2,92,4,15,,
79,,,22,3,2,79
80,,,24,3,1,63
81,,,2,19,2,66
82,1,71,13,24,,
83,,,21,15,3,100
84,,,23,25,0,30
85,,,23,5,2,62
86,1,47,22,23,,
87,1,38,20,25,,
88,,,6,5,2,84
89,1,65,16,25,,
90,2,85,13,25,,
91,2,53,22,19,,
92,,,24,25,1,44
93,1,58,24,25,,
