version,1,reserved,reserved,reserved,reserved,reserved
ADE,,,Paradox,YPGC02P9,,S1
25,,,,,,
2019/01/22,,,,,,
1,greencheese,12,LRV2QGYR,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Atticus,12,R80VVQJP,,12,
4,Damage Inc,12,J9Q28P2,,12,
5,BringerOfRain,12,Y8V0C2PU,,12,
6,Blackhawk,12,LVRYJQG,,12,
7,Matt,12,GYUUQCPP,,12,
8,Ryan,12,GYLQ2GPY,,12,
9,Malamutt,12,209PCJ8C,,12,
10,Black-ops 500,12,2L2VP0G,,12,
11,kittykat,12,YR2GG8UY,,12,
12,Street Product,12,LPLR9RY0,,12,
13,Atlas,12,RJ9PJ9CC,,12,
14,Scott_218,12,UUYYPYC9,,12,
15,Scott_212,12,CQQR8QYY,,12,
16,Sgt Baker,12,QJLUV9LC,,12,
17,Daddy,12,RR2YCRY2,,12,
18,Yamato,12,R00ULQYL,,12,
19,James,12,2PJUGPCPV,,12,
20,Fergus Maximus,12,YJUP908U,,12,
21,black dragon,12,28YL99VPY,,12,
22,Celebpi,12,QGR0CCQR,,12,
23,kokobeast,12,CQ8RJ2R9,,12,
24,G Squad,12,JJPVG0GJ,,12,
25,Delivering Chaos,12,YRVGGUG8,,12,
1,,,2,24,2,73
2,2,56,8,2,,
3,2,90,1,1,,
4,,,22,4,3,100
5,,,19,7,2,73
6,2,76,9,9,,
7,,,11,15,1,61
8,,,20,6,2,74
9,1,65,25,19,,
10,1,49,6,25,,
11,2,78,9,10,,
12,,,24,2,2,97
13,2,51,10,3,,
14,2,79,10,4,,
15,,,1,25,2,71
16,2,57,8,12,,
17,1,44,25,11,,
18,,,3,23,1,47
19,1,36,3,7,,
20,1,63,20,20,,
21,,,25,1,2,66
22,1,39,6,20,,
23,2,69,11,23,,
24,2,55,14,21,,
25,,,23,3,2,75
26,,,7,19,1,51
27,2,83,15,14,,
28,2,68,21,6,,
29,1,48,15,17,,
30,2,55,14,24,,
31,1,47,18,8,,
32,1,38,21,13,,
33,2,74,4,25,,
34,2,56,2,15,,
35,2,79,5,22,,
36,2,70,4,20,,
37,2,76,11,7,,
38,1,45,22,18,,
39,1,46,2,16,,
40,2,56,13,17,,
41,2,79,5,16,,
42,,,16,10,2,66
43,,,5,21,2,99
44,,,10,16,2,62
45,2,67,13,5,,
46,1,71,17,8,,
47,,,11,19,2,57
48,1,59,24,19,,
49,,,3,21,2,90
50,,,4,22,2,56
51,,,6,20,2,71
52,1,90,17,19,,
53,,,12,12,2,50
54,,,8,18,2,74
55,,,13,13,2,87
56,,,21,5,2,71
57,,,7,5,2,80
58,,,9,9,1,67
59,2,59,23,19,,
60,,,9,4,2,65
61,1,86,23,24,,
62,2,96,19,25,,
63,,,15,11,2,64
64,,,14,14,1,64
65,,,14,13,3,100
66,,,24,24,2,77
67,,,18,8,2,72
68,,,25,17,3,100
69,2,76,3,18,,
70,,,24,9,1,52
71,,,24,23,2,75
72,,,24,3,1,42
73,,,24,8,2,67
74,1,28,22,13,,
75,,,21,15,2,82
76,,,24,18,2,82
77,,,17,16,2,74
78,,,10,12,2,68
79,1,58,19,21,,
80,2,58,20,11,,
81,,,12,17,2,68
82,,,23,2,2,90
83,2,70,1,8,,
84,,,9,22,2,56
85,1,62,7,13,,
86,,,12,10,2,67
87,0,30,18,13,,
88,,,4,7,2,73
89,,,11,20,1,60
90,,,11,11,2,82
91,2,63,12,13,,
92,2,54,24,24,,
93,,,24,14,3,100
94,2,56,16,25,,
95,,,17,1,2,78
96,,,23,25,2,53
97,,,23,6,2,82
98,2,95,16,24,,
