version,1,reserved,reserved,reserved,reserved,reserved
Blue Iron,,,Paradox,YPGC02P9,,S1
20,,,,,,
2019/01/26,,,,,,
1,greencheese,12,LRV2QGYR,,12,
2,Atticus,12,R80VVQJP,,12,
3,BringerOfRain,12,Y8V0C2PU,,12,
4,Blackhawk,12,LVRYJQG,,12,
5,Ryan,12,GYLQ2GPY,,12,
6,Malamutt,12,209PCJ8C,,12,
7,Sgt Baker,12,QJLUV9LC,,12,
8,kittykat,12,YR2GG8UY,,12,
9,Street Product,12,LPLR9RY0,,12,
10,Scott_218,12,UUYYPYC9,,12,
11,Scott_212,12,CQQR8QYY,,12,
12,Daddy,12,RR2YCRY2,,12,
13,James,12,2PJUGPCPV,,12,
14,Yamato,12,R00ULQYL,,12,
15,Hurrican Heidi,12,R22GYJCC,,12,
16,Fergus Maximus,12,YJUP908U,,12,
17,Chaz,12,20RGCJCR,,12,
18,K9,12,Q2C9JRQP,,12,
19,black dragon,12,28YL99VPY,,12,
20,kokobeast,12,CQ8RJ2R9,,12,
1,,,12,2,2,92
2,3,100,6,20,,
3,2,63,5,12,,
4,2,88,14,8,,
5,,,9,6,2,76
6,,,18,6,2,62
7,,,4,10,1,48
8,2,51,15,15,,
9,,,15,3,2,66
10,2,73,14,1,,
11,,,3,17,2,62
12,,,14,2,3,100
13,2,65,2,3,,
14,2,50,17,11,,
15,,,1,14,2,84
16,,,20,11,2,50
17,,,5,8,2,62
18,,,10,20,2,66
19,2,70,17,10,,
20,,,2,11,2,65
21,2,63,2,9,,
22,,,17,18,0,48
23,,,16,20,1,35
24,1,72,3,16,,
25,2,64,3,14,,
26,,,7,7,2,56
27,,,16,18,1,58
28,1,56,16,5,,
29,3,100,15,17,,
30,2,85,18,19,,
31,2,76,5,5,,
32,2,71,19,6,,
33,2,64,6,18,,
34,,,16,10,2,72
35,,,17,5,2,96
36,3,100,12,7,,
37,2,88,11,2,,
38,1,55,10,13,,
39,,,11,19,2,71
40,2,60,11,4,,
41,1,65,13,19,,
42,2,75,10,16,,
43,2,60,16,13,,
44,,,4,14,2,52
45,,,6,12,2,69
46,2,83,13,18,,
47,,,19,9,3,100
48,,,8,17,2,77
49,,,13,19,2,56
50,,,10,7,2,74
51,1,46,9,18,,
52,,,20,13,2,72
53,,,7,4,3,100
54,1,75,20,18,,
55,1,79,12,13,,
56,,,16,3,2,93
57,,,11,4,3,100
58,,,2,16,2,78
59,1,66,9,11,,
60,1,63,20,14,,
61,,,10,13,2,68
62,,,4,8,2,68
63,,,15,9,1,69
64,,,20,5,2,56
65,,,15,15,2,65
66,2,69,8,19,,
67,,,20,15,2,70
68,2,77,19,19,,
69,,,3,16,2,52
70,,,13,12,2,98
71,3,100,8,18,,
72,,,18,1,2,63
73,,,16,1,2,87
