version,1,reserved,reserved,reserved,reserved,reserved
TugasTeam,,,Paradox,YPGC02P9,,S1
20,,,,,,
2019/01/26,,,,,,
1,Darth Czar,12,YGGCGCVP,,12,
2,Atticus,12,R80VVQJP,,12,
3,BringerOfRain,12,Y8V0C2PU,,12,
4,Ryan,12,GYLQ2GPY,,12,
5,Malamutt,12,209PCJ8C,,12,
6,kittykat,12,YR2GG8UY,,12,
7,Street Product,12,LPLR9RY0,,12,
8,Daddy,12,RR2YCRY2,,12,
9,Scott_218,12,UUYYPYC9,,12,
10,Scott_212,12,CQQR8QYY,,12,
11,James,12,2PJUGPCPV,,12,
12,Hurrican Heidi,12,R22GYJCC,,12,
13,Yamato,12,R00ULQYL,,12,
14,Fergus Maximus,12,YJUP908U,,12,
15,black dragon,12,28YL99VPY,,12,
16,Celebpi,12,QGR0CCQR,,12,
17,kokobeast,12,CQ8RJ2R9,,12,
18,Andrew,12,C8LRG2UL,,12,
19,G Squad,12,JJPVG0GJ,,12,
20,lakasha,12,8CVJVV0U2,,12,
1,,,20,4,3,100
2,,,15,19,1,52
3,2,82,13,2,,
4,,,19,14,2,90
5,1,80,11,20,,
6,2,92,5,19,,
7,,,18,18,3,100
8,,,16,7,2,92
9,,,1,14,2,53
10,,,10,5,2,97
11,,,12,18,3,100
12,,,14,10,2,84
13,,,3,6,2,65
14,2,51,5,20,,
15,,,2,4,2,68
16,,,17,8,2,87
17,2,77,13,3,,
18,2,82,14,5,,
19,,,8,3,2,66
20,,,4,20,2,71
21,1,45,2,13,,
22,,,5,6,2,63
23,,,9,10,2,50
24,,,7,17,1,67
25,,,11,5,2,99
26,,,6,1,2,60
27,2,65,12,17,,
28,2,82,11,18,,
29,,,15,11,2,85
30,2,88,1,14,,
31,,,7,1,2,92
32,,,9,17,2,86
33,,,13,2,2,99
34,2,63,2,12,,
35,,,19,20,2,86
36,,,19,12,2,86
37,2,75,4,11,,
38,2,53,10,8,,
39,2,65,15,6,,
40,3,100,3,9,,
41,2,76,1,7,,
42,2,58,14,16,,
43,2,93,3,10,,
44,,,17,12,2,99
45,2,63,15,4,,
46,2,62,4,15,,
47,2,52,20,13,,
48,2,60,12,1,,
49,1,49,19,20,,
50,,,19,19,2,58
51,2,58,19,19,,
52,1,58,10,16,,
53,2,79,9,11,,
54,1,71,9,15,,
55,,,9,16,2,68
56,0,44,17,20,,
57,,,8,11,2,78
58,3,100,17,19,,
59,2,52,16,20,,
60,1,60,16,17,,
61,1,66,6,20,,
62,2,68,6,17,,
63,,,16,2,3,100
64,1,58,18,20,,
65,2,50,18,18,,
66,,,19,15,2,88
67,,,13,15,2,95
68,2,68,7,20,,
69,,,8,16,2,72
70,,,17,7,1,69
71,,,9,3,2,78
72,,,19,8,2,72
73,,,19,13,2,68
74,,,19,9,2,71
75,2,84,7,18,,
76,,,1,9,2,59
77,,,17,13,3,100
