version,1,reserved,reserved,reserved,reserved,reserved
TugasTeam,,,Paradox,YPGC02P9,,S1
25,,,,,,
2019/01/26,,,,,,
1,Atticus,12,R80VVQJP,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Damage Inc,12,J9Q28P2,,12,
4,Dragon-Fly,12,GQ0G0RJ9R,,12,
5,BringerOfRain,12,Y8V0C2PU,,12,
6,Matt,12,GYUUQCPP,,12,
7,Ryan,12,GYLQ2GPY,,12,
8,Malamutt,12,209PCJ8C,,12,
9,Scott_218,12,UUYYPYC9,,12,
10,kittykat,12,YR2GG8UY,,12,
11,Scott_212,12,CQQR8QYY,,12,
12,Street Product,12,LPLR9RY0,,12,
13,Atlas,12,RJ9PJ9CC,,12,
14,Fergus Maximus,12,YJUP908U,,12,
15,James,12,2PJUGPCPV,,12,
16,Hurrican Heidi,12,R22GYJCC,,12,
17,Yamato,12,R00ULQYL,,12,
18,Eddie,12,JUY29GYY,,12,
19,black dragon,12,28YL99VPY,,12,
20,Celebpi,12,QGR0CCQR,,12,
21,kokobeast,12,CQ8RJ2R9,,12,
22,Andrew,12,C8LRG2UL,,12,
23,G Squad,12,JJPVG0GJ,,12,
24,Delivering Chaos,12,YRVGGUG8,,11,
25,Jr. Blackhawk,11,GPUP2J00,,11,
1,,,1,23,2,51
2,2,64,15,20,,
3,3,100,21,25,,
4,2,84,8,23,,
5,3,100,21,24,,
6,2,77,8,22,,
7,1,73,15,16,,
8,,,5,23,2,57
9,2,83,17,12,,
10,,,23,21,1,78
11,,,24,21,2,86
12,2,95,1,21,,
13,1,46,20,15,,
14,,,16,24,1,43
15,2,67,19,4,,
16,2,80,16,19,,
17,,,21,24,2,68
18,,,20,3,2,74
19,,,25,25,0,43
20,,,12,1,2,68
21,,,3,1,2,68
22,2,76,1,17,,
23,1,40,18,18,,
24,2,76,19,9,,
25,2,94,10,23,,
26,1,64,2,13,,
27,1,48,18,3,,
28,,,25,18,3,100
29,2,57,20,18,,
30,2,85,6,10,,
31,2,93,16,16,,
32,,,14,14,2,64
33,2,85,13,11,,
34,2,57,2,2,,
35,,,11,8,1,49
36,0,48,22,6,,
37,,,2,11,1,82
38,2,67,3,6,,
39,,,22,3,2,85
40,2,90,3,7,,
41,2,77,24,14,,
42,3,100,5,15,,
43,1,30,23,13,,
44,2,85,5,5,,
45,1,39,25,1,,
46,2,68,4,1,,
47,,,23,20,1,52
48,2,75,4,20,,
49,,,8,14,2,58
50,,,4,5,2,57
51,,,19,7,2,69
52,,,23,6,2,50
53,,,18,12,1,64
54,,,24,20,0,38
55,,,17,6,2,57
56,,,15,7,2,85
57,,,18,15,2,71
58,,,24,10,2,57
59,,,6,4,2,85
60,,,13,9,1,65
61,,,10,19,0,41
62,,,7,5,1,31
63,,,23,11,1,49
64,,,10,8,0,32
65,,,10,4,1,45
66,,,9,9,2,70
67,,,13,12,1,45
68,2,56,11,8,,
69,1,49,9,3,,
70,,,24,13,1,70
71,,,7,22,2,57
72,,,10,22,1,50
73,,,22,13,2,87
74,1,60,14,13,,
75,1,39,23,3,,
76,2,52,11,3,,
77,2,73,9,13,,
78,2,70,10,20,,
79,2,67,14,23,,
80,,,16,17,2,58
81,,,23,10,2,71
82,,,13,2,1,45
83,,,13,15,2,72
84,,,10,2,2,52
85,,,11,18,2,50
86,1,84,13,23,,
87,3,100,12,20,,
88,1,46,25,2,,
89,,,23,25,0,40
90,2,84,6,23,,
91,2,70,7,8,,
92,2,82,12,22,,
93,2,78,7,18,,
94,2,62,17,22,,
95,1,93,22,22,,
96,1,94,24,23,,
97,,,24,19,2,64
