version,1,reserved,reserved,reserved,reserved,reserved
Alte Sacke,PP20R88J,,Paradox,YPGC02P9,,19FEB
30,,,,,,
2019/02/11,,,,,,
1,Atticus,12,R80VVQJP,,12,
2,WillX78,12,GGG0LL2J,,12,
3,Darth Czar,12,YGGCGCVP,,12,
4,Damage Inc,12,J9Q28P2,,12,
5,Dragon-Fly,12,GQ0G0RJ9R,,12,
6,Matt,12,GYUUQCPP,,12,
7,BringerOfRain,12,Y8V0C2PU,,12,
8,Blackhawk,12,LVRYJQG,,12,
9,Ryan,12,GYLQ2GPY,,12,
10,kittykat,12,YR2GG8UY,,12,
11,Malamutt,12,209PCJ8C,,12,
12,Girthy Potato,12,G0899089,,12,
13,Sgt Baker,12,QJLUV9LC,,12,
14,Atlas,12,RJ9PJ9CC,,12,
15,Street Product,12,LPLR9RY0,,12,
16,Fergus Maximus,12,YJUP908U,,12,
17,Hurrican Heidi,12,R22GYJCC,,12,
18,Sjcsan,12,2UV9CCCG,,12,
19,James,12,2PJUGPCPV,,12,
20,Yamato,12,R00ULQYL,,12,
21,ZeroGage,12,LQCVQJ9G,,12,
22,Chaz,12,20RGCJCR,,12,
23,Christ,12,LYUR99QL,,12,
24,Eddie,12,JUY29GYY,,12,
25,Broken Heart,12,CV0CP8LO,,12,
26,Anna,12,9QPV9VGY,,12,
27,kokobeast,12,CQ8RJ2R9,,12,
28,Andrew,12,C8LRG2UL,,12,
29,Celebpi,12,QGR0CCQR,,12,
30,Pval the Great,12,GGLJ2RCY,,12,
1,,,26,1,2,80
2,2,78,10,23,,
3,,,9,27,2,87
4,,,21,6,3,100
5,2,58,25,25,,
6,,,12,5,1,86
7,2,66,29,29,,
8,,,20,26,2,59
9,,,12,1,1,67
10,1,51,27,30,,
11,,,1,25,2,75
12,2,85,3,6,,
13,,,25,30,2,68
14,,,4,29,2,62
15,,,6,15,2,54
16,2,60,1,7,,
17,,,2,11,2,71
18,,,27,16,1,88
19,,,18,3,2,91
20,2,51,2,1,,
21,,,27,13,3,100
22,,,23,9,1,69
23,2,57,11,11,,
24,,,13,7,2,68
25,1,62,27,26,,
26,,,28,17,1,79
27,2,65,12,13,,
28,,,19,14,2,75
29,2,54,30,30,,
30,2,56,22,27,,
31,,,28,14,3,100
32,,,10,10,2,63
33,2,51,25,26,,
34,2,55,24,2,,
35,2,74,17,19,,
36,,,8,2,2,74
37,2,91,20,17,,
38,,,30,22,1,82
39,1,48,30,29,,
40,,,15,28,2,77
41,3,100,4,24,,
42,,,24,4,3,100
43,,,29,13,2,98
44,,,3,6,2,95
45,1,65,4,21,,
46,2,80,28,28,,
47,2,66,20,3,,
48,2,55,17,27,,
49,,,22,20,1,75
50,1,52,19,22,,
51,,,11,3,2,77
52,,,30,17,2,80
53,,,23,28,2,92
54,1,42,15,18,,
55,,,14,23,2,55
56,,,7,8,2,88
57,,,17,29,1,72
58,2,66,14,4,,
59,,,12,20,2,56
60,3,100,10,30,,
61,1,46,29,10,,
62,,,22,15,1,71
63,2,54,22,5,,
64,2,55,1,12,,
65,,,5,23,2,72
66,2,83,14,9,,
67,2,65,24,20,,
68,2,65,3,15,,
69,1,73,9,16,,
70,1,56,16,14,,
71,2,53,8,10,,
72,2,56,5,18,,
73,2,64,6,22,,
74,2,66,16,8,,
75,2,69,18,21,,
76,1,48,11,16,,
77,2,71,9,27,,
78,2,68,5,16,,
79,2,58,19,29,,
80,2,63,21,14,,
81,1,73,28,26,,
82,,,1,18,1,50
83,,,17,26,2,64
84,3,100,7,26,,
85,2,67,7,25,,
86,1,85,23,29,,
87,2,70,23,18,,
88,,,22,27,1,58
89,2,58,6,29,,
90,,,16,19,2,86
91,,,22,25,1,59
92,,,22,2,2,70
93,,,6,21,2,73
94,,,29,22,2,87
95,,,2,21,2,65
96,,,19,5,2,58
97,1,46,21,29,,
98,,,10,18,2,82
99,2,65,13,28,,
100,1,77,18,29,,
101,,,25,24,1,73
102,,,29,9,2,60
103,,,30,30,2,84
104,,,29,12,2,70
105,,,29,19,2,84
106,,,29,10,1,71
107,,,12,11,2,87
108,,,20,24,2,80
109,1,65,13,29,,
110,,,26,12,2,60
111,1,55,26,29,,
112,2,53,15,1,,
113,2,51,12,29,,
114,,,30,7,2,97
115,,,26,16,2,80
116,,,14,8,2,74
117,2,69,26,28,,
118,,,30,4,2,77
