version,1,reserved,reserved,reserved,reserved,reserved
TTFlinguers,UQPCPUO,,Paradox,YPGC02P9,,19-Feb
25,,,,,,
2/13/19,,,,,,
1,WillX78,12,GGG0LL2J,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Damage Inc,12,J9Q28P2,,12,
4,Dragon-Fly,12,GQ0G0RJ9R,,12,
5,BringerOfRain,12,Y8V0C2PU,,12,
6,Matt,12,GYUUQCPP,,12,
7,Ryan,12,GYLQ2GPY,,12,
8,kittykat,12,YR2GG8UY,,12,
9,Malamutt,12,209PCJ8C,,12,
10,Girthy Potato,12,G0899089,,12,
11,Sgt Baker,12,QJLUV9LC,,12,
12,Street Product,12,LPLR9RY0,,12,
13,Fergus Maximus,12,YJUP908U,,12,
14,Hurrican Heidi,12,R22GYJCC,,12,
15,Sjcsan,12,2UV9CCCG,,12,
16,James,12,2PJUGPCPV,,12,
17,Yamato,12,R00ULQYL,,12,
18,Eddie,12,JUY29GYY,,12,
19,Broken Heart,12,CV0CP8LO,,12,
20,kokobeast,12,CQ8RJ2R9,,12,
21,Andrew,12,C8LRG2UL,,12,
22,Celebpi,12,QGR0CCQR,,12,
23,The Forsaken,12,CYV8LYCC,,12,
24,Delivering Chaos,12,YRVGGUG8,,12,
25,Pval the Great,12,GGLJ2RCY,,12,
1,2,63,9,9,,
2,1,46,24,19,,
3,2,59,19,20,,
4,,,4,12,2,71
5,2,84,9,25,,
6,2,62,25,24,,
7,,,14,16,2,74
8,2,60,1,1,,
9,,,25,25,2,73
10,1,74,7,22,,
11,,,1,5,1,48
12,,,5,15,2,64
13,2,59,15,15,,
14,,,24,24,3,100
15,3,100,2,3,,
16,2,71,20,23,,
17,,,19,23,2,88
18,,,3,14,2,65
19,2,59,13,2,,
20,,,13,20,2,74
21,,,12,7,2,69
22,2,59,25,25,,
23,2,98,2,12,,
24,2,59,15,21,,
25,2,76,14,19,,
26,1,51,20,11,,
27,,,22,21,2,94
28,2,63,13,10,,
29,1,76,3,22,,
30,,,7,11,1,38
31,,,10,15,2,84
32,2,56,22,18,,
33,2,52,4,14,,
34,2,69,6,17,,
35,0,49,1,5,,
36,2,95,6,7,,
37,1,62,12,16,,
38,2,59,10,13,,
39,2,73,7,4,,
40,1,47,10,8,,
41,2,57,4,8,,
42,2,60,5,22,,
43,2,51,18,5,,
44,2,58,17,6,,
45,2,73,3,11,,
46,1,53,23,23,,
47,2,75,5,21,,
48,2,82,14,16,,
49,2,91,17,19,,
50,,,23,11,2,63
51,,,6,12,1,48
52,,,11,1,2,66
53,,,2,17,2,75
54,,,21,1,2,59
55,,,8,4,2,60
56,,,18,13,2,72
57,,,15,14,2,62
58,,,1,3,2,64
59,,,20,5,2,65
60,2,51,16,25,,
61,,,16,21,2,57
62,2,71,22,25,,
63,1,60,16,24,,
64,2,72,23,21,,
65,,,9,9,2,73
66,,,6,6,2,82
67,2,58,24,25,,
68,,,7,6,2,69
69,2,62,18,21,,
70,,,22,10,2,95
71,,,18,3,2,85
72,,,17,1,2,65
73,,,25,13,2,91
74,,,22,1,2,59
75,1,64,21,23,,
76,,,19,10,2,77
77,,,16,4,1,73
78,,,20,20,1,48
79,1,70,19,25,,
80,,,22,19,2,69
81,1,59,11,23,,
82,1,67,8,14,,
83,2,66,12,24,,
84,,,25,9,2,78
85,,,22,24,2,93
86,,,20,23,3,100
87,,,21,25,1,42
88,,,25,16,2,64
89,1,62,11,21,,
90,,,21,22,3,100
91,,,25,17,2,82
92,1,88,8,25,,
93,2,68,21,21,,
94,,,4,22,0,46
95,,,25,7,1,83
