version,1,reserved,reserved,reserved,reserved,reserved
Iindia,9RVQGPVC,,Paradox,YPGC02P9,,19FEB
25,,,,,,
2019/02/15,,,,,,
1,WillX78,12,GGG0LL2J,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Damage Inc,12,J9Q28P2,,12,
4,Dragon-Fly,12,GQ0G0RJ9R,,12,
5,BringerOfRain,12,Y8V0C2PU,,12,
6,Matt,12,GYUUQCPP,,12,
7,Ryan,12,GYLQ2GPY,,12,
8,kittykat,12,YR2GG8UY,,12,
9,Malamutt,12,209PCJ8C,,12,
10,Girthy Potato,12,G0899089,,12,
11,Sgt Baker,12,QJLUV9LC,,12,
12,Street Product,12,LPLR9RY0,,12,
13,Fergus Maximus,12,YJUP908U,,12,
14,Hurrican Heidi,12,R22GYJCC,,12,
15,Sjcsan,12,2UV9CCCG,,12,
16,James,12,2PJUGPCPV,,12,
17,Yamato,12,R00ULQYL,,12,
18,ZeroGage,12,LQCVQJ9G,,12,
19,Eddie,12,JUY29GYY,,12,
20,black dragon,12,28YL99VPY,,12,
21,Broken Heart,12,CV0CP8LO,,12,
22,kokobeast,12,CQ8RJ2R9,,12,
23,Andrew,12,C8LRG2UL,,12,
24,Celebpi,12,QGR0CCQR,,12,
25,Delivering Chaos,12,YRVGGUG8,,12,
1,2,55,9,9,,
2,2,58,22,2,,
3,,,18,18,2,58
4,1,68,3,21,,
5,2,76,9,23,,
6,,,4,19,2,93
7,,,9,22,1,49
8,1,79,22,3,,
9,,,17,20,2,93
10,,,24,12,2,77
11,2,60,10,17,,
12,,,1,6,2,67
13,,,3,6,1,80
14,,,15,11,3,100
15,,,22,19,2,94
16,2,66,2,1,,
17,,,3,16,1,73
18,,,23,22,2,95
19,,,11,20,1,54
20,,,20,12,2,78
21,,,20,11,3,100
22,,,11,16,1,84
23,,,9,15,2,96
24,,,1,17,1,65
25,,,3,17,2,69
26,,,10,4,2,79
27,,,25,2,3,100
28,,,2,25,1,75
29,,,22,9,2,97
30,,,16,2,3,100
31,,,11,4,2,89
32,,,12,7,2,75
33,,,13,13,1,56
34,0,45,16,25,,
35,2,63,4,20,,
36,,,19,14,1,71
37,2,54,10,25,,
38,,,8,21,2,56
39,2,75,4,22,,
40,2,51,24,12,,
41,2,58,23,24,,
42,,,23,5,1,57
43,2,53,19,5,,
44,,,12,14,2,86
45,,,21,25,2,69
46,2,87,21,19,,
47,,,6,3,2,86
48,,,22,5,2,91
49,2,59,13,3,,
50,,,7,1,2,76
51,2,64,1,6,,
52,,,5,21,2,69
53,,,13,8,0,45
54,,,17,24,2,63
55,1,65,8,21,,
56,,,19,9,3,100
57,1,45,13,7,,
58,,,2,10,2,87
59,,,13,23,2,74
60,1,45,19,4,,
61,2,76,20,8,,
62,,,12,3,1,85
63,2,75,24,16,,
64,,,8,13,2,71
65,2,84,8,18,,
66,,,14,23,0,47
67,,,13,24,2,83
68,2,56,2,15,,
69,2,60,25,14,,
70,2,72,20,11,,
71,1,38,1,13,,
72,,,14,10,1,60
73,,,14,1,2,66
74,2,74,14,21,,
75,1,36,12,10,,
76,2,59,23,7,,
77,,,5,18,2,66
78,1,40,6,4,,
79,,,13,7,2,73
80,2,55,16,24,,
81,2,97,21,13,,
82,1,76,7,10,,
83,2,70,11,4,,
84,2,71,17,10,,
85,2,82,14,20,,
86,2,89,11,25,,
87,2,62,6,25,,
88,2,50,25,25,,
89,1,79,7,24,,
90,2,89,5,24,,
91,2,59,5,18,,
92,2,67,17,25,,
93,,,18,8,2,54
94,2,65,18,25,,
95,1,48,18,24,,
96,,,24,15,2,83
