version,1,reserved,reserved,reserved,reserved,reserved
AfrikaansKook,PQ90GUY,,Paradox,YPGC02P9,,19FEB
30,,,,,,
2019/02/17,,,,,,
1,WillX78,12,GGG0LL2J,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Xtm,12,GPCQRC80,,12,
4,Dragon-Fly,12,GQ0G0RJ9R,,12,
5,BringerOfRain,12,Y8V0C2PU,,12,
6,Matt,12,GYUUQCPP,,12,
7,Ryan,12,GYLQ2GPY,,12,
8,kittykat,12,YR2GG8UY,,12,
9,Malamutt,12,209PCJ8C,,12,
10,Girthy Potato,12,G0899089,,12,
11,Sgt Baker,12,QJLUV9LC,,12,
12,Atlas,12,RJ9PJ9CC,,12,
13,Hurrican Heidi,12,R22GYJCC,,12,
14,Street Product,12,LPLR9RY0,,12,
15,Cheetah,12,YV9VQ22J,,12,
16,Fergus Maximus,12,YJUP908U,,12,
17,Sjcsan,12,2UV9CCCG,,12,
18,James,12,2PJUGPCPV,,12,
19,Yamato,12,R00ULQYL,,12,
20,ZeroGage,12,LQCVQJ9G,,12,
21,Christ,12,LYUR99QL,,12,
22,Glean R,12,QUVUUYOL,,12,
23,Eddie,12,JUY29GYY,,12,
24,Broken Heart,12,CV0CP8LO,,12,
25,kokobeast,12,CQ8RJ2R9,,12,
26,Andrew,12,C8LRG2UL,,12,
27,Celebpi,12,QGR0CCQR,,12,
28,Pike,12,GG9GCVP,,11,
29,Pval the Great,12,GGLJ2RCY,,11,
30,Mclane,11,8GJ29GOG,,10,
1,,,18,18,2,62
2,,,23,23,1,74
3,2,72,19,4,,
4,,,15,15,1,89
5,3,100,29,28,,
6,,,22,22,1,44
7,,,3,24,2,67
8,,,1,27,2,63
9,2,92,25,25,,
10,,,4,24,2,63
11,,,5,23,2,84
12,,,9,9,2,55
13,,,21,22,1,68
14,,,7,7,2,72
15,,,30,29,1,57
16,3,100,25,30,,
17,,,11,11,1,39
18,1,62,29,27,,
19,2,71,9,9,,
20,,,29,29,1,44
21,2,51,12,11,,
22,2,92,3,23,,
23,2,80,18,26,,
24,,,25,25,2,63
25,,,17,17,2,59
26,2,82,11,13,,
27,,,2,13,1,75
28,1,50,3,7,,
29,1,83,28,29,,
30,2,78,24,24,,
31,2,84,19,8,,
32,2,85,23,29,,
33,2,76,12,15,,
34,2,64,6,22,,
35,1,73,15,14,,
36,,,10,12,1,64
37,1,49,15,16,,
38,2,60,16,17,,
39,1,91,5,27,,
40,2,87,9,27,,
41,2,65,23,3,,
42,2,57,10,21,,
43,2,89,28,20,,
44,2,60,11,18,,
45,2,65,18,25,,
46,2,89,7,19,,
47,2,51,10,16,,
48,1,57,30,12,,
49,2,70,21,2,,
50,,,30,26,0,48
51,,,29,26,1,47
52,,,6,8,2,69
53,1,33,27,12,,
54,,,14,7,2,68
55,,,29,21,2,65
56,,,27,2,1,64
57,2,76,16,10,,
58,2,67,30,6,,
59,2,75,7,1,,
60,2,89,6,14,,
61,,,28,14,1,64
62,2,51,14,5,,
63,,,28,4,2,80
64,,,8,3,2,55
65,1,45,13,12,,
66,,,10,27,2,62
67,,,2,2,2,57
68,0,45,20,7,,
69,2,72,13,7,,
70,,,13,5,2,73
71,,,19,18,2,68
72,,,30,21,2,75
73,,,12,3,2,69
74,,,16,10,2,59
75,,,30,30,2,52
76,1,76,5,22,,
77,3,100,2,29,,
78,,,20,20,1,46
79,2,69,26,12,,
80,,,15,11,2,62
81,,,26,16,2,76
82,,,24,16,1,76
83,,,11,5,3,100
84,3,100,2,25,,
85,,,30,28,2,70
86,,,21,10,2,56
87,,,22,17,2,71
88,,,24,8,2,56
89,,,23,9,2,53
90,,,20,4,2,77
91,,,27,12,2,90
92,1,60,4,26,,
93,,,29,6,2,70
94,,,25,6,3,100
95,2,91,8,27,,
96,2,71,8,26,,
97,,,29,30,0,47
98,,,27,20,1,53
99,2,73,21,16,,
100,2,55,27,27,,
101,2,65,1,20,,
102,,,15,13,2,82
103,,,30,14,3,100
104,2,68,20,27,,
105,3,100,14,27,,
106,,,29,1,3,100
107,,,28,1,2,52
108,,,2,15,1,79
109,,,23,25,2,97
110,2,85,1,22,,
