version,1,reserved,reserved,reserved,reserved,reserved
Inglorious,89OYQV8G,,Paradox,YPGC02P9,,19FEB
20,,,,,,
2019/02/20,,,,,,
1,WillX78,12,GGG0LL2J,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Xtm,12,GPCQRC80,,12,
4,BringerOfRain,12,Y8V0C2PU,,12,
5,Matt,12,GYUUQCPP,,12,
6,Ryan,12,GYLQ2GPY,,12,
7,kittykat,12,YR2GG8UY,,12,
8,Malamutt,12,209PCJ8C,,12,
9,Girthy Potato,12,G0899089,,12,
10,Sgt Baker,12,QJLUV9LC,,12,
11,Hurrican Heidi,12,R22GYJCC,,12,
12,Atlas,12,RJ9PJ9CC,,12,
13,Street Product,12,LPLR9RY0,,12,
14,Fergus Maximus,12,YJUP908U,,12,
15,ZeroGage,12,LQCVQJ9G,,12,
16,Yamato,12,R00ULQYL,,12,
17,Christ,12,LYUR99QL,,12,
18,Eddie,12,JUY29GYY,,12,
19,kokobeast,12,CQ8RJ2R9,,12,
20,Celebpi,12,QGR0CCQR,,12,
1,1,89,7,19,,
2,,,4,5,2,92
3,1,74,19,17,,
4,,,1,18,2,57
5,2,60,19,7,,
6,2,58,18,1,,
7,,,10,18,2,54
8,2,90,2,15,,
9,3,100,7,18,,
10,3,100,6,14,,
11,2,98,8,20,,
12,3,100,2,13,,
13,2,83,1,2,,
14,2,94,5,12,,
15,2,62,20,8,,
16,,,2,1,2,68
17,3,100,8,19,,
18,2,88,3,9,,
19,,,17,13,2,63
20,3,100,6,10,,
21,2,51,9,16,,
22,1,42,9,11,,
23,2,74,15,17,,
24,2,82,5,4,,
25,2,66,3,20,,
26,3,100,11,11,,
27,2,67,16,5,,
28,2,84,4,20,,
29,2,64,11,6,,
30,1,64,18,20,,
31,1,80,4,16,,
32,,,18,2,2,73
33,2,67,14,3,,
34,,,3,16,2,56
35,2,91,13,20,,
36,1,74,12,17,,
37,,,6,5,2,70
38,,,5,11,2,90
39,,,13,10,2,84
40,,,20,10,1,70
41,,,20,7,2,67
42,2,85,17,16,,
43,0,35,17,7,,
44,,,12,11,2,59
45,,,19,2,3,100
46,2,54,20,20,,
47,2,65,14,20,,
48,,,16,9,2,72
49,,,9,15,2,97
50,2,75,10,12,,
51,1,73,12,12,,
52,,,15,15,2,88
53,3,100,10,20,,
54,,,8,1,2,59
55,2,75,13,15,,
56,,,11,14,2,81
57,2,76,16,17,,
58,,,7,7,2,62
59,,,14,20,2,65
60,,,15,14,1,52
61,,,20,3,2,83
62,,,13,9,2,75
63,,,20,20,0,47
64,,,18,3,3,100
65,2,63,15,16,,
66,2,53,1,17,,
67,,,16,12,1,62
68,,,1,12,1,43
