version,1,reserved,reserved,reserved,reserved,reserved
TurkYildizlari,QGQJLLOV,,Paradox,YPGC02P9,,19FEB
20,,,,,,
2019/02/22,,,,,,
1,WillX78,12,GGG0LL2J,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Xtm,12,GPCQRC80,,12,
4,Matt,12,GYUUQCPP,,12,
5,Ryan,12,GYLQ2GPY,,12,
6,kittykat,12,YR2GG8UY,,12,
7,Malamutt,12,209PCJ8C,,12,
8,Girthy Potato,12,G0899089,,12,
9,Sgt Baker,12,QJLUV9LC,,12,
10,Hurrican Heidi,12,R22GYJCC,,12,
11,Street Product,12,LPLR9RY0,,12,
12,Fergus Maximus,12,YJUP908U,,12,
13,ZeroGage,12,LQCVQJ9G,,12,
14,Yamato,12,R00ULQYL,,12,
15,Christ,12,LYUR99QL,,12,
16,Eddie,12,JUY29GYY,,12,
17,kokobeast,12,CQ8RJ2R9,,12,
18,Broken Heart,12,CV0CP8LO,,12,
19,Celebpi,12,QGR0CCQR,,12,
20,Andrew,12,C8LRG2UL,,12,
1,,,8,7,2,95
2,,,20,3,3,100
3,2,60,17,1,,
4,,,19,3,3,100
5,,,9,4,3,100
6,2,67,20,7,,
7,2,59,17,6,,
8,,,11,4,2,94
9,,,12,8,2,80
10,,,13,9,2,93
11,,,18,6,3,100
12,,,1,2,2,70
13,,,17,16,2,60
14,,,5,6,2,58
15,2,59,4,16,,
16,2,62,19,9,,
17,,,6,9,1,68
18,,,17,15,1,89
19,,,15,15,3,100
20,,,3,2,2,82
21,2,83,6,20,,
22,,,6,16,2,79
23,2,52,10,10,,
24,,,16,5,1,59
25,,,17,8,1,94
26,1,88,6,19,,
27,2,87,2,15,,
28,2,52,15,2,,
29,2,75,13,17,,
30,2,57,18,18,,
31,1,70,12,12,,
32,2,63,4,14,,
33,1,68,5,3,,
34,2,67,12,11,,
35,2,54,13,13,,
36,1,59,7,19,,
37,2,95,14,5,,
38,2,77,7,12,,
39,2,66,19,3,,
40,2,51,8,8,,
41,2,69,5,19,,
42,1,51,16,4,,
43,1,78,10,15,,
44,1,67,20,20,,
45,2,72,14,4,,
46,1,66,2,20,,
47,2,56,11,20,,
48,,,10,7,1,73
49,,,14,19,2,75
50,,,16,17,2,92
51,,,17,1,2,71
52,,,17,17,3,100
53,,,2,1,0,40
54,,,2,10,3,100
55,,,13,10,2,82
56,,,10,5,2,81
57,,,7,12,2,57
58,2,64,15,10,,
59,1,65,3,20,,
60,,,6,18,2,64
61,,,4,19,2,82
62,1,82,1,14,,
63,2,65,8,18,,
64,2,69,11,16,,
65,3,100,18,19,,
66,2,73,16,20,,
67,,,5,12,2,74
68,,,11,20,2,83
69,,,8,18,2,58
