version,1,reserved,reserved,reserved,reserved,reserved
Persian Golf,8UU8C9YO,,Paradox,YPGC02P9,,19FEB
20,,,,,,
2019/02/24,,,,,,
1,Darth Czar,12,YGGCGCVP,,12,
2,Matt,12,GYUUQCPP,,12,
3,kittykat,12,YR2GG8UY,,12,
4,Malamutt,12,209PCJ8C,,12,
5,Lachance,12,2U2VJ9GG,,12,
6,Girthy Potato,12,G0899089,,12,
7,Hurrican Heidi,12,R22GYJCC,,12,
8,Street Product,12,LPLR9RY0,,12,
9,Cheetah,12,YV9VQ22J,,12,
10,Fergus Maximus,12,YJUP908U,,12,
11,ZeroGage,12,LQCVQJ9G,,12,
12,Yamato,12,R00ULQYL,,12,
13,Christ,12,LYUR99QL,,12,
14,black dragon,12,28YL99VPY,,12,
15,Eddie,12,JUY29GYY,,12,
16,Broken Heart,12,CV0CP8LO,,12,
17,kokobeast,12,CQ8RJ2R9,,12,
18,Cronus and Rhea,12,2CPOLVPVU,,12,
19,Celebpi,12,QGR0CCQR,,12,
20,Andrew,12,C8LRG2UL,,11,
1,,,2,12,2,72
2,,,20,19,2,56
3,1,47,6,10,,
4,3,100,17,20,,
5,2,70,13,2,,
6,,,19,19,2,60
7,,,18,11,2,84
8,,,10,12,2,92
9,,,6,1,1,60
10,,,9,6,2,88
11,,,3,3,2,76
12,2,82,17,17,,
13,2,70,10,11,,
14,,,17,2,2,89
15,2,88,4,4,,
16,,,8,1,3,100
17,,,14,3,1,86
18,2,65,4,3,,
19,2,71,10,1,,
20,,,16,6,2,88
21,,,4,4,2,57
22,2,55,6,19,,
23,2,70,2,13,,
24,2,92,1,18,,
25,1,46,20,6,,
26,2,65,7,16,,
27,2,65,5,9,,
28,2,66,19,7,,
29,1,78,1,12,,
30,2,58,7,6,,
31,2,75,5,14,,
32,2,68,8,15,,
33,1,50,9,8,,
34,2,59,15,5,,
35,2,92,16,12,,
36,2,53,13,8,,
37,1,39,9,10,,
38,2,51,14,10,,
39,,,15,11,3,100
40,1,55,12,19,,
41,2,51,19,18,,
42,2,70,14,19,,
43,2,78,12,10,,
44,1,72,3,17,,
45,,,5,14,2,76
46,,,13,20,2,52
47,3,100,20,18,,
48,1,39,11,9,,
49,2,99,15,19,,
50,,,11,8,3,100
51,1,37,18,16,,
52,,,14,20,0,43
53,2,58,11,19,,
54,,,14,2,3,100
55,2,66,18,19,,
56,,,1,8,1,71
57,,,6,4,2,73
58,,,12,16,2,78
59,,,7,5,1,48
60,1,86,3,19,,
61,,,1,15,1,73
62,,,1,9,2,66
63,,,3,10,1,85
64,,,20,17,2,79
65,,,13,7,2,56
66,,,7,7,2,55
67,,,7,9,2,83
68,2,71,2,15,,
69,,,19,15,2,59
70,,,20,5,2,93
71,,,12,17,1,58
72,2,57,8,17,,
73,,,9,10,1,76
74,,,20,16,1,71
75,,,1,14,2,62
76,,,20,18,2,58
77,,,19,18,2,85
