version,1,reserved,reserved,reserved,reserved,reserved
Scotland,Q9LVROP,,Paradox,YPGC02P9,,19FEB
25,,,,,,
2019/02/26,,,,,,
1,Darth Czar,12,YGGCGCVP,,12,
2,WillX78,12,GGG0LL2J,,12,
3,Matt,12,GYUUQCPP,,12,
4,kittykat,12,YR2GG8UY,,12,
5,Malamutt,12,209PCJ8C,,12,
6,Lachance,12,2U2VJ9GG,,12,
7,Girthy Potato,12,G0899089,,12,
8,Sgt Baker,12,QJLUV9LC,,12,
9,Atlas,12,RJ9PJ9CC,,12,
10,Hurrican Heidi,12,R22GYJCC,,12,
11,Street Product,12,LPLR9RY0,,12,
12,Cheetah,12,YV9VQ22J,,12,
13,Fergus Maximus,12,YJUP908U,,12,
14,ZeroGage,12,LQCVQJ9G,,12,
15,Yamato,12,R00ULQYL,,12,
16,Christ,12,LYUR99QL,,12,
17,black dragon,12,28YL99VPY,,12,
18,Eddie,12,JUY29GYY,,12,
19,Broken Heart,12,CV0CP8LO,,12,
20,kokobeast,12,CQ8RJ2R9,,12,
21,Celebpi,12,QGR0CCQR,,12,
22,Andrew,12,C8LRG2UL,,12,
23,Pval the Great,12,GGLJ2RCY,,12,
24,Mclane,11,8GJ29GOG,,12,
25,Jr. Blackhawk,11,GPUP2J00,,11,
1,2,71,13,13,,
2,3,100,20,25,,
3,2,78,23,24,,
4,,,2,16,2,88
5,2,95,5,23,,
6,,,14,24,2,78
7,,,11,7,2,90
8,,,24,24,2,75
9,,,18,19,3,100
10,,,4,1,1,49
11,1,83,20,22,,
12,,,22,19,2,82
13,,,16,14,2,76
14,,,25,25,2,50
15,,,7,8,2,65
16,,,21,11,2,77
17,,,17,7,2,91
18,,,25,6,3,100
19,2,52,12,12,,
20,2,85,1,20,,
21,,,8,8,2,52
22,,,23,25,1,39
23,2,63,24,21,,
24,,,1,9,3,100
25,,,4,2,2,87
26,,,20,11,2,92
27,1,58,13,5,,
28,,,23,14,2,72
29,2,69,19,22,,
30,,,9,15,2,56
31,,,5,5,2,77
32,,,3,20,2,50
33,1,56,1,19,,
34,,,24,1,3,100
35,,,13,15,2,50
36,,,15,20,2,64
37,2,77,22,2,,
38,,,12,21,2,94
39,,,19,13,2,67
40,,,23,2,3,100
41,,,13,18,2,74
42,1,52,12,19,,
43,2,73,17,6,,
44,2,89,15,7,,
45,2,58,10,17,,
46,2,51,7,18,,
47,1,58,17,9,,
48,2,71,6,11,,
49,1,43,21,10,,
50,3,100,10,19,,
51,2,68,23,23,,
52,,,10,18,2,73
53,2,71,9,15,,
54,,,20,21,2,88
55,1,45,7,16,,
56,,,6,22,1,39
57,,,6,10,2,74
58,1,83,6,8,,
59,2,60,15,4,,
60,2,86,5,5,,
61,2,55,22,3,,
62,,,3,9,3,100
63,1,70,24,24,,
64,2,72,9,14,,
65,,,20,16,1,88
66,2,60,16,10,,
67,,,14,13,2,87
68,,,8,12,2,65
69,,,7,4,2,90
70,,,9,12,2,71
71,,,12,4,1,71
72,2,69,3,1,,
73,,,22,23,0,48
74,1,40,21,16,,
75,,,22,22,0,49
76,,,21,23,2,52
77,2,66,4,16,,
78,2,63,14,24,,
79,2,76,2,8,,
80,0,8,18,9,,
81,,,20,17,2,70
82,2,64,3,9,,
83,1,80,4,24,,
84,,,19,17,2,66
85,1,91,8,24,,
86,2,88,11,23,,
87,2,63,14,18,,
88,,,21,6,1,63
89,1,38,18,24,,
90,,,21,5,1,51
91,2,75,8,22,,
92,,,21,3,2,73
93,,,21,10,2,79
94,2,69,16,12,,
95,,,19,3,2,86
96,1,5,2,13,,
