version,1,CWL,reserved,reserved,reserved,reserved
Chien Huu BD,Y2UGULPY,,Paradox,YPGC02P9,,CWL
15,,,,,,
2019/02/01,,,,,,
1,Darth Czar,12,YGGCGCVP,,12,
2,Atticus,12,R80VVQJP,,12,
3,Damage Inc,12,J9Q28P2,,12,
4,Dragon-Fly,12,GQ0G0RJ9R,,12,
5,BringerOfRain,12,Y8V0C2PU,,12,
6,Matt,12,GYUUQCPP,,12,
7,Ryan,12,GYLQ2GPY,,12,
8,Malamutt,12,209PCJ8C,,12,
9,kittykat,12,YR2GG8UY,,12,
10,Street Product,12,LPLR9RY0,,12,
11,Atlas,12,RJ9PJ9CC,,12,
12,Hurrican Heidi,12,R22GYJCC,,12,
13,Yamato,12,R00ULQYL,,12,
14,black dragon,12,28YL99VPY,,12,
15,kokobeast,12,CQ8RJ2R9,,12,
1,,,1,14,0,46
2,,,8,8,2,95
3,,,4,5,2,54
4,,,12,12,2,55
5,,,9,13,2,94
6,2,59,14,7,,
7,1,85,12,14,,
8,3,100,9,15,,
9,2,73,7,6,,
10,1,76,1,13,,
11,3,100,15,10,,
12,2,55,3,2,,
13,3,100,10,11,,
14,2,66,6,1,,
15,2,82,2,12,,
16,2,71,8,8,,
17,2,77,5,5,,
18,,,2,1,2,76
19,,,3,10,3,100
20,,,5,11,2,86
21,,,6,2,2,59
22,,,11,3,3,100
23,2,79,13,4,,
24,2,92,11,9,,
25,,,10,15,2,66
26,,,14,6,0,39
27,2,58,4,3,,
28,,,15,7,2,80
29,,,7,9,2,78
30,,,1,4,2,62
