version,1,CWL,reserved,reserved,reserved,reserved
China,VJQGY9G,,Paradox,YPGC02P9,,CWL
15,,,,,,
2019/02/03,,,,,,
1,Blackhawk,12,LVRYJQG,,12,
2,Sgt Baker,12,QJLUV9LC,,12,
3,Scott_212,12,CQQR8QYY,,12,
4,Fergus Maximus,12,YJUP908U,,12,
5,James,12,2PJUGPCPV,,12,
6,Sjcsan,12,2UV9CCCG,,12,
7,Chaz,12,20RGCJCR,,12,
8,ZeroGage,12,LQCVQJ9G,,12,
9,Christ,12,LYUR99QL,,12,
10,Eddie,12,JUY29GYY,,12,
11,Anna,12,9QPV9VGY,,12,
12,Celebpi,12,QGR0CCQR,,11,
13,Andrew,12,C8LRG2UL,,11,
14,G Squad,12,JJPVG0GJ,,11,
15,Delivering Chaos,12,YRVGGUG8,,11,
1,2,82,8,8,,
2,,,8,10,2,95
3,0,22,1,1,,
4,,,6,7,2,88
5,0,37,4,4,,
6,3,100,3,11,,
7,1,70,9,9,,
8,2,56,12,12,,
9,,,1,1,2,52
10,,,2,2,2,86
11,,,5,5,2,68
12,2,74,6,10,,
13,2,60,7,2,,
14,2,89,10,13,,
15,1,63,5,5,,
16,,,3,3,2,58
17,,,4,4,2,51
18,3,100,11,14,,
19,3,100,15,15,,
20,,,10,8,2,68
21,,,15,12,1,42
22,2,58,13,1,,
23,2,89,2,6,,
