version,1,CWL,reserved,reserved,reserved,reserved
Indramayu Pati,Y88PR280,,Paradox,YPGC02P9,,CWL
15,,,,,,
2019/02/04,,,,,,
1,Darth Czar,12,YGGCGCVP,,12,
2,Atticus,12,R80VVQJP,,12,
3,Dragon-Fly,12,GQ0G0RJ9R,,12,
4,BringerOfRain,12,Y8V0C2PU,,12,
5,Matt,12,GYUUQCPP,,12,
6,Ryan,12,GYLQ2GPY,,12,
7,kittykat,12,YR2GG8UY,,12,
8,Malamutt,12,209PCJ8C,,12,
9,Scott_218,12,UUYYPYC9,,12,
10,Street Product,12,LPLR9RY0,,12,
11,Atlas,12,RJ9PJ9CC,,12,
12,Hurrican Heidi,12,R22GYJCC,,12,
13,Yamato,12,R00ULQYL,,12,
14,black dragon,12,28YL99VPY,,12,
15,kokobeast,12,CQ8RJ2R9,,12,
1,1,80,15,11,,
2,1,68,6,3,,
3,3,100,5,10,,
4,2,53,7,12,,
5,,,15,15,2,56
6,2,99,1,14,,
7,2,74,14,1,,
8,2,74,2,9,,
9,2,57,9,15,,
10,,,3,3,1,44
11,2,76,8,8,,
12,3,100,4,7,,
13,,,14,12,2,86
14,3,100,10,13,,
15,2,67,11,2,,
16,2,71,13,5,,
17,2,63,12,6,,
18,2,56,3,4,,
19,,,9,9,2,74
20,,,1,1,1,44
21,,,7,8,2,57
22,,,10,14,2,65
23,,,4,10,2,65
24,,,15,11,2,75
25,,,5,5,2,66
26,,,2,7,2,57
27,,,12,13,2,59
28,,,13,6,1,75
29,,,6,4,2,58
30,,,8,2,2,90
