version,1,CWL,reserved,reserved,reserved,reserved
Argentinos Only,2LG09R9Y,,Paradox,YPGC02P9,,CWL
15,,,,,,
2019/02/05,,,,,,
1,Atticus,12,R80VVQJP,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Dragon-Fly,12,GQ0G0RJ9R,,12,
4,BringerOfRain,12,Y8V0C2PU,,12,
5,Matt,12,GYUUQCPP,,12,
6,Ryan,12,GYLQ2GPY,,12,
7,kittykat,12,YR2GG8UY,,12,
8,Malamutt,12,209PCJ8C,,12,
9,Scott_218,12,UUYYPYC9,,12,
10,Street Product,12,LPLR9RY0,,12,
11,Atlas,12,RJ9PJ9CC,,12,
12,Hurrican Heidi,12,R22GYJCC,,12,
13,Yamato,12,R00ULQYL,,12,
14,black dragon,12,28YL99VPY,,12,
15,kokobeast,12,CQ8RJ2R9,,12,
1,,,5,5,2,72
2,,,2,2,2,72
3,3,100,7,14,,
4,2,97,2,2,,
5,3,100,15,15,,
6,,,13,13,2,79
7,2,73,5,11,,
8,3,100,12,13,,
9,1,38,9,1,,
10,2,93,1,12,,
11,,,14,9,2,87
12,,,7,7,2,59
13,,,9,14,2,59
14,2,64,6,7,,
15,2,53,8,8,,
16,2,53,14,4,,
17,2,79,13,3,,
18,2,98,4,10,,
19,,,12,12,2,61
20,,,10,10,2,62
21,2,73,10,9,,
22,,,1,1,2,72
23,2,73,11,6,,
24,,,15,15,2,64
25,,,3,3,1,38
26,,,6,6,0,48
27,2,98,3,5,,
28,,,4,4,2,86
29,,,8,8,2,57
30,,,11,11,2,70
