version,1,CWL,reserved,reserved,reserved,reserved
ReunitedPB,PJQ8L2QG,,Paradox,YPGC02P9,,CWL
15,,,,,,
2019/02/06,,,,,,
1,Damage Inc,12,J9Q28P2,,12,
2,BringerOfRain,12,Y8V0C2PU,,12,
3,Blackhawk,12,LVRYJQG,,12,
4,Sgt Baker,12,QJLUV9LC,,12,
5,Girthy Potato,12,G0899089,,12,
6,Fergus Maximus,12,YJUP908U,,12,
7,Sjcsan,12,2UV9CCCG,,12,
8,James,12,2PJUGPCPV,,12,
9,ZeroGage,12,LQCVQJ9G,,12,
10,Christ,12,LYUR99QL,,11,
11,Eddie,12,JUY29GYY,,11,
12,Anna,12,9QPV9VGY,,11,
13,Andrew,12,C8LRG2UL,,11,
14,Celebpi,12,QGR0CCQR,,11,
15,Delivering Chaos,12,YRVGGUG8,,11,
1,3,100,15,10,,
2,3,100,1,11,,
3,2,53,11,1,,
4,3,100,6,12,,
5,2,98,3,15,,
6,,,7,7,3,100
7,,,8,8,2,68
8,2,87,9,9,,
9,,,2,2,2,69
10,1,67,13,5,,
11,2,69,14,8,,
12,,,1,1,2,66
13,3,100,8,13,,
14,3,100,12,14,,
15,,,4,4,2,74
16,,,9,9,1,58
17,2,84,5,7,,
18,,,12,13,2,52
19,,,15,15,1,46
20,3,100,2,3,,
21,2,77,10,6,,
22,2,50,7,4,,
23,,,5,3,0,49
24,,,5,5,2,51
25,,,13,14,1,39
26,,,11,12,2,55
27,,,10,10,1,49
28,,,14,11,1,58
29,,,6,6,2,53
30,2,60,4,2,,
