version,1,CWL,reserved,reserved,reserved,reserved
Korea,P2PG0UCL,,Paradox,YPGC02P9,,CWL
15,,,,,,
2019/02/07,,,,,,
1,Atticus,12,R80VVQJP,,12,
2,Darth Czar,12,YGGCGCVP,,12,
3,Damage Inc,12,J9Q28P2,,12,
4,Matt,12,GYUUQCPP,,12,
5,kittykat,12,YR2GG8UY,,12,
6,Malamutt,12,209PCJ8C,,12,
7,Girthy Potato,12,G0899089,,12,
8,Scott_212,12,CQQR8QYY,,12,
9,Street Product,12,LPLR9RY0,,12,
10,Atlas,12,RJ9PJ9CC,,12,
11,Hurrican Heidi,12,R22GYJCC,,12,
12,Yamato,12,R00ULQYL,,12,
13,ZeroGage,12,LQCVQJ9G,,12,
14,Chaz,12,20RGCJCR,,11,
15,Anna,12,9QPV9VGY,,11,
1,3,100,3,13,,
2,,,11,11,3,100
3,1,65,2,2,,
4,2,73,4,8,,
5,2,59,5,12,,
6,2,53,6,6,,
7,,,15,13,2,67
8,2,64,7,7,,
9,2,56,13,11,,
10,,,3,15,2,57
11,,,1,2,2,74
12,2,78,1,1,,
13,,,6,5,2,70
14,,,13,7,0,44
15,,,9,10,2,57
16,,,13,1,1,62
17,3,100,15,15,,
18,,,10,4,2,80
19,2,68,8,14,,
20,,,2,8,1,53
21,2,76,12,4,,
22,2,64,11,10,,
23,,,4,3,2,60
24,3,100,10,3,,
25,2,59,9,5,,
26,,,5,14,1,46
27,,,14,6,2,54
28,2,99,14,9,,
29,,,12,12,2,73
30,,,8,9,1,39
