Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Malamutt,12,8,25,3.125,31,3.875,1,8,1,0,16,25,31,1.5625,31,1.9375,75.5625,1,0.0625,2,0,0,0,0,0,0,0,0,0,16,25,31,1.9375,1,0.0625,9,0.5625,75.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,1.88889,66.6667,0,0,0,9,17,0,1.88889,66.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chaz,12,1,4,4,4,4,0,1,4,0,2,4,4,2,4,2,55,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,2,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1.2,66.6,0,0,0,5,6,0,1.2,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,
black dragon,12,3,8,2.66667,11,3.66667,0,1,3,0,6,8,11,1.33333,11,1.83333,66.6667,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,1.83333,0,0,3,0.5,66.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,1.83333,83,2,1,0,5,11,2,2.2,91,0,0,0,0,0,0,0,1,0,0,0,43,1,
Cronus and Rhea,12,1,0,0,3,3,0,1,0,0,2,0,3,0,3,1.5,51.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1.5,0,0,0,0,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,84,0,0,0,1,2,0,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,
James,12,4,2,0.5,12,3,0,3,2,0,8,2,12,0.25,12,1.5,58.25,0,0,0,0,0,0,0,0,0,0,0,0,8,2,12,1.5,0,0,1,0.125,58.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,70.8333,1,0,0,6,12,1,2,70.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lachance,12,2,6,3,7,3.5,0,2,1,0,4,6,7,1.5,7,1.75,73.5,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,1.75,0,0,3,0.75,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1.66667,63,0,0,0,3,5,0,1.66667,63,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sjcsan,12,4,6,1.5,7,1.75,0,3,0,0,4,6,7,1.5,7,1.75,66,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,1.75,0,0,2,0.5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2.25,78,1,0,0,4,9,1,2.25,78,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mclane,11,2,4,2,6,3,0,0,6,5,4,4,10,1,6,1.5,64.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,1.5,0,0,2,0.5,64.25,0,0,0,0,0,0,0,0,0,8,15,1.875,72.125,2,1,0,2,3,0,1.5,63.5,0,0,0,0,0,0,0,6,12,2,2,75,1,
Anna,12,1,0,0,3,3,0,1,2,0,2,0,3,0,3,1.5,62,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1.5,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,73.3333,0,0,0,3,6,0,2,73.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrew,12,7,17,2.42857,23,3.28571,1,4,10,0,13,17,23,1.30769,23,1.76923,67.9231,1,0.0769231,0,0,0,0,0,0,0,0,0,0,13,17,23,1.76923,1,0.0769231,5,0.384615,67.9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,1.70588,73.1765,3,2,0,17,29,3,1.70588,73.1765,2,0,0,0,0,0,0,0,0,0,0,0,0,
kokobeast,12,8,21,2.625,29,3.625,3,3,13,0,16,21,25,1.3125,29,1.8125,73.875,3,0.1875,0,0,0,0,0,0,0,0,0,0,13,12,20,1.53846,0,0,6,0.461538,67.8462,3,9,9,3,3,1,3,1,100,0,0,0,0,0,0,0,0,0,21,42,2,85.0952,5,0,0,21,42,5,2,85.0952,0,0,0,0,0,0,0,0,0,0,0,0,0,
