Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Malamutt,12,4,8,2,8,2,0,4,0,0,4,8,8,2,8,2,63.25,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,2,0,0,4,1,63.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,78,0,0,0,4,8,0,2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chaz,12,3,7,2.33333,7,2.33333,1,7,0,0,3,7,6,2.33333,7,2.33333,86.3333,1,0.333333,1,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,2,1,79.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,1,2,2,54,0,0,0,1,2,0,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,
black dragon,12,3,6,2,6,2,0,5,0,0,3,6,6,2,6,2,62,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,2,0,0,3,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.33333,70.6667,0,1,0,3,4,0,1.33333,70.6667,1,0,0,0,0,0,0,0,0,0,0,0,0,
James,12,3,7,2.33333,7,2.33333,2,5,0,0,3,7,5,2.33333,7,2.33333,87.6667,2,0.666667,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,63,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,2,4,2,68,0,0,0,2,4,0,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sjcsan,12,3,7,2.33333,7,2.33333,1,3,0,0,3,7,6,2.33333,7,2.33333,74.6667,1,0.333333,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,2,1,62,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,3,6,2,70.3333,1,0,0,2,5,1,2.5,94,0,0,0,0,0,0,0,1,1,0,1,23,0,
Anna,12,4,12,3,12,3,4,7,8,0,4,12,8,3,12,3,100,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,3,4,1,4,1,100,0,0,0,0,0,0,0,0,0,11,12,1.09091,23.4545,0,1,0,1,2,0,2,67,0,0,0,0,0,0,0,10,10,0,1,19.1,1,
Andrew,12,3,6,2,6,2,1,8,0,0,3,6,5,2,6,2,75,1,0.333333,0,0,0,0,0,0,0,0,0,0,2,3,3,1.5,0,0,1,0.5,62.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,1,1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,39,0,
kokobeast,12,3,7,2.33333,7,2.33333,2,3,1,0,3,7,7,2.33333,7,2.33333,93.3333,2,0.666667,0,0,0,0,0,0,0,0,0,0,3,7,7,2.33333,2,0.666667,3,1,93.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,68.75,0,0,0,4,8,0,2,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scott_212,12,2,5,2.5,5,2.5,1,3,0,0,2,5,4,2.5,5,2.5,84,1,0.5,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,1,2,2,2,0,0,1,1,68,0,0,0,0,0,0,0,0,0,2,3,1.5,48.5,0,0,0,2,3,0,1.5,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Girthy Potato,12,2,4,2,4,2,0,4,1,0,2,4,4,2,4,2,74,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,2,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,50,0,1,0,2,2,0,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,
Dragon-Fly,12,3,6,2,6,2,0,5,0,0,3,6,6,2,6,2,70.6667,0,0,1,0,0,0,0,0,0,0,0,0,3,6,6,2,0,0,3,1,70.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.33333,45.3333,0,0,0,3,4,0,1.33333,45.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan,12,3,5,1.66667,5,1.66667,0,5,0,0,3,5,5,1.66667,5,1.66667,68.3333,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,1.66667,0,0,3,1,68.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1.33333,61.3333,0,1,0,3,4,0,1.33333,61.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,
Matt,12,4,9,2.25,9,2.25,1,4,0,0,4,9,9,2.25,9,2.25,78,1,0.25,0,0,0,0,0,0,0,0,0,0,4,9,9,2.25,1,0.25,4,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,64.25,0,0,0,4,8,0,2,64.25,0,0,0,0,0,0,0,0,0,0,0,0,0,
Damage Inc,12,3,8,2.66667,8,2.66667,2,2,0,0,3,8,7,2.66667,8,2.66667,85,2,0.666667,0,0,0,0,0,0,0,0,0,0,2,5,5,2.5,1,0.5,2,1,77.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,3,7,2.33333,74.3333,1,0,0,2,5,1,2.5,83,0,0,0,0,0,0,0,1,2,0,2,57,0,
G Squad,12,2,3,1.5,3,1.5,1,6,0,0,1,3,2,3,3,3,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eddie,12,3,7,2.33333,7,2.33333,1,5,0,0,3,7,5,2.33333,7,2.33333,80.6667,1,0.333333,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,53,2,5,5,2.5,1,0.5,2,1,94.5,0,0,0,0,0,0,0,0,0,2,4,2,61.5,0,0,0,1,2,0,2,68,0,0,0,0,0,0,0,1,2,0,2,55,0,
Street Product,12,4,10,2.5,10,2.5,2,4,0,0,4,10,10,2.5,10,2.5,83,2,0.5,0,0,0,0,0,0,0,0,0,0,4,10,10,2.5,2,0.5,4,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,62.5,0,0,0,4,8,0,2,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
