Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Malamutt,12,5,13,2.6,21,4.2,1,5,2,0,10,13,21,1.3,21,2.1,76.4,1,0.1,0,0,0,0,0,0,0,0,0,0,10,13,21,2.1,1,0.1,5,0.5,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,1.85714,63.2857,0,0,0,7,13,0,1.85714,63.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chaz,12,1,4,4,4,4,0,1,1,0,2,4,4,2,4,2,60,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,2,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,72,0,1,0,2,2,0,1,72,1,0,0,0,0,0,0,0,0,0,0,0,0,
black dragon,12,7,24,3.42857,27,3.85714,0,4,6,0,14,24,27,1.71429,27,1.92857,66.0714,0,0,0,0,0,0,0,0,0,0,0,0,14,24,27,1.92857,0,0,12,0.857143,66.0714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,1.76923,75.6923,3,1,0,13,23,3,1.76923,75.6923,1,0,0,0,0,0,0,0,0,0,0,0,0,
Black-ops 500,12,4,10,2.5,13,3.25,0,4,1,0,7,10,13,1.42857,13,1.85714,67.1429,0,0,0,0,0,0,0,0,0,0,0,0,7,10,13,1.85714,0,0,4,0.571429,67.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,60.8,0,0,0,5,10,0,2,60.8,0,0,0,0,0,0,0,0,0,0,0,0,0,
James,12,7,6,0.857143,22,3.14286,0,7,5,0,14,6,22,0.428571,22,1.57143,73.5714,0,0,2,0,0,0,0,0,0,0,0,0,14,6,22,1.57143,0,0,2,0.142857,73.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,1.91667,77.9167,0,0,0,12,23,0,1.91667,77.9167,0,0,0,0,0,0,0,0,0,0,0,0,0,
lakasha,12,1,2,2,2,2,0,0,0,0,1,2,2,2,2,2,52,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,0,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anna,12,1,2,2,3,3,0,1,0,0,2,2,3,1,3,1.5,67.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1.5,0,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,84,0,0,0,1,2,0,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrew,12,2,0,0,4,2,0,1,1,0,4,0,4,0,4,1,62.25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,0,62.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.33333,90.6667,1,0,0,3,7,1,2.33333,90.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,
kokobeast,12,7,18,2.57143,24,3.42857,4,4,13,0,14,18,22,1.28571,24,1.71429,76.2143,4,0.285714,0,0,0,0,0,0,0,0,0,0,12,12,18,1.5,2,0.166667,3,0.25,72.25,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,20,39,1.95,71.75,3,1,0,19,37,3,1.94737,71.9474,1,0,0,0,0,0,0,1,2,0,2,68,0,
Scott_212,12,7,18,2.57143,24,3.42857,0,5,5,0,14,18,24,1.28571,24,1.71429,65.9286,0,0,0,0,0,0,0,0,0,0,0,0,14,18,24,1.71429,0,0,7,0.5,65.9286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,1.83333,74,2,0,0,12,22,2,1.83333,74,0,0,0,0,0,0,0,0,0,0,0,0,0,
