Player,TH,Total Wars,Total Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
TheDad,8,6,21,24,4,7,5,6,7,12,21,24,2,79.0833,7,0.583333,0,5,12,13,2.6,4,0.8,3,0.6,98.2,3,9,9,3,3,1,3,1,100,0,0,0,0,0,0,0,0,0,4,0,2,0.5,0,0,0,0,39.5,11,21,1.90909,86.6364,4,0,4,8,1,2,85,0,7,13,3,1.85714,87.5714,0,0,0,0,0,0,0,
TheDad,9,1,6,6,6,2,0,0,0,2,6,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Czech1Czech2,9,6,16,26,4.33333,6,6,4,4,12,16,26,2.16667,80.1667,6,0.5,0,9,15,23,2.55556,6,0.666667,4,0.444444,91.8889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,1,0.333333,45,10,16,1.6,70.5,0,1,6,8,0,1.33333,71.8333,1,4,8,0,2,68.5,0,0,0,0,0,0,0,
Mord,9,5,5,15,3,1,6,4,0,9,5,15,1.66667,73.2222,1,0.111111,0,5,3,10,2,1,0.2,1,0.2,79.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,1.25,0,0,1,0.25,65.25,8,10,1.25,64.125,2,3,8,10,2,1.25,64.125,3,0,0,0,0,0,0,0,0,0,0,0,0,
Whooboy,9,5,5,16,3.2,2,4,2,1,10,5,16,1.6,71.5,2,0.2,2,4,3,9,2.25,2,0.5,0,0,88.25,1,0,2,2,0,0,0,0,99,0,0,0,0,0,0,0,0,0,5,5,5,1,0,0,0,0,52.6,7,12,1.71429,72.4286,1,1,6,10,1,1.66667,73.3333,1,1,2,0,2,67,0,0,0,0,0,0,0,
liam,8,7,12,24,3.42857,7,3,10,5,14,12,24,1.71429,71.2143,7,0.5,0,5,6,11,2.2,3,0.6,2,0.4,94.2,4,6,12,3,4,1,2,0.5,100,0,0,0,0,0,0,0,0,0,5,0,1,0.2,0,0,0,0,25.2,17,30,1.76471,81.2941,5,0,11,17,2,1.54545,78.8182,0,5,12,3,2.4,91,0,1,1,0,1,60,0,
ren9,9,1,6,6,6,2,1,4,0,2,6,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,48.8,0,1,5,5,0,1,48.8,1,0,0,0,0,0,0,0,0,0,0,0,0,
Jester,8,1,0,0,0,0,0,1,0,2,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35.5,2,4,2,93.5,1,0,2,4,1,2,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
ritteshstark,8,7,27,29,4.14286,9,6,6,1,14,27,29,2.07143,77.5,9,0.642857,0,8,18,20,2.5,6,0.75,5,0.625,92.75,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,5,6,6,1.2,2,0.4,0,0,48.6,13,23,1.76923,74.3846,2,0,11,18,1,1.63636,73.3636,0,1,3,1,3,100,0,1,2,0,2,60,0,
Tukutae,9,4,12,17,4.25,4,2,5,0,8,12,17,2.125,85.625,4,0.5,2,1,0,1,1,0,0,0,0,52,7,12,16,2.28571,4,0.571429,4,0.571429,90.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,2,77.1111,2,0,9,18,2,2,77.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,
