version,1,reserved,reserved,reserved,reserved,reserved
Iranian Boys,,,JTJ,2R9RCV9V,,S1
35,,,,,,
2015/10/7,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Space12345,10,8002Y989,,10,
6,Diggs,10,L82YQVU,,10,
7,MJP35,10,GRLV9L,1,9,
8,Owen,9,LYV2GVUO,1,9,
9,Chief Joshy,9,VPPJUCV,1,9,
10,Maddog,9,1,1,9,
11,Kighr,9,J0RJP9LG,1,9,
12,Aboy,9,VQ9PUJV2,1,9,
13,Beej,9,CR8JYPLG,,9,
14,Joe,9,LG9GQQJ8,,9,
15,Jippieh Yeah,9,YCYV88UV,,9,
16,YYY,9,20YVJR2JG,,9,
17,Poz,9,PPRYLOUY,,9,
18,brybatt,8,LVC9QLL9,,9,
19,Jamie,8,VGYQUVPJ,,9,
20,deathcuddles,8,9L9R2VC,1,8,
21,Dada 1974,8,GQ0JCQJQ,1,8,
22,P1Vogel,8,Q2QUUPVP,1,8,
23,Kevlar,8,8GUL9GO9,1,8,
24,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
25,Dark Night,8,2,1,8,
26,Katie-cakes,8,G2QQ0GGG2,,8,
27,Clanhuntaz,8,R9CVQPQU,,8,
28,Etaoin Shrdlu,8,2C9J200L,,8,
29,TyroneCoC,8,29G0GL8Y2,,8,
30,mip of doom,7,29099RVL0,,8,
31,liam,7,28Q8YCPL0,,8,
32,simon says,7,209CURRV0,,8,
33,simons lil sis,7,20PJJL2VR,,7,
34,freddo,7,2UPUC290L,,7,
35,ashish,7,PQPJYQG2,,7,
1,3,100,30,32,,
2,3,100,19,27,,
3,3,100,21,21,,
4,2,56,1,2,,
5,3,100,15,18,,
6,3,100,24,26,,
7,1,56,9,9,,
8,1,49,2,3,,
9,3,100,16,16,,
10,1,62,6,5,,
11,1,99,27,22,,
12,3,100,18,23,,
13,3,100,30,29,,
14,3,100,17,19,,
15,3,100,29,28,,
16,1,62,31,30,,
17,1,94,20,20,,
18,3,100,23,25,,
19,3,100,26,20,,
20,3,100,35,33,,
21,2,85,12,9,,
22,1,68,14,14,,
23,3,100,13,12,,
24,2,80,18,22,,
25,3,100,8,11,,
26,2,99,24,24,,
27,3,100,27,30,,
28,3,100,26,24,,
29,1,53,6,3,,
30,2,87,11,13,,
31,1,87,17,17,,
32,2,62,23,22,,
33,3,100,34,31,,
34,2,82,21,22,,
35,2,74,3,6,,
36,3,100,20,22,,
37,0,47,14,15,,
38,2,88,16,15,,
39,3,100,33,34,,
40,3,100,32,35,,
41,1,41,7,1,,
42,2,91,13,10,,
43,1,40,4,4,,
44,3,100,19,20,,
45,3,100,8,10,,
46,3,100,22,20,,
47,3,100,7,8,,
48,3,100,12,14,,
49,2,82,15,15,,
50,3,100,22,24,,
51,3,100,11,15,,
52,2,94,35,28,,
53,1,54,1,3,,
54,3,100,32,30,,
55,3,100,33,28,,
56,2,91,34,32,,
57,3,100,29,24,,
58,2,52,4,3,,
59,1,47,5,4,,
60,2,53,28,24,,
61,3,100,31,31,,
62,3,100,9,7,,
63,3,100,28,25,,
64,3,100,5,6,,
65,1,48,3,4,,
66,1,65,2,1,,
