version,1,reserved,reserved,reserved,reserved,reserved
Are We Good,,,JTJ,2R9RCV9V,,
35,,,,,,
2015/10/9,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Space12345,10,8002Y989,,10,
6,Diggs,10,L82YQVU,,10,
7,MJP35,10,GRLV9L,,10,
8,Owen,9,LYV2GVUO,1,9,
9,Chief Joshy,9,VPPJUCV,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,Aboy,9,VQ9PUJV2,1,9,
12,Royaloates,9,3,1,9,
13,Jippieh Yeah,9,YCYV88UV,1,9,
14,DoubleDuce,9,Y9GU99U2,1,9,
15,YYY,9,20YVJR2JG,1,9,
16,Poz,9,PPRYLOUY,1,9,
17,Simlin,9,2GO989G2U,1,9,
18,brybatt,8,LVC9QLL9,1,9,
19,Jamie,8,VGYQUVPJ,,9,
20,deathcuddles,8,9L9R2VC,1,8,
21,Dada 1974,8,GQ0JCQJQ,1,8,
22,P1Vogel,8,Q2QUUPVP,1,8,
23,kevlar,8,8GUL9GO9,1,8,
24,evil lord dorn,8,2JRLC2YQ9,1,8,
25,Katie-cakes,8,G2QQ0GGG2,1,8,
26,Wilford Brimley,8,UGPJGJRU,1,8,
27,Clanhuntaz,8,R9CVQPQU,1,8,
28,Etaoin Shrdlu,8,2C9J200L,1,8,
29,TyroneCoC,8,29G0GL8Y2,,8,
30,ChopSuey,8,2PYYGGRPR,,8,
31,liam,7,28Q8YCPL0,,8,
32,simon says,7,209CURRV0,,8,
33,simons lil sis,7,20PJJL2VR,,8,
34,freddo,7,2UPUC290L,,8,
35,ashish,7,PQPJYQG2,,8,
1,1,52,13,17,,
2,3,100,26,25,,
3,3,100,15,18,,
4,1,57,19,30,,
5,2,56,6,4,,
6,0,37,28,23,,
7,3,100,25,23,,
8,3,100,21,27,,
9,0,24,31,26,,
10,2,59,1,1,,
11,3,100,25,26,,
12,1,80,24,29,,
13,0,30,35,31,,
14,2,83,34,28,,
15,2,97,8,14,,
16,0,41,29,31,,
17,1,79,18,24,,
18,1,62,3,2,,
19,2,53,6,6,,
20,0,29,31,21,,
21,2,73,26,21,,
22,0,44,18,29,,
23,1,65,14,17,,
24,2,61,4,7,,
25,2,93,35,35,,
26,2,93,13,19,,
27,0,36,10,12,,
28,1,89,12,15,,
29,2,99,30,32,,
30,2,73,33,34,,
31,2,54,32,33,,
32,2,58,5,5,,
33,2,67,9,10,,
34,3,100,24,31,,
35,1,60,19,29,,
36,1,77,11,12,,
37,2,94,21,29,,
38,0,28,1,2,,
39,2,82,33,28,,
40,2,82,32,28,,
41,3,100,29,34,,
42,3,100,30,30,,
43,3,100,23,28,,
44,3,100,20,32,,
45,3,100,28,33,,
46,3,100,23,29,,
47,3,100,4,9,,
48,2,55,34,20,,
49,3,100,22,24,,
50,2,97,7,11,,
51,3,100,20,22,,
52,2,87,15,15,,
53,2,50,8,16,,
54,2,69,22,21,,
55,2,58,2,3,,
56,1,81,16,15,,
57,1,62,16,19,,
58,1,57,11,16,,
59,3,100,17,20,,
60,3,100,27,21,,
61,2,73,9,17,,
62,1,57,17,19,,
63,2,85,3,13,,
64,3,100,2,8,,
65,2,91,10,16,,
66,2,97,7,12,,
67,0,39,27,17,,
68,3,100,5,17,,
69,2,62,14,19,,
