version,1,reserved,reserved,reserved,reserved,reserved
OFWMidEast,,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/10/12,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Space12345,10,8002Y989,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,Chief Joshy,9,VPPJUCV,,10,
8,Nicholas,9,RC00PQCL,,10,
9,Owen,9,LYV2GVUO,1,9,
10,Atlas,9,RJ9PJ9CC,1,9,
11,MrPatty,9,CR2QPCU9,1,9,
12,Rhetorical,9,88CYC9LU,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,Beej,9,CR8JYPLG,1,9,
15,Dan,9,RCP8PQY,,9,
16,Aboy,9,VQ9PUJV2,,9,
17,Jim,9,R2RRQJG,,9,
18,Jippieh Yeah,9,YCYV88UV,,9,
19,DoubleDuce,9,Y9GU99U2,,9,
20,Steve,9,QVRV9VGG,,9,
21,YYY,9,20YVJR2JG,,9,
22,Simlin,9,2GO989G2U,1,8,
23,Jamie,8,VGYQUVPJ,1,8,
24,King Drog,8,2Y9RUYRU9,1,8,
25,katie-cakes,8,G2QQ0GGG2,1,8,
26,wilford brimley,8,UGPJGJRU,1,8,
27,Etaoin Shrdlu,8,2C9J200L,1,8,
28,Clanhuntaz,8,R9CVQPQU,1,8,
29,Tifosi,8,22UL2JQUR,1,8,
30,TyroneCoC,8,29G0GL8Y2,1,8,
31,Don.i,8,CLUY9VYP,1,8,
32,Maximus Gullius,8,4,,8,
33,Cel.07,8,J28ULCCQ,,8,
34,Tukutae,8,2GCPJY82Y,,8,
35,ChopSuey,8,2PYYGGRPR,,8,
36,Mip of Doom,7,29099RVL0,,8,
37,liam,7,28Q8YCPL0,,7,
38,simon says,7,209CURRV0,,7,
39,simons lil sis,7,20PJJL2VR,,7,
40,ashish,7,PQPJYQG2,,7,
1,3,100,29,33,,
2,3,100,23,32,,
3,3,100,36,36,,
4,3,100,39,40,,
5,3,100,38,39,,
6,3,100,25,30,,
7,3,100,37,38,,
8,2,55,5,5,,
9,3,100,18,19,,
10,2,66,7,14,,
11,1,93,19,17,,
12,3,100,2,4,,
13,3,100,8,9,,
14,0,40,9,12,,
15,3,100,22,20,,
16,3,100,12,16,,
17,3,100,33,34,,
18,0,49,1,1,,
19,2,90,21,18,,
20,1,57,11,11,,
21,3,100,8,12,,
22,3,100,35,35,,
23,2,60,13,13,,
24,3,100,23,28,,
25,3,100,40,37,,
26,1,90,25,24,,
27,1,68,20,15,,
28,2,82,36,35,,
29,3,100,26,31,,
30,3,100,11,15,,
31,3,100,9,11,,
32,2,96,6,8,,
33,3,100,35,23,,
34,2,93,14,10,,
35,2,99,34,26,,
36,1,57,26,25,,
37,1,57,30,29,,
38,3,100,16,13,,
39,2,71,5,6,,
40,2,73,29,27,,
41,2,97,27,24,,
42,0,41,22,17,,
43,3,100,17,14,,
44,1,70,32,26,,
45,3,100,21,17,,
46,3,100,34,29,,
47,2,79,28,22,,
48,0,43,6,1,,
49,1,56,3,3,,
50,1,68,32,25,,
51,3,100,31,27,,
52,2,54,4,1,,
53,3,100,17,10,,
54,3,100,33,26,,
55,3,100,14,18,,
56,2,78,24,24,,
57,3,100,31,22,,
58,3,100,28,25,,
59,3,100,18,21,,
60,2,77,40,35,,
61,1,44,16,14,,
62,3,100,10,9,,
63,2,72,37,36,,
64,1,75,30,24,,
65,3,100,39,36,,
66,3,100,38,37,,
67,0,35,15,7,,
68,1,70,20,11,,
69,2,61,7,9,,
70,1,61,10,11,,
71,2,60,4,2,,
72,3,100,15,24,,
73,3,100,3,7,,
74,1,60,27,22,,
75,2,67,24,22,,
76,2,56,2,3,,
77,1,74,12,10,,
78,1,82,13,11,,
79,3,100,19,21,,
80,2,62,1,6,,
81,,,13,11,2,78
82,,,21,19,2,58
83,,,32,30,2,81
84,,,7,5,2,57
85,,,37,37,3,100
86,,,29,27,1,59
87,,,34,32,2,99
88,,,26,24,2,71
89,,,8,6,2,70
90,,,39,39,3,100
91,,,33,31,3,100
92,,,17,15,1,61
93,,,34,35,1,75
94,,,14,12,2,80
95,,,23,21,3,100
96,,,38,38,3,100
97,,,20,18,2,58
98,,,6,4,2,50
99,,,25,23,2,73
100,,,28,26,2,63
101,,,18,16,2,57
102,,,40,40,3,100
103,,,16,14,1,44
104,,,29,15,3,100
105,,,24,22,3,100
106,,,3,1,1,49
107,,,36,36,3,100
108,,,28,27,3,100
109,,,34,37,1,72
110,,,25,16,3,100
111,,,32,31,2,94
112,,,35,33,1,93
113,,,15,13,3,100
114,,,31,29,1,67
115,,,22,18,2,75
116,,,27,20,3,100
117,,,11,9,2,64
118,,,35,29,1,63
119,,,17,11,1,97
120,,,30,28,1,71
121,,,26,13,3,100
122,,,35,32,3,100
123,,,32,28,0,5
124,,,9,7,2,86
125,,,30,24,2,59
126,,,12,10,1,75
127,,,34,36,2,60
128,,,19,17,2,68
129,,,10,6,2,65
130,,,31,26,2,51
131,,,1,1,0,42
132,,,34,34,0,0
133,,,16,10,2,52
134,,,30,19,2,88
135,,,4,2,1,55
136,,,12,14,2,72
137,,,30,25,2,91
138,,,31,22,3,100
139,,,5,4,1,43
140,,,34,39,1,75
141,,,1,3,1,37
142,,,17,12,1,65
143,,,34,33,1,54
144,,,5,8,0,30
145,,,17,9,3,100
146,,,32,25,3,100
147,,,34,30,3,100
148,,,1,5,0,23
149,,,30,20,2,97
150,,,2,2,0,43
151,,,2,3,0,43
