version,1,reserved,reserved,reserved,reserved,reserved
Zeus Legend,,,JTJ,2R9RCV9V,,S1
45,,,,,,
2015/10/14,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Space12345,10,8002Y989,,10,
6,Diggs,10,L82YQVU,,10,
7,MJP35,10,GRLV9L,,10,
8,Chief Joshy,9,VPPJUCV,,10,
9,Owen,9,LYV2GVUO,,10,
10,Atlas,9,RJ9PJ9CC,,10,
11,MrPatty,9,CR2QPCU9,,10,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Rhetorical,9,88CYC9LU,1,9,
14,Beej,9,CR8JYPLG,1,9,
15,Dan,9,RCP8PQY,1,9,
16,Aboy,9,VQ9PUJV2,,9,
17,Jim,9,R2RRQJG,,9,
18,Joe,9,LG9GQQJ8,,9,
19,Jippieh Yeah,9,YCYV88UV,,9,
20,DoubleDuce,9,Y9GU99U2,,9,
21,Steve,9,QVRV9VGG,,9,
22,Cheeto,9,RPUVJYLP,,9,
23,YYY,9,20YVJR2JG,1,8,
24,Poz,9,PPRYLOUY,1,8,
25,Simlin,9,2GO989G2U,1,8,
26,P1vogel,8,Q2QUUPVP,1,8,
27,Jamie,8,VGYQUVPJ,1,8,
28,Kevlar,8,8GUL9GO9,1,8,
29,King Drog,8,2Y9RUYRU9,1,8,
30,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
31,Ani,8,UL2LVRP9,1,8,
32,Etaoin Shrdlu,8,2C9J200L,1,8,
33,Clanhuntaz,8,R9CVQPQU,,8,
34,TyroneCoC,8,29G0GL8Y2,,8,
35,Tifosi,8,22UL2JQUR,,8,
36,Don.i,8,CLUY9VYP,,8,
37,cel.07,8,J28ULCCQ,,8,
38,Tukutae,8,2GCPJY82Y,,8,
39,ChopSuey,8,2PYYGGRPR,,8,
40,Mip of Doom,7,29099RVL0,,8,
41,liam,7,28Q8YCPL0,,7,
42,Simon Says,7,209CURRV0,,7,
43,Simons lil Sis,7,20PJJL2VR,,7,
44,Freddo,7,2UPUC290L,,7,
45,Ashish,7,PQPJYQG2,,7,
1,3,100,40,41,,
2,3,100,16,15,,
3,3,100,30,36,,
4,0,20,23,17,,
5,0,43,6,10,,
6,2,83,27,35,,
7,1,60,1,1,,
8,3,100,18,20,,
9,2,79,8,16,,
10,2,75,41,38,,
11,3,100,19,19,,
12,1,60,11,12,,
13,3,100,35,33,,
14,3,100,28,28,,
15,3,100,40,44,,
16,2,78,14,13,,
17,2,84,10,14,,
18,1,60,6,8,,
19,1,66,45,40,,
20,1,84,34,37,,
21,2,97,32,26,,
22,1,56,9,12,,
23,3,100,24,21,,
24,3,100,41,45,,
25,2,96,39,34,,
26,3,100,38,37,,
27,2,80,11,14,,
28,2,89,12,12,,
29,2,97,30,35,,
30,3,100,37,32,,
31,3,100,35,34,,
32,1,66,32,27,,
33,1,55,31,35,,
34,2,67,3,7,,
35,0,47,25,22,,
36,0,48,24,18,,
37,3,100,15,22,,
38,1,91,17,13,,
39,2,94,36,23,,
40,1,68,37,24,,
41,3,100,31,38,,
42,0,49,5,10,,
43,1,64,21,18,,
44,3,100,38,35,,
45,3,100,27,31,,
46,3,100,36,25,,
47,3,100,43,43,,
48,3,100,42,42,,
49,2,67,4,5,,
50,2,97,29,30,,
51,2,54,33,24,,
52,2,90,26,27,,
53,3,100,33,29,,
54,3,100,44,39,,
55,1,84,26,23,,
56,2,78,19,18,,
57,3,100,44,40,,
58,2,57,45,39,,
59,3,100,39,30,,
60,2,83,23,16,,
61,3,100,16,12,,
62,3,100,13,17,,
63,3,100,21,16,,
64,2,66,43,23,,
65,0,44,42,27,,
66,3,100,34,27,,
67,2,94,28,23,,
68,1,51,29,26,,
69,2,78,7,10,,
70,2,72,2,4,,
71,1,58,20,18,,
72,3,100,17,14,,
73,2,87,10,18,,
74,3,100,25,23,,
75,1,61,4,9,,
76,3,100,22,26,,
77,1,48,5,11,,
78,3,100,12,13,,
79,2,86,8,18,,
80,1,43,2,3,,
81,3,100,22,24,,
82,3,100,20,23,,
83,2,79,3,6,,
84,1,49,15,18,,
85,2,69,1,2,,
86,0,43,13,18,,
87,3,100,14,18,,
88,1,40,9,11,,
89,1,50,18,18,,
90,2,79,7,8,,
91,,,39,35,3,100
92,,,41,42,3,100
93,,,31,28,0,40
94,,,5,4,1,49
95,,,40,45,1,63
96,,,26,29,3,100
97,,,31,33,3,100
98,,,32,34,2,73
99,,,40,42,3,100
100,,,12,6,2,50
101,,,8,3,3,100
102,,,9,8,2,65
103,,,37,38,2,79
104,,,28,24,2,82
105,,,38,33,3,100
106,,,30,24,1,70
107,,,29,27,2,94
108,,,14,8,2,76
109,,,24,22,2,52
110,,,42,37,3,100
111,,,27,18,2,94
112,,,25,13,1,65
113,,,10,9,2,75
114,,,36,26,2,59
115,,,43,31,3,100
116,,,30,18,2,96
117,,,34,36,2,70
118,,,44,34,3,100
119,,,11,2,2,78
120,,,35,28,0,34
121,,,33,20,3,100
122,,,35,31,2,71
123,,,25,12,2,77
124,,,21,13,1,57
125,,,45,36,3,100
126,,,40,41,3,100
127,,,22,16,1,62
128,,,1,41,1,29
129,,,37,26,3,100
130,,,13,10,2,99
131,,,1,37,2,59
132,,,15,7,3,100
133,,,30,27,1,60
134,,,36,40,1,54
135,,,27,12,3,100
136,,,24,16,3,100
137,,,30,21,3,100
138,,,29,25,3,100
139,,,16,7,3,100
140,,,34,35,1,91
141,,,23,17,3,100
142,,,34,21,3,100
143,,,20,40,0,32
144,,,7,10,1,52
145,,,22,14,3,100
146,,,17,3,1,85
147,,,35,23,2,80
148,,,20,6,2,90
149,,,36,30,1,64
150,,,36,43,1,59
151,,,18,19,1,72
152,,,19,11,2,73
153,,,21,17,2,58
154,,,17,2,3,100
155,,,6,5,1,29
156,,,36,29,0,44
157,,,28,15,3,100
158,,,18,11,2,62
159,,,25,14,3,100
160,,,36,32,2,68
161,,,3,1,2,50
162,,,32,19,3,100
163,,,36,39,1,68
164,,,35,25,2,74
165,,,4,4,2,50
166,,,1,30,1,2
167,,,35,43,1,65
168,,,36,15,3,100
169,,,35,20,3,100
170,,,20,39,1,46
171,,,21,9,2,86
172,,,21,32,2,65
173,,,2,1,1,55
174,,,45,45,0,44
175,,,1,23,1,27
176,,,7,5,1,54
