version,1,reserved,reserved,reserved,reserved,reserved
Don Vito & Co,,,JTJ,2R9RCV9V,,
45,,,,,,
2015/10/16,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Space12345,10,8002Y989,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,Chief Joshy,9,VPPJUCV,,10,
8,Owen,9,LYV2GVUO,1,9,
9,Atlas,9,RJ9PJ9CC,1,9,
10,MrPatty,9,CR2QPCU9,1,9,
11,Whooboy,9,22UOVV2JJ,1,9,
12,Rhetorical,9,88CYC9LU,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,Dan,9,RCP8PQY,1,9,
15,Aboy,9,VQ9PUJV2,1,9,
16,Jim,9,R2RRQJG,1,9,
17,YYY,9,20YVJR2JG,1,9,
18,Joe,9,LG9GQQJ8,1,9,
19,Jippieh Yeah,9,YCYV88UV,1,9,
20,DoubleDuce,9,Y9GU99U2,1,9,
21,Steve,9,QVRV9VGG,,9,
22,Cheeto,9,RPUVJYLP,,9,
23,Poz,9,PPRYLOUY,,9,
24,Simlin,9,2GO989G2U,,9,
25,P1vogel,8,Q2QUUPVP,,9,
26,Jamie,8,VGYQUVPJ,1,8,
27,King Drog,8,2Y9RUYRU9,1,8,
28,Kevlar,8,8GUL9GO9,1,8,
29,Katie-cakes,8,G2QQ0GGG2,1,8,
30,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
31,Ani,8,UL2LVRP9,1,8,
32,Etaoin Shrdlu,8,2C9J200L,,8,
33,Wilford Brimley,8,UGPJGJRU,,8,
34,Clanhuntaz,8,R9CVQPQU,,8,
35,TyroneCoC,8,29G0GL8Y2,,8,
36,Tifosi,8,22UL2JQUR,,8,
37,Don.i,8,CLUY9VYP,,8,
38,Cel.07,8,J28ULCCQ,,8,
39,Tukutae,8,2GCPJY82Y,,8,
40,ChopSuey,8,2PYYGGRPR,,8,
41,Mip of Doom,7,29099RVL0,,8,
42,liam,7,28Q8YCPL0,,8,
43,simon says,7,209CURRV0,,7,
44,simons lil sis,7,20PJJL2VR,,7,
