version,1,reserved,reserved,reserved,reserved,reserved
Wild Rhino,,,JTJ,2R9RCV9V,,
45,,,,,,
2015/10/19,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Space12345,10,8002Y989,,10,
6,Diggs,10,L82YQVU,,10,
7,MJP35,10,GRLV9L,,10,
8,Chief Joshy,9,VPPJUCV,,10,
9,Atlas,9,RJ9PJ9CC,1,9,
10,Whooboy,9,22UOVV2JJ,1,9,
11,MrPatty,9,CR2QPCU9,1,9,
12,Rhetorical,9,88CYC9LU,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,Beej,9,CR8JYPLG,1,9,
15,Dan,9,RCP8PQY,1,9,
16,Aboy,9,VQ9PUJV2,,9,
17,Jim,9,R2RRQJG,,9,
18,YYY,9,20YVJR2JG,,9,
19,Jippieh Yeah,9,YCYV88UV,,9,
20,DoubleDuce,9,Y9GU99U2,,9,
21,Cheeto,9,RPUVJYLP,1,8,
22,Steve,9,QVRV9VGG,1,8,
23,Poz,9,PPRYLOUY,1,8,
24,Simlin,9,2GO989G2U,1,8,
25,Jamie,8,VGYQUVPJ,1,8,
26,Kevlar,8,8GUL9GO9,1,8,
27,King Drog,8,2Y9RUYRU9,1,8,
28,Katie-cakes,8,G2QQ0GGG2,,8,
29,Evil Lord Dorn,8,2JRLC2YQ9,,8,
30,Etaoin Shrdlu,8,2C9J200L,,8,
31,Wilford Brimley,8,UGPJGJRU,,8,
32,Clanhuntaz,8,R9CVQPQU,,8,
33,Tifosi,8,22UL2JQUR,,8,
34,TyroneCoC,8,29G0GL8Y2,,8,
35,Prometheus,8,2PUCU0209,,8,
36,Don.i,8,CLUY9VYP,,8,
37,Cel.07,8,J28ULCCQ,,7,
38,Tukutae,8,2GCPJY82Y,,7,
39,Duncan,8,PY2C2UQG,,7,
40,ChopSuey,8,2PYYGGRPR,,8,
41,Mip of Doom,7,29099RVL0,,7,
42,liam,7,28Q8YCPL0,,7,
43,ddgrimmson,7,2G29OUUY,,8,
44,alfawolf,7,2R2VQ2JYQ,,6,
45,rocksteady,7,2GCL2V2OU,,4,
1,3,100,41,38,,
2,3,100,37,27,,
3,3,100,35,28,,
4,3,100,25,30,,
5,2,86,2,2,,
6,3,100,27,31,,
7,2,71,38,25,,
8,2,59,5,6,,
9,3,100,24,20,,
10,2,98,19,18,,
11,3,100,44,41,,
12,3,100,28,24,,
13,3,100,39,33,,
14,3,100,33,22,,
15,3,100,18,17,,
16,1,72,8,16,,
17,3,100,25,36,,
18,3,100,41,42,,
19,1,45,2,4,,
20,3,100,38,21,,
21,3,100,31,29,,
22,3,100,28,25,,
23,3,100,34,35,,
24,3,100,40,32,,
25,2,69,26,26,,
26,3,100,44,43,,
27,3,100,45,39,,
28,3,100,16,15,,
29,3,100,42,40,,
30,3,100,30,23,,
31,1,70,6,8,,
32,2,95,23,19,,
33,3,100,29,34,,
34,3,100,33,26,,
35,3,100,9,10,,
36,3,100,14,14,,
37,2,77,1,1,,
38,3,100,43,37,,
39,2,68,24,19,,
40,3,100,11,13,,
41,3,100,32,36,,
42,2,81,3,7,,
43,2,58,7,5,,
44,3,100,10,12,,
45,3,100,43,44,,
46,1,62,23,16,,
47,1,67,20,16,,
48,3,100,39,28,,
49,2,98,18,16,,
50,3,100,9,11,,
51,3,100,32,31,,
52,2,99,14,9,,
53,3,100,19,16,,
54,2,52,4,3,,
55,2,83,21,19,,
56,1,90,16,9,,
57,1,54,36,21,,
58,3,100,17,9,,
59,2,92,21,18,,
60,2,89,11,19,,
61,2,70,35,35,,
62,1,67,36,24,,
63,2,99,40,21,,
64,3,100,1,4,,
65,0,47,37,23,,
66,3,100,10,19,,
67,3,100,45,45,,
68,2,94,22,19,,
69,3,100,13,18,,
70,2,99,26,29,,
71,2,59,7,3,,
72,2,71,4,8,,
73,3,100,34,26,,
74,3,100,5,8,,
75,2,74,17,8,,
76,2,73,3,6,,
77,3,100,22,10,,
78,2,74,13,8,,
79,2,98,8,9,,
80,3,100,42,41,,
81,2,55,20,18,,
82,2,71,31,24,,
83,2,80,29,25,,
84,1,56,27,21,,
85,3,100,12,14,,
86,2,73,15,12,,
87,1,58,6,7,,
88,2,93,30,22,,
89,1,64,15,9,,
90,,,26,22,2,53
91,,,41,38,3,100
92,,,20,16,1,34
93,,,37,27,1,87
94,,,37,33,2,91
95,,,7,3,1,53
96,,,24,15,1,32
97,,,22,8,1,62
98,,,35,29,2,80
99,,,45,41,2,70
100,,,39,27,3,100
101,,,40,33,3,100
102,,,43,41,0,44
103,,,25,13,3,100
104,,,17,12,1,64
105,,,28,24,2,55
106,,,44,42,3,100
107,,,38,25,2,97
108,,,24,3,1,79
109,,,42,24,3,100
110,,,9,9,1,43
111,,,34,23,2,82
112,,,29,20,0,44
113,,,29,10,3,100
114,,,27,19,3,100
115,,,30,30,2,85
116,,,13,2,1,62
117,,,43,25,3,100
118,,,23,15,0,47
119,,,14,9,1,46
120,,,23,12,2,51
121,,,2,1,0,39
122,,,36,23,1,67
123,,,24,13,2,66
124,,,32,19,2,97
125,,,33,1,2,84
126,,,31,2,3,100
