version,1,reserved,reserved,reserved,reserved,reserved
WPG Warriors,,,JTJ,2R9RCV9V,,
40,,,,,,
2015/10/21,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Diggs,10,L82YQVU,,10,
4,MJP35,10,GRLV9L,,10,
5,Chief Joshy,9,VPPJUCV,,10,
6,Owen,9,LYV2GVUO,1,9,
7,Atlas,9,RJ9PJ9CC,1,9,
8,Whooboy,9,22UOVV2JJ,1,9,
9,Rhetorical,9,88CYC9LU,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,Beej,9,CR8JYPLG,1,9,
12,Dan,9,RCP8PQY,1,9,
13,Aboy,9,VQ9PUJV2,1,9,
14,Jim,9,R2RRQJG,1,9,
15,YYY,9,20YVJR2JG,1,9,
16,Jippieh Yeah,9,YCYV88UV,1,9,
17,DoubleDuce,9,Y9GU99U2,1,9,
18,Cheeto,9,RPUVJYLP,,9,
19,Steve,9,QVRV9VGG,,9,
20,Poz,9,PPRYLOUY,,9,
21,P1Vogel,8,Q2QUUPVP,,9,
22,Kevlar,8,8GUL9GO9,,9,
23,King Drog,8,2Y9RUYRU9,,9,
24,katie-cakes,8,G2QQ0GGG2,,9,
25,Evil Lord Dorn,8,2JRLC2YQ9,,9,
26,Etaoin Shrdlu,8,2C9J200L,,9,
27,Clanhuntaz,8,R9CVQPQU,,9,
28,Tifosi,8,22UL2JQUR,1,8,
29,TyroneCoC,8,29G0GL8Y2,1,8,
30,Prometheus,8,2PUCU0209,1,8,
31,Don.i,8,CLUY9VYP,1,8,
32,Tukutae,8,2GCPJY82Y,,8,
33,Duncan,8,PY2C2UQG,,8,
34,ChopSuey,8,2PYYGGRPR,,8,
35,Mip of Doom,7,29099RVL0,,8,
36,liam,7,28Q8YCPL0,,8,
37,ddgrimmson,7,2G29OUUY,,8,
38,alfawolf,7,2R2VQ2JYQ,,8,
39,rocksteady,7,2GCL2V2OU,,8,
40,IntoTheTrench,5,9GUUP8P,,8,
1,2,84,30,33,,
2,2,58,34,29,,
3,3,100,24,28,,
4,2,99,23,35,,
5,2,75,5,19,,
6,3,100,29,34,,
