version,1,reserved,reserved,reserved,reserved,reserved
Fatal Risk,,,JTJ,2R9RCV9V,,S1
35,,,,,,
2015/10/24,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Mike,10,RJP9282R,,10,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,,10,
6,Chief Joshy,9,VPPJUCV,,10,
7,owen,9,LYV2GVUO,,10,
8,Atlas,9,RJ9PJ9CC,1,9,
9,Whooboy,9,22UOVV2JJ,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,Dan,9,RCP8PQY,1,9,
12,Aboy,9,VQ9PUJV2,1,9,
13,Jim,9,R2RRQJG,1,9,
14,YYY,9,20YVJR2JG,1,9,
15,Joe,9,LG9GQQJ8,1,9,
16,Cheeto,9,RPUVJYLP,1,9,
17,Steve,9,QVRV9VGG,,9,
18,Simlin,9,2GO989G2U,,9,
19,P1vogel,8,Q2QUUPVP,,9,
20,katie-cakes,8,G2QQ0GGG2,,9,
21,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
22,Etaoin Shrdlu,8,2C9J200L,1,8,
23,Clanhuntaz,8,R9CVQPQU,1,8,
24,Tifosi,8,22UL2JQUR,1,8,
25,TyroneCoC,8,29G0GL8Y2,1,8,
26,prometheus,8,2PUCU0209,,8,
27,Don.i,8,CLUY9VYP,,8,
28,Tukutae,8,2GCPJY82Y,,8,
29,Cel.07,8,J28ULCCQ,,8,
30,Duncan,8,PY2C2UQG,,8,
31,ChopSuey,8,2PYYGGRPR,,8,
32,Mip of Doom,7,29099RVL0,,7,
33,ddgrimmson,7,2G29OUUY,,7,
34,alfawolf,7,2R2VQ2JYQ,,7,
35,rocksteady,7,2GCL2V2OU,,6,
1,3,100,32,31,,
2,1,54,7,10,,
3,1,70,26,28,,
4,1,68,12,12,,
5,3,100,24,21,,
6,3,100,6,17,,
7,1,73,18,20,,
8,2,88,34,32,,
9,3,100,8,14,,
10,2,90,28,25,,
11,3,100,9,11,,
12,3,100,25,27,,
13,3,100,32,33,,
14,3,100,27,23,,
15,3,100,22,25,,
16,3,100,8,10,,
17,3,100,15,19,,
18,3,100,30,29,,
19,3,100,10,13,,
20,3,100,31,24,,
21,1,67,21,26,,
22,2,82,29,22,,
23,0,49,1,1,,
24,3,100,35,34,,
25,2,88,14,16,,
26,1,82,10,15,,
27,3,100,30,26,,
28,3,100,27,22,,
29,3,100,35,32,,
30,3,100,16,20,,
31,3,100,23,28,,
32,3,100,21,30,,
33,2,70,3,6,,
34,3,100,23,21,,
35,3,100,26,21,,
36,1,86,12,16,,
37,3,100,13,16,,
38,1,52,18,18,,
39,3,100,7,12,,
40,1,74,16,18,,
41,1,56,9,15,,
42,3,100,5,8,,
43,3,100,33,25,,
44,3,100,17,18,,
45,3,100,11,9,,
46,3,100,25,21,,
47,3,100,19,24,,
48,2,83,17,15,,
49,2,89,14,15,,
50,2,56,3,4,,
51,2,73,2,2,,
52,2,99,33,29,,
53,1,76,19,22,,
54,3,100,20,24,,
55,1,62,4,5,,
56,0,49,5,1,,
57,1,94,31,21,,
58,0,17,20,23,,
59,2,68,11,7,,
60,3,100,34,30,,
61,2,65,4,1,,
62,2,79,2,5,,
63,1,82,13,15,,
64,1,85,6,15,,
65,1,45,24,15,,
66,3,100,29,24,,
67,1,37,1,3,,
68,1,64,28,22,,
69,3,100,22,21,,
70,,,21,17,3,100
71,,,34,30,2,99
72,,,29,25,3,100
73,,,32,28,3,100
74,,,22,13,2,90
75,,,35,35,2,66
76,,,35,30,3,100
77,,,27,23,1,68
78,,,5,3,1,59
79,,,12,8,3,100
80,,,23,19,2,97
81,,,33,29,2,82
82,,,24,20,2,68
83,,,34,31,3,100
84,,,18,14,2,54
85,,,30,25,2,85
86,,,33,35,0,33
87,,,15,11,3,100
88,,,25,21,3,100
89,,,31,33,0,35
90,,,18,17,2,83
91,,,11,7,2,56
92,,,26,13,3,100
93,,,33,32,3,100
94,,,31,27,1,38
95,,,20,18,3,100
96,,,30,26,2,97
97,,,31,32,0,44
98,,,30,23,3,100
99,,,7,4,2,90
100,,,19,18,3,100
101,,,16,7,1,83
102,,,6,3,3,100
103,,,31,28,2,60
104,,,2,1,1,53
105,,,9,14,2,51
106,,,17,11,2,82
107,,,28,19,3,100
108,,,14,9,2,50
109,,,1,1,1,40
110,,,8,5,2,86
111,,,16,10,2,74
112,,,27,22,3,100
113,,,10,6,2,74
114,,,13,8,2,91
115,,,23,20,2,90
116,,,31,26,1,67
117,,,18,9,2,54
118,,,3,2,0,46
119,,,18,4,3,100
120,,,7,6,2,54
121,,,22,21,2,91
122,,,4,2,1,50
123,,,31,22,2,75
124,,,24,16,3,100
125,,,5,5,1,47
126,,,10,15,2,72
127,,,23,16,3,100
