version,1,reserved,reserved,reserved,reserved,reserved
Viva Philipinas,,,JTJ,2R9RCV9V,,
40,,,,,,
2015/10/26,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Mike,10,RJP9282R,,10,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,,10,
6,Chief Joshy,9,VPPJUCV,,10,
7,Owen,9,LYV2GVUO,,10,
8,Atlas,9,RJ9PJ9CC,1,9,
9,Whooboy,9,22UOVV2JJ,1,9,
10,Shamrok13,9,L9YUGPQC,1,9,
11,Kighr,9,J0RJP9LG,1,9,
12,Dan,9,RCP8PQY,1,9,
13,BEEJ,9,CR8JYPLG,1,9,
14,Aboy,9,VQ9PUJV2,1,9,
15,YYY,9,20YVJR2JG,1,9,
16,Jippieh Yeah,9,YCYV88UV,1,9,
17,Cheeto,9,RPUVJYLP,1,9,
18,DoubleDuce,9,Y9GU99U2,1,9,
19,Steve,9,QVRV9VGG,,9,
20,Poz,9,PPRYLOUY,,9,
21,Simlin,9,2GO989G2U,,9,
22,Kevlar,8,8GUL9GO9,,9,
23,King Drog,8,2Y9RUYRU9,,9,
24,Katie-cakes,8,G2QQ0GGG2,,9,
25,Evil Lord Dorn,8,2JRLC2YQ9,,9,
26,Etaoin Shrdlu,8,2C9J200L,,9,
27,Wilford Brimley,8,UGPJGJRU,1,8,
28,Clanhuntaz,8,R9CVQPQU,1,8,
29,Tifosi,8,22UL2JQUR,1,8,
30,TyroneCoC,8,29G0GL8Y2,1,8,
31,prometheus,8,2PUCU0209,1,8,
32,GodSquid,8,9J9C9LP,1,8,
33,Tukutae,8,2GCPJY82Y,1,8,
34,Duncan,8,PY2C2UQG,1,8,
35,ChopSuey,8,2PYYGGRPR,,8,
36,Mip of Doom,7,29099RVL0,,8,
37,liam,7,28Q8YCPL0,,8,
38,ddgrimmson,7,2G29OUUY,,8,
39,alfawolf,7,2R2VQ2JYQ,,8,
40,rocksteady,7,2GCL2V2OU,,8,
1,3,100,27,35,,
2,3,100,31,39,,
3,1,79,36,40,,
4,2,99,29,27,,
5,2,75,1,5,,
6,1,79,16,24,,
7,3,100,23,38,,
8,1,94,24,30,,
9,3,100,33,33,,
10,1,94,8,14,,
11,1,79,30,36,,
12,2,94,32,37,,
13,1,57,6,20,,
14,0,40,5,6,,
15,2,82,21,26,,
16,3,100,24,29,,
17,1,50,1,1,,
18,2,55,2,2,,
19,3,100,20,23,,
20,0,29,4,4,,
21,3,100,15,25,,
22,0,3,39,21,,
23,2,84,31,36,,
24,3,100,17,21,,
25,3,100,33,30,,
26,0,49,9,13,,
27,0,0,39,22,,
28,3,100,7,12,,
29,3,100,23,36,,
30,3,100,22,32,,
31,3,100,8,10,,
32,3,100,35,28,,
33,1,74,21,22,,
34,3,100,25,34,,
35,3,100,15,18,,
36,0,48,26,37,,
37,2,50,4,6,,
38,2,95,7,13,,
39,3,100,13,8,,
40,3,100,25,37,,
41,1,72,14,9,,
42,3,100,35,27,,
43,1,67,12,24,,
44,2,78,22,31,,
45,2,81,10,11,,
46,3,100,36,38,,
47,2,91,30,31,,
48,2,65,10,9,,
49,2,93,29,31,,
50,3,100,27,31,,
51,3,100,34,40,,
52,1,54,11,15,,
53,3,100,13,16,,
54,3,100,16,26,,
55,2,82,34,29,,
56,1,77,28,27,,
57,3,100,17,22,,
58,0,31,3,3,,
59,1,50,32,17,,
60,3,100,14,17,,
61,0,48,18,20,,
62,3,100,9,19,,
63,3,100,19,24,,
64,1,59,40,39,,
65,2,76,18,15,,
66,2,86,5,7,,
67,2,93,19,20,,
68,3,100,6,14,,
69,2,65,20,20,,
70,1,72,28,19,,
71,3,100,11,13,,
72,0,39,2,3,,
73,1,42,3,4,,
74,0,39,12,3,,
75,1,53,37,40,,
76,,,30,26,1,94
77,,,35,31,3,100
78,,,15,11,2,51
79,,,37,33,3,100
80,,,13,9,1,48
81,,,11,8,2,62
82,,,38,37,3,100
83,,,29,35,3,100
84,,,28,24,2,74
85,,,23,19,2,84
86,,,26,22,1,76
87,,,18,14,2,70
88,,,9,5,3,100
89,,,40,40,3,100
90,,,14,10,2,73
91,,,22,18,3,100
92,,,36,38,3,100
93,,,34,36,1,77
94,,,29,25,2,93
95,,,6,2,2,95
96,,,34,30,2,64
97,,,33,29,3,100
98,,,27,23,3,100
99,,,16,12,2,66
100,,,34,34,1,71
101,,,30,32,2,73
102,,,21,17,2,90
103,,,12,7,2,72
104,,,32,28,2,74
105,,,34,38,1,68
106,,,31,27,3,100
107,,,10,6,3,100
108,,,24,20,2,93
109,,,32,39,2,64
110,,,17,13,2,61
111,,,30,31,3,100
112,,,23,17,3,100
113,,,7,3,2,79
114,,,28,25,3,100
115,,,25,21,0,38
116,,,32,37,2,79
117,,,25,14,1,84
118,,,25,12,3,100
119,,,8,4,3,100
120,,,19,15,2,72
121,,,32,40,2,79
122,,,26,21,2,94
123,,,34,27,3,100
124,,,24,19,3,100
125,,,32,34,3,100
126,,,29,33,2,65
127,,,29,39,3,100
128,,,20,18,2,71
129,,,20,22,2,55
130,,,26,36,2,72
131,,,21,10,2,58
132,,,20,16,2,70
133,,,26,20,3,100
134,,,5,6,0,47
135,,,21,24,1,53
136,,,13,8,2,55
137,,,3,3,1,39
138,,,20,13,2,54
139,,,11,35,1,11
140,,,21,11,2,78
141,,,17,26,1,53
142,,,21,28,1,29
143,,,31,32,3,100
144,,,15,15,0,42
145,,,11,30,1,18
146,,,11,29,1,15
147,,,21,16,2,50
148,,,4,4,1,40
149,,,5,1,1,53
150,,,15,7,2,74
151,,,21,9,1,77
152,,,2,2,0,40
153,,,1,1,1,36
154,,,2,5,0,33
