version,1,reserved,reserved,reserved,reserved,reserved
Golden Cla,,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/10/28,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,dolphinkickme,9,QQUJUV2V,,10,
8,owen,9,LYV2GVUO,1,9,
9,Atlas,9,RJ9PJ9CC,1,9,
10,Whooboy,9,22UOVV2JJ,1,9,
11,Shamrok13,9,L9YUGPQC,1,9,
12,Kighr,9,J0RJP9LG,1,9,
13,Beej,9,CR8JYPLG,1,9,
14,Aboy,9,VQ9PUJV2,1,9,
15,YYY,9,20YVJR2JG,,9,
16,Joe,9,LG9GQQJ8,,9,
17,Jippieh Yeah,9,YCYV88UV,,9,
18,cheeto,9,RPUVJYLP,,9,
19,steve,9,QVRV9VGG,,9,
20,DoubleDuce,9,Y9GU99U2,,9,
21,Poz,9,PPRYLOUY,1,8,
22,Simlin,9,2GO989G2U,1,8,
23,jack,8,5,1,8,
24,king drog,8,2Y9RUYRU9,1,8,
25,kevlar,8,8GUL9GO9,1,8,
26,katie-cakes,8,G2QQ0GGG2,1,8,
27,evil lord dorn,8,2JRLC2YQ9,1,8,
28,clanhuntaz,8,R9CVQPQU,1,8,
29,wilford brimley,8,UGPJGJRU,1,8,
30,tifosi,8,22UL2JQUR,1,8,
31,TyroneCoC,8,29G0GL8Y2,1,8,
32,prometheus,8,2PUCU0209,1,8,
33,dragon slayer,8,CV9L1YVC,1,8,
34,tukutae,8,2GCPJY82Y,,8,
35,cel.07,8,J28ULCCQ,,8,
36,Duncan,8,PY2C2UQG,,8,
37,ChopSuey,8,2PYYGGRPR,,8,
38,mip of doom,7,29099RVL0,,8,
39,liam,7,28Q8YCPL0,,8,
40,alfawolf,7,2R2VQ2JYQ,,8,
1,2,77,38,38,,
2,1,55,26,22,,
3,3,100,32,35,,
4,3,100,24,37,,
5,2,91,8,14,,
6,3,100,31,36,,
7,1,64,35,28,,
8,3,100,29,34,,
9,3,100,30,21,,
10,3,100,12,10,,
11,3,100,17,19,,
12,3,100,9,11,,
13,3,100,26,27,,
14,3,100,39,40,,
15,1,74,34,33,,
16,3,100,16,16,,
17,0,48,5,5,,
18,1,54,20,17,,
19,2,88,25,29,,
20,2,78,30,22,,
21,3,100,37,24,,
22,3,100,13,13,,
23,3,100,29,38,,
24,3,100,32,31,,
25,2,58,15,15,,
26,2,70,34,30,,
27,3,100,9,12,,
28,1,90,35,32,,
29,3,100,11,20,,
30,2,83,19,17,,
31,3,100,38,39,,
32,2,88,27,33,,
33,3,100,21,18,,
34,1,78,11,15,,
35,3,100,36,33,,
36,3,100,25,26,,
37,1,79,3,7,,
38,3,100,33,30,,
39,2,61,7,9,,
40,2,60,28,25,,
41,2,70,4,4,,
42,3,100,27,32,,
43,2,76,36,29,,
44,1,78,28,23,,
45,1,75,14,8,,
46,3,100,15,14,,
47,3,100,18,17,,
48,3,100,14,9,,
49,1,60,23,23,,
50,1,47,12,8,,
51,2,78,22,18,,
52,2,62,10,15,,
53,1,69,18,15,,
54,2,72,31,23,,
55,1,60,17,15,,
56,2,76,22,19,,
57,2,82,37,23,,
58,2,57,19,15,,
59,3,100,6,9,,
60,2,84,24,28,,
61,3,100,33,25,,
62,2,98,13,15,,
63,1,67,4,6,,
64,1,70,7,15,,
65,0,46,1,1,,
66,1,56,16,15,,
67,3,100,21,22,,
68,2,79,39,39,,
69,2,61,2,5,,
70,2,61,5,7,,
71,3,100,10,10,,
72,2,64,1,2,,
73,1,51,6,3,,
74,2,96,40,39,,
75,2,61,2,1,,
76,3,100,3,6,,
77,3,100,8,15,,
78,2,97,40,38,,
79,,,38,36,3,100
80,,,39,39,3,100
81,,,33,23,2,99
82,,,28,21,2,88
83,,,35,36,2,76
84,,,37,35,1,50
85,,,31,31,2,90
86,,,20,15,2,78
87,,,16,10,1,66
88,,,29,22,2,96
89,,,36,37,2,84
90,,,24,19,1,67
91,,,23,16,3,100
92,,,37,26,2,85
93,,,34,27,2,87
94,,,30,28,0,28
95,,,7,4,2,79
96,,,32,37,2,76
97,,,22,14,1,86
98,,,26,18,2,99
99,,,8,1,2,87
100,,,17,9,2,94
101,,,36,28,1,85
102,,,25,17,3,100
103,,,9,2,2,60
104,,,40,40,3,100
105,,,30,30,1,56
106,,,21,10,1,63
107,,,37,38,2,78
108,,,10,7,2,67
109,,,24,14,3,100
110,,,11,6,2,70
111,,,12,5,2,68
112,,,27,30,1,57
113,,,35,40,0,47
114,,,6,2,1,56
115,,,1,1,0,39
116,,,30,25,1,76
117,,,4,4,0,45
118,,,5,5,0,40
119,,,32,25,3,100
120,,,13,11,2,55
121,,,5,7,1,52
122,,,36,26,2,84
123,,,18,9,2,95
124,,,27,33,2,82
125,,,19,13,2,70
126,,,30,23,2,82
127,,,14,12,2,83
128,,,15,3,3,100
129,,,22,16,2,87
130,,,37,39,1,69
131,,,35,31,2,73
132,,,4,3,0,35
133,,,21,15,0,36
134,,,34,33,2,76
135,,,26,17,3,100
136,,,16,8,2,89
137,,,36,38,1,51
138,,,35,34,3,100
139,,,27,19,2,99
140,,,27,21,1,67
141,,,36,35,1,85
142,,,21,8,3,100
143,,,29,18,1,70
