version,1,reserved,reserved,reserved,reserved,reserved
4 Kings,,,JTJ,2R9RCV9V,,S1
35,,,,,,
2015/10/31,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Space12345,10,8002Y989,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,dolphinkickme,9,QQUJUV2V,,10,
8,Atlas,9,RJ9PJ9CC,1,9,
9,Whooboy,9,22UOVV2JJ,1,9,
10,Shamrok13,9,L9YUGPQC,1,9,
11,Kighr,9,J0RJP9LG,1,9,
12,Aboy,9,VQ9PUJV2,1,9,
13,Beej,9,CR8JYPLG,1,9,
14,YYY,9,20YVJR2JG,1,9,
15,Joe,9,LG9GQQJ8,,9,
16,Jippieh Yeah,9,YCYV88UV,,9,
17,Steve,9,QVRV9VGG,,9,
18,Poz,9,PPRYLOUY,,9,
19,Rokthar,9,LYOUL9GJ,,9,
20,Simlin,9,2GO989G2U,,9,
21,Kevlar,8,8GUL9GO9,,9,
22,katie-cakes,8,G2QQ0GGG2,,9,
23,evil lord dorn,8,2JRLC2YQ9,,9,
24,etaoin shrdlu,8,2C9J200L,1,8,
25,Clanhuntaz,8,R9CVQPQU,1,8,
26,Wilford Brimley,8,UGPJGJRU,1,8,
27,prometheus,8,2PUCU0209,1,8,
28,Dragon Slayer,8,CV9L1YVC,1,8,
29,Tukutae,8,2GCPJY82Y,1,8,
30,Duncan,8,PY2C2UQG,1,8,
31,ChopSuey,8,2PYYGGRPR,1,8,
32,mip of doom,7,29099RVL0,1,8,
33,liam,7,28Q8YCPL0,1,8,
34,ddgrimmson,7,2G29OUUY,,8,
35,rocksteady,7,2GCL2V2OU,,8,
1,3,100,17,17,,
2,1,57,5,4,,
3,3,100,8,14,,
4,1,70,29,27,,
5,3,100,18,21,,
6,1,77,1,1,,
7,1,71,26,34,,
8,2,63,29,28,,
9,2,97,32,35,,
10,3,100,20,23,,
11,1,71,33,31,,
12,3,100,27,33,,
13,2,78,8,9,,
14,1,75,26,27,,
15,2,83,14,16,,
16,1,82,31,32,,
17,3,100,24,34,,
18,3,100,5,7,,
19,2,52,3,5,,
20,0,41,1,2,,
21,1,38,32,30,,
22,1,86,9,13,,
23,2,63,18,18,,
24,3,100,20,22,,
25,2,87,28,25,,
26,1,75,31,27,,
27,3,100,23,35,,
28,3,100,27,32,,
29,0,0,35,29,,
30,3,100,28,24,,
31,3,100,19,19,,
32,3,100,16,18,,
33,3,100,21,29,,
34,3,100,13,10,,
35,3,100,11,11,,
36,3,100,10,20,,
37,0,49,34,33,,
38,0,17,35,26,,
39,3,100,25,27,,
40,2,90,6,6,,
41,2,66,4,4,,
42,2,82,19,15,,
43,1,75,30,30,,
44,3,100,25,26,,
45,3,100,12,8,,
46,1,60,22,28,,
47,2,74,22,30,,
48,3,100,7,13,,
49,2,88,23,31,,
50,2,74,7,12,,
51,1,64,15,16,,
52,1,78,34,35,,
53,1,79,24,25,,
54,3,100,9,28,,
55,3,100,14,15,,
56,3,100,16,25,,
57,3,100,17,30,,
58,1,60,12,9,,
59,1,79,21,31,,
60,2,90,30,31,,
61,2,50,2,3,,
62,2,91,10,16,,
63,3,100,15,31,,
64,3,100,13,16,,
65,1,48,2,2,,
66,2,77,33,24,,
67,1,72,4,6,,
68,3,100,3,6,,
69,1,56,6,2,,
70,2,78,11,9,,
71,,,22,26,1,91
72,,,23,28,1,67
73,,,32,33,3,100
74,,,27,25,1,91
75,,,18,21,1,51
76,,,7,6,1,64
77,,,21,22,3,100
78,,,33,32,3,100
79,,,11,11,2,64
80,,,29,32,1,72
81,,,27,28,2,97
82,,,26,34,2,99
83,,,19,21,2,58
84,,,10,6,3,100
85,,,4,4,1,66
86,,,30,29,3,100
87,,,31,35,3,100
88,,,34,35,3,100
89,,,24,26,0,41
90,,,3,3,1,47
91,,,2,2,2,67
92,,,28,25,3,100
93,,,22,29,1,84
94,,,24,34,2,57
95,,,27,33,2,60
96,,,17,20,2,73
97,,,16,13,1,69
98,,,20,12,2,91
99,,,1,1,0,47
100,,,6,3,1,54
101,,,16,9,2,91
102,,,15,13,3,100
103,,,18,15,3,100
104,,,25,27,1,68
105,,,20,17,2,81
106,,,35,31,3,100
107,,,12,8,2,77
108,,,27,27,1,55
109,,,13,12,1,60
110,,,22,31,0,49
111,,,9,11,2,64
112,,,22,20,3,100
113,,,14,8,3,100
114,,,25,23,2,82
115,,,23,18,3,100
116,,,26,23,3,100
117,,,20,15,3,100
118,,,1,2,1,39
119,,,29,24,2,85
120,,,13,7,3,100
121,,,17,14,2,68
122,,,27,24,3,100
123,,,19,16,1,74
124,,,8,5,2,82
125,,,24,22,1,78
126,,,24,16,3,100
127,,,7,7,3,100
128,,,25,30,2,96
129,,,25,18,1,99
130,,,5,4,1,60
131,,,19,9,3,100
132,,,25,19,3,100
133,,,5,1,1,59
134,,,17,10,3,100
135,,,29,30,3,100
136,,,6,5,1,52
137,,,16,10,3,100
138,,,12,19,1,60
139,,,12,14,1,62
