version,1,reserved,reserved,reserved,reserved,reserved
China,,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/11/2,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Space12345,10,8002Y989,,10,
6,Diggs,10,L82YQVU,,10,
7,MJP35,10,GRLV9L,1,9,
8,dolphinkickme,9,QQUJUV2V,1,9,
9,Atlas,9,RJ9PJ9CC,1,9,
10,Whooboy,9,22UOVV2JJ,1,9,
11,Shamrok13,9,L9YUGPQC,1,9,
12,Aboy,9,VQ9PUJV2,1,9,
13,Beej,9,CR8JYPLG,1,9,
14,YYY,9,20YVJR2JG,1,9,
15,Jim,9,R2RRQJG,,9,
16,Jippieh Yeah,9,YCYV88UV,,9,
17,Joe,9,LG9GQQJ8,,9,
18,RedACE,9,GRJLGCUQ,,9,
19,steve,9,QVRV9VGG,,9,
20,DoubleDuce,9,Y9GU99U2,,9,
21,Poz,9,PPRYLOUY,,9,
22,Rokthar,9,LYOUL9GJ,,9,
23,Simlin,9,2GO989G2U,,9,
24,Katie-cakes,8,G2QQ0GGG2,1,8,
25,Kevlar,8,8GUL9GO9,1,8,
26,Jack,8,5,1,8,
27,King Drog,8,2Y9RUYRU9,,8,
28,Evil Lord Dorn,8,2JRLC2YQ9,,8,
29,Etaoin Shrdlu,8,2C9J200L,,8,
30,Clanhuntaz,8,R9CVQPQU,,8,
31,Wilford Brimley,8,UGPJGJRU,,8,
32,Prometheus,8,2PUCU0209,,8,
33,Dragon Slayer,8,CV9L1YVC,,8,
34,Tukutae,8,2GCPJY82Y,,8,
35,Cel.07,8,J28ULCCQ,,8,
36,mip of doom,7,29099RVL0,,8,
37,liam,7,28Q8YCPL0,,8,
38,alfawolf,7,2R2VQ2JYQ,,8,
39,bacon,7,2QRJ0RU0J,,7,
40,rocksteady,7,2GCL2V2OU,,7,
1,3,100,35,33,,
2,3,100,14,16,,
3,3,100,29,34,,
4,,,6,2,1,56
5,,,36,36,1,72
6,3,100,27,30,,
7,1,53,32,25,,
8,3,100,16,17,,
9,2,92,36,38,,
10,,,24,17,2,84
11,,,37,35,3,100
12,,,35,32,2,84
13,3,100,39,40,,
14,,,10,8,1,49
15,3,100,29,35,,
16,1,84,9,14,,
17,3,100,23,23,,
18,2,86,10,12,,
19,3,100,39,38,,
20,2,53,13,10,,
21,,,20,19,2,51
22,3,100,34,26,,
23,3,100,31,28,,
24,2,92,40,36,,
25,2,88,32,24,,
26,,,8,9,2,75
27,1,65,35,27,,
28,,,25,24,2,68
29,,,14,12,2,70
30,3,100,27,31,,
31,2,97,11,19,,
32,,,28,21,3,100
33,,,34,26,1,54
34,1,83,9,11,,
35,,,13,13,2,63
36,,,26,8,1,93
37,,,38,35,3,100
38,,,33,30,2,79
39,3,100,31,32,,
40,,,40,39,3,100
41,,,18,19,2,60
42,,,39,34,2,59
43,,,36,37,2,86
44,3,100,38,39,,
45,1,55,11,15,,
46,,,32,29,2,97
47,,,27,24,1,47
48,3,100,36,37,,
49,3,100,28,29,,
50,2,59,5,3,,
51,,,29,17,2,63
52,,,26,20,3,100
53,2,93,28,24,,
54,,,30,22,0,49
55,2,55,3,6,,
56,,,5,2,1,49
57,,,30,31,0,35
58,,,7,3,0,36
59,,,27,20,3,100
60,,,36,39,1,81
61,,,12,11,3,100
62,,,31,36,0,31
63,,,36,38,1,90
64,,,30,29,2,72
65,,,31,30,3,100
66,,,39,40,2,79
67,,,11,11,1,87
68,,,9,7,2,50
69,,,29,31,0,0
70,,,19,13,2,78
71,,,23,16,2,60
72,,,34,25,0,38
73,,,2,1,1,61
74,,,34,37,1,58
75,,,36,27,3,100
76,3,100,24,25,,
77,1,78,22,15,,
78,,,15,10,1,65
79,,,7,4,2,53
80,,,1,1,2,59
81,1,79,24,24,,
82,3,100,12,11,,
83,2,55,4,4,,
84,,,29,21,2,79
85,3,100,7,8,,
86,2,56,6,5,,
87,2,82,25,24,,
88,,,35,25,2,74
89,,,21,10,2,76
90,,,10,5,2,96
91,3,100,15,10,,
92,2,81,38,36,,
93,,,11,7,2,90
94,,,24,18,0,43
95,3,100,16,18,,
96,,,4,6,1,49
97,2,58,6,2,,
98,,,17,9,2,74
99,2,81,33,24,,
100,3,100,7,9,,
101,3,100,23,20,,
102,3,100,34,24,,
103,0,46,4,1,,
104,,,22,18,2,70
105,3,100,10,14,,
106,,,3,6,1,47
107,3,100,25,27,,
108,2,91,21,19,,
109,0,43,1,1,,
110,3,100,20,22,,
111,2,78,17,15,,
112,3,100,33,36,,
113,3,100,18,21,,
114,2,94,22,19,,
115,2,53,2,1,,
116,2,76,37,36,,
117,3,100,5,7,,
118,2,94,8,13,,
119,2,88,26,25,,
120,1,52,2,3,,
121,3,100,37,37,,
122,,,34,28,1,54
123,,,31,28,0,47
124,,,16,3,3,100
125,1,65,19,15,,
126,1,90,18,19,,
127,3,100,19,12,,
128,3,100,17,19,,
129,,,34,38,0,46
130,2,52,20,15,,
131,3,100,15,13,,
132,2,92,12,15,,
133,3,100,40,28,,
134,,,15,12,2,69
135,2,76,8,15,,
136,1,63,21,15,,
137,3,100,30,25,,
138,3,100,13,15,,
139,,,24,16,3,100
140,,,39,27,2,86
141,1,56,1,2,,
142,1,61,14,8,,
143,2,71,3,4,,
