version,1,reserved,reserved,reserved,reserved,reserved
Reflected Wrath,,,JTJ,2R9RCV9V,,
40,,,,,,
2015/11/4,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Space12345,10,8002Y989,,10,
6,Diggs,10,L82YQVU,,10,
7,MJP35,10,GRLV9L,1,9,
8,Whooboy,9,22UOVV2JJ,1,9,
9,Shamrok13,9,L9YUGPQC,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,Aboy,9,VQ9PUJV2,1,9,
12,Beej,9,CR8JYPLG,1,9,
13,YYY,9,20YVJR2JG,1,9,
14,Jim,9,R2RRQJG,1,9,
15,Cheeto,9,RPUVJYLP,,9,
16,Jippieh Yeah,9,YCYV88UV,,9,
17,RedAce,9,GRJLGCUQ,,9,
18,Steve,9,QVRV9VGG,,9,
19,DoubleDuce,9,Y9GU99U2,,9,
20,Poz,9,PPRYLOUY,,9,
21,Rokthar,9,LYOUL9GJ,,9,
22,Simlin,9,2GO989G2U,1,8,
23,Kevlar,8,8GUL9GO9,1,8,
24,King Drog,8,2Y9RUYRU9,1,8,
25,Etaoin Shrdlu,8,2C9J200L,1,8,
26,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
27,Clanhuntaz,8,R9CVQPQU,1,8,
28,Wilford Brimley,8,UGPJGJRU,1,8,
29,Tifosi,8,22UL2JQUR,,8,
30,Prometheus,8,2PUCU0209,,8,
31,Dragon Slayer,8,CV9L1YVC,,8,
32,Tukutae,8,2GCPJY82Y,,8,
33,Cel.07,8,J28ULCCQ,,9,
34,Duncan,8,PY2C2UQG,,8,
35,ChopSuey,8,2PYYGGRPR,,8,
36,liam,8,28Q8YCPL0,,7,
37,ddgrimmson,7,2G29OUUY,,7,
38,alfawolf,7,2R2VQ2JYQ,,7,
39,bacon,7,2QRJ0RU0J,,7,
40,rocksteady,7,2GCL2V2OU,,9,
1,,,37,37,1,70
2,,,23,33,2,87
3,3,100,8,18,,
4,,,8,6,2,74
5,2,99,25,34,,
6,,,16,12,2,65
7,1,54,30,22,,
8,3,100,38,38,,
9,3,100,24,32,,
10,,,30,27,3,100
11,3,100,16,16,,
12,3,100,36,37,,
13,,,18,18,0,47
14,,,21,21,2,86
15,3,100,32,28,,
16,,,33,29,2,76
17,,,14,10,0,47
18,3,100,33,31,,
19,,,25,25,2,52
20,,,24,33,3,100
21,3,100,38,39,,
22,1,50,10,13,,
23,3,100,28,30,,
24,0,45,6,5,,
25,,,5,4,2,59
26,,,7,3,0,27
27,3,100,29,24,,
28,3,100,36,34,,
29,3,100,25,35,,
30,,,27,24,2,57
31,,,12,8,3,100
32,1,59,20,20,,
33,2,83,13,17,,
34,,,26,23,1,55
35,,,36,34,3,100
36,3,100,39,36,,
37,3,100,37,33,,
38,3,100,26,29,,
39,1,84,7,6,,
40,3,100,39,40,,
41,,,35,31,0,43
42,,,7,5,2,74
43,3,100,29,25,,
44,2,77,32,23,,
45,3,100,22,21,,
46,,,9,6,1,77
47,1,91,12,11,,
48,,,6,3,0,30
49,,,19,15,0,36
50,3,100,18,19,,
51,2,76,9,17,,
52,,,18,10,2,74
53,1,50,10,9,,
54,,,37,31,3,100
55,3,100,35,27,,
56,,,11,7,2,61
57,,,34,40,3,100
58,,,15,11,2,95
59,,,38,28,3,100
60,0,45,5,2,,
61,1,83,3,3,,
62,1,79,31,22,,
63,3,100,23,22,,
64,,,32,27,3,100
65,,,39,38,3,100
66,3,100,17,20,,
67,,,10,8,2,52
68,2,84,12,13,,
69,,,26,20,3,100
70,3,100,8,13,,
71,2,63,34,26,,
72,3,100,27,23,,
73,1,63,26,26,,
74,2,50,4,4,,
75,,,35,35,3,100
76,2,63,30,26,,
77,,,13,9,2,78
78,,,31,30,1,78
79,,,28,35,2,85
80,3,100,21,17,,
81,2,58,40,26,,
82,2,75,37,32,,
83,2,82,27,26,,
84,2,58,15,15,,
85,2,85,21,15,,
86,,,23,17,3,100
87,,,40,36,3,100
88,3,100,34,30,,
89,,,6,5,1,28
90,2,83,11,9,,
91,3,100,35,26,,
92,3,100,11,10,,
93,0,35,33,29,,
94,3,100,28,28,,
95,,,33,34,2,82
96,,,29,26,2,59
97,,,22,11,3,100
98,2,65,31,26,,
99,2,90,16,9,,
100,,,33,32,2,70
101,1,24,20,15,,
102,2,54,22,14,,
103,,,25,22,2,78
104,,,19,14,1,78
105,3,100,14,14,,
106,0,49,4,5,,
107,,,17,13,2,93
108,,,31,23,1,70
109,,,19,7,2,66
110,,,4,4,2,65
111,1,61,17,15,,
112,2,54,13,12,,
113,,,14,12,2,91
114,2,53,2,5,,
115,0,49,9,15,,
116,,,31,24,2,80
117,,,29,19,2,99
118,,,25,29,2,75
119,,,20,16,1,71
120,,,29,30,2,82
121,,,3,2,1,47
122,,,25,18,3,100
123,,,28,15,2,96
124,1,49,6,3,,
125,2,53,1,1,,
126,,,20,14,2,92
