version,1,reserved,reserved,reserved,reserved,reserved
China 613,,,JTJ,2R9RCV9V,,
35,,,,,,
2015/11/9,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Mike,10,RJP9282R,,10,
4,Space12345,10,8002Y989,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,Atlas,9,RJ9PJ9CC,,10,
8,Nicholas,9,RC00PQCL,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,MrPatty,9,CR2QPCU9,1,9,
11,Shamrok13,9,L9YUGPQC,1,9,
12,Kighr,9,J0RJP9LG,1,9,
13,Beej,9,CR8JYPLG,1,9,
14,Aboy,9,VQ9PUJV2,1,9,
15,Jim,9,R2RRQJG,1,9,
16,RedAce,9,GRJLGCUQ,,9,
17,Joe,9,LG9GQQJ8,,9,
18,Steve,9,QVRV9VGG,,9,
19,DoubleDuce,9,Y9GU99U2,,9,
20,Poz,9,PPRYLOUY,1,8,
21,Simlin,9,2GO989G2U,1,8,
22,King Drog,8,2Y9RUYRU9,1,8,
23,Etaoin Shrdlu,8,2C9J200L,1,8,
24,Evil Lord Dorn,8,2JRLC2YQ9,,8,
25,Clanhuntaz,8,R9CVQPQU,,8,
26,Wilford Brimley,8,UGPJGJRU,,8,
27,Tifosi,8,22UL2JQUR,,8,
28,TyroneCoC,8,29G0GL8Y2,,8,
29,MohamedMran,8,2GQ8VYRLV,,8,
30,Tukutae,8,2GCPJY82Y,,7,
31,Duncan,8,PY2C2UQG,,7,
32,ddgrimmson,7,2G29OUUY,,7,
33,alfawolf,7,2R2VQ2JYQ,,7,
34,bacon,7,2QRJ0RU0J,,7,
35,rocksteady,7,2GCL2V2OU,,7,
1,2,91,26,24,,
2,3,100,29,26,,
3,3,100,22,27,,
4,,,33,35,3,100
5,,,27,21,2,87
6,,,31,23,1,60
7,,,31,24,3,100
8,,,23,22,2,60
9,,,5,6,1,47
10,2,55,5,1,,
11,3,100,27,21,,
12,3,100,34,31,,
13,3,100,32,30,,
14,1,57,21,19,,
15,3,100,26,29,,
16,,,28,21,1,53
17,,,14,8,2,54
18,,,35,34,3,100
19,3,100,33,33,,
20,2,94,28,22,,
21,3,100,30,23,,
22,,,32,35,3,100
23,,,30,25,1,57
24,1,76,24,25,,
25,1,75,11,18,,
26,2,75,10,11,,
27,3,100,31,28,,
28,,,17,17,2,61
29,3,100,13,14,,
30,,,34,31,1,74
31,,,9,9,2,69
32,1,83,16,16,,
33,,,13,11,3,100
34,,,3,3,1,42
35,,,4,4,1,48
36,3,100,30,22,,
37,3,100,9,17,,
38,3,100,20,19,,
39,3,100,29,24,,
40,3,100,8,12,,
41,,,29,22,1,80
42,3,100,21,18,,
43,3,100,34,32,,
44,,,20,13,1,64
45,,,15,15,1,37
46,,,7,9,2,82
47,,,26,20,1,60
48,2,84,31,25,,
49,1,71,24,20,,
50,,,18,8,2,72
51,,,30,19,1,96
52,2,60,4,2,,
53,,,4,1,1,50
54,,,34,30,3,100
55,3,100,25,20,,
56,,,23,33,1,44
57,,,8,14,1,44
58,,,16,15,2,61
59,,,30,23,0,47
60,,,28,20,1,62
61,1,60,25,25,,
62,,,15,1,2,90
63,,,11,11,2,60
64,,,21,13,1,78
65,2,53,2,4,,
66,,,26,19,1,99
67,,,12,10,2,61
68,3,100,8,9,,
69,0,41,4,3,,
70,,,29,28,1,60
71,,,25,26,0,40
72,,,2,2,2,53
73,,,22,14,3,100
74,0,39,1,3,,
75,,,31,30,1,50
76,,,19,12,3,100
77,,,6,3,1,59
78,3,100,14,15,,
79,3,100,32,34,,
80,3,100,27,25,,
81,,,4,6,1,46
82,3,100,33,35,,
83,,,25,24,0,40
84,,,30,28,0,46
85,2,55,3,3,,
86,1,50,22,20,,
87,3,100,10,8,,
88,1,76,35,26,,
89,,,10,12,2,75
90,,,1,2,1,42
91,1,55,3,5,,
92,3,100,14,10,,
93,1,77,7,13,,
94,1,58,11,16,,
95,2,63,6,7,,
96,0,30,5,3,,
97,2,99,12,11,,
98,1,53,16,13,,
99,2,90,2,5,,
100,3,100,15,11,,
101,3,100,7,16,,
102,3,100,17,16,,
103,2,50,6,6,,
104,3,100,23,20,,
105,2,97,12,13,,
106,2,99,28,23,,
107,2,60,17,13,,
108,2,56,18,13,,
109,1,67,23,25,,
110,,,8,17,1,2
111,2,64,18,14,,
112,3,100,15,13,,
113,,,20,4,3,100
114,0,0,19,18,,
115,3,100,19,19,,
116,,,8,10,1,49
117,1,83,9,13,,
118,2,99,13,13,,
119,2,86,1,6,,
120,3,100,20,18,,
121,,,6,5,1,52
122,3,100,35,23,,
