version,1,reserved,reserved,reserved,reserved,reserved
Keng Pao Train,,,JTJ,2R9RCV9V,,S1
35,,,,,,
2015/11/11,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Mike,10,RJP9282R,,10,
4,Space12345,10,8002Y989,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,SailorJerry,9,8YGV9QRC,,10,
8,Atlas,9,RJ9PJ9CC,1,9,
9,Owen,9,LYV2GVUO,1,9,
10,Nicholas,9,RC00PQCL,1,9,
11,MrPatty,9,CR2QPCU9,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Beej,9,CR8JYPLG,1,9,
14,Aboy,9,VQ9PUJV2,1,9,
15,Anthony,9,YPPQ8G99,1,9,
16,Jim,9,R2RRQJG,1,9,
17,Jippieh Yeah,9,YCYV88UV,1,9,
18,RedACE,9,GRJLGCUQ,1,9,
19,Joe,9,LG9GQQJ8,1,9,
20,Steve,9,QVRV9VGG,1,9,
21,Poz,9,PPRYLOUY,,9,
22,Mr Incrediboyle,9,JGRY0R0L,,9,
23,King Drog,8,2Y9RUYRU9,,9,
24,Kevlar,8,8GUL9GO9,,9,
25,Etaoin Shrdlu,8,2C9J200L,1,8,
26,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
27,Clanhuntaz,8,R9CVQPQU,1,8,
28,TyroneCoC,8,29G0GL8Y2,1,8,
29,MohamedMran,8,2GQ8VYRLV,,8,
30,Tukutae,8,2GCPJY82Y,,8,
31,Dragon Slayer,8,CV9L1YVC,,8,
32,Duncan,8,PY2C2UQG,,8,
33,alfawolf,7,2R2VQ2JYQ,,7,
34,bacon,7,2QRJ0RU0J,,7,
35,Rocksteady,7,2GCL2V2OU,,6,
1,,,33,33,3,100
2,,,32,32,1,59
3,,,34,34,3,100
4,0,46,4,5,,
5,3,100,26,29,,
6,2,96,23,30,,
7,1,64,21,23,,
8,,,31,31,1,70
9,3,100,20,22,,
10,2,62,17,21,,
11,3,100,12,17,,
12,3,100,26,30,,
13,1,47,2,4,,
14,,,3,2,2,62
15,2,92,15,24,,
16,3,100,18,21,,
17,,,30,30,1,73
18,,,4,2,2,54
19,,,28,26,1,70
20,,,32,27,2,94
21,3,100,19,23,,
22,3,100,21,24,,
23,3,100,31,26,,
24,3,100,25,31,,
25,3,100,28,27,,
26,1,81,24,25,,
27,3,100,33,33,,
28,3,100,34,34,,
29,2,52,8,10,,
30,3,100,30,28,,
31,3,100,11,14,,
32,2,68,5,3,,
33,,,35,32,3,100
34,,,31,27,2,65
35,,,20,19,1,54
36,,,12,12,2,63
37,,,11,11,2,66
38,,,32,33,2,80
39,1,74,33,32,,
40,2,58,3,2,,
41,1,47,5,5,,
42,3,100,30,25,,
43,1,78,11,12,,
44,,,16,16,1,78
45,3,100,7,9,,
46,,,1,1,2,53
47,,,21,14,1,60
48,3,100,18,20,,
49,,,15,15,1,65
50,,,5,4,1,49
51,2,87,15,18,,
52,3,100,10,8,,
53,3,100,34,35,,
54,,,22,22,2,64
55,3,100,35,32,,
56,,,14,8,2,58
57,,,9,11,1,77
58,,,23,23,3,100
59,,,25,5,3,100
60,,,9,16,2,89
61,,,32,29,2,90
62,,,6,5,2,66
63,3,100,10,12,,
64,,,7,6,2,58
65,,,8,3,3,100
66,,,18,19,2,53
67,1,60,20,19,,
68,1,50,32,25,,
69,2,99,13,11,,
70,,,32,31,1,79
71,,,22,18,2,72
72,,,2,5,2,55
73,,,29,29,2,99
74,,,10,3,1,81
75,,,16,8,2,72
76,,,17,17,2,78
77,3,100,17,19,,
78,,,32,34,1,64
79,,,10,6,1,77
80,,,26,25,2,75
81,1,63,22,18,,
82,,,13,9,3,100
83,0,4,23,13,,
84,,,24,22,3,100
85,,,19,21,2,65
86,3,100,14,16,,
87,1,91,29,28,,
88,3,100,16,11,,
89,,,30,26,2,93
90,2,84,29,30,,
91,,,21,12,1,90
92,2,68,12,13,,
93,,,21,19,1,71
94,,,15,4,3,100
95,,,27,24,3,100
96,,,21,21,1,63
97,,,20,17,1,56
98,,,21,9,2,91
99,,,28,30,2,79
100,2,62,19,15,,
101,,,28,28,2,93
102,,,20,10,2,68
103,3,100,28,25,,
104,2,95,8,15,,
105,,,28,14,3,100
106,,,22,13,1,64
107,,,32,28,3,100
108,0,35,4,6,,
109,,,30,23,3,100
110,3,100,13,13,,
111,2,98,7,10,,
112,1,64,3,6,,
113,,,22,20,2,66
114,,,22,10,2,78
115,3,100,24,27,,
116,,,10,35,1,28
117,1,60,1,1,,
118,,,11,35,1,2
119,1,82,16,15,,
120,,,10,1,3,100
121,3,100,14,10,,
122,0,40,32,26,,
123,2,56,6,7,,
124,2,71,9,18,,
125,1,66,25,26,,
126,2,62,1,4,,
127,,,26,13,3,100
128,,,29,18,3,100
129,1,91,27,25,,
130,1,94,22,15,,
131,,,31,24,3,100
132,3,100,31,25,,
133,1,42,2,6,,
134,1,44,6,6,,
135,1,75,9,15,,
