version,1,reserved,reserved,reserved,reserved,reserved
Jujuy Argentina,,,JTJ,2R9RCV9V,,
40,,,,,,
2015/11/13,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Space12345,10,8002Y989,,10,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,,10,
6,SailorJerry,9,8YGV9QRC,,10,
7,Atlas,9,RJ9PJ9CC,,10,
8,Owen,9,LYV2GVUO,,10,
9,Nicholas,9,RC00PQCL,1,9,
10,Whooboy,9,22UOVV2JJ,1,9,
11,MrPatty,9,CR2QPCU9,1,9,
12,Shamrok13,9,L9YUGPQC,1,9,
13,Beej,9,CR8JYPLG,1,9,
14,Kighr,9,J0RJP9LG,1,9,
15,Aboy,9,VQ9PUJV2,1,9,
16,Anthony,9,YPPQ8G99,1,9,
17,Jim,9,R2RRQJG,,9,
18,RedAce,9,GRJLGCUQ,,9,
19,Cheeto,9,RPUVJYLP,,9,
20,Jippieh Yeah,9,YCYV88UV,,9,
21,Joe,9,LG9GQQJ8,,9,
22,Steve,9,QVRV9VGG,,9,
23,DoubleDuce,9,Y9GU99U2,,9,
24,Poz,9,PPRYLOUY,,9,
25,Mr Incrediboyle,9,JGRY0R0L,,9,
26,dimsum,9,Y9GV0QQ,,9,
27,simlin,9,2GO989G2U,,9,
28,king drog,8,2Y9RUYRU9,,9,
29,Kevlar,8,8GUL9GO9,1,8,
30,Etaoin Shrdlu,8,2C9J200L,1,8,
31,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
32,Wilford Brimley,8,UGPJGJRU,1,8,
33,TyroneCoC,8,29G0GL8Y2,1,8,
34,MohamedMran,8,2GQ8VYRLV,,8,
35,Tukutae,8,2GCPJY82Y,,8,
36,Dragon Slayer,8,CV9L1YVC,,8,
37,Duncan,8,PY2C2UQG,,7,
38,alfawolf,7,2R2VQ2JYQ,,8,
39,bacon,7,2QRJ0RU0J,,7,
40,rocksteady,7,2GCL2V2OU,,5,
1,3,100,28,35,,
2,3,100,21,24,,
3,3,100,15,9,,
4,,,39,39,2,81
5,1,55,27,19,,
6,3,100,20,25,,
7,,,9,40,1,3
8,,,20,40,0,4
9,3,100,32,34,,
10,2,98,8,16,,
11,,,37,35,1,53
12,3,100,25,23,,
13,3,100,24,27,,
14,,,34,34,2,68
15,3,100,7,14,,
16,,,35,33,2,81
17,3,100,38,37,,
18,3,100,35,31,,
19,2,58,23,22,,
20,2,81,26,21,,
21,3,100,18,20,,
22,3,100,33,32,,
23,2,73,4,5,,
24,3,100,27,28,,
25,3,100,10,18,,
26,2,72,11,13,,
27,3,100,35,29,,
28,,,8,6,0,31
29,3,100,6,10,,
30,3,100,31,36,,
31,3,100,40,39,,
32,,,38,32,3,100
33,3,100,38,40,,
34,0,40,36,30,,
35,,,33,33,2,68
36,,,17,15,2,79
37,1,71,22,19,,
38,3,100,29,33,,
39,,,40,38,3,100
40,3,100,21,26,,
41,3,100,30,30,,
42,1,80,16,17,,
43,1,58,4,6,,
44,2,95,20,21,,
45,3,100,34,38,,
46,3,100,11,11,,
47,,,22,20,1,48
48,3,100,24,22,,
49,,,39,37,3,100
50,,,25,23,1,47
51,,,21,19,2,73
52,,,19,17,2,50
53,,,32,31,2,71
54,0,40,9,13,,
55,1,54,33,30,,
56,,,30,34,2,60
57,3,100,10,19,,
58,3,100,18,17,,
59,0,6,39,1,,
60,,,31,30,0,2
61,,,37,30,0,0
62,0,6,39,2,,
63,,,5,3,0,47
64,0,36,13,12,,
65,,,6,4,3,100
66,,,29,29,2,65
67,3,100,7,15,,
68,1,48,3,1,,
69,1,70,29,30,,
70,1,63,40,32,,
71,,,37,36,1,60
72,1,85,16,21,,
73,3,100,34,29,,
74,,,36,35,1,56
75,3,100,3,8,,
76,,,28,21,3,100
77,,,13,11,2,58
78,1,91,15,12,,
79,,,16,16,2,56
80,,,24,22,2,58
81,3,100,36,35,,
82,,,15,13,2,78
83,3,100,6,13,,
84,0,39,1,1,,
85,,,26,24,2,53
86,3,100,32,35,,
87,3,100,26,16,,
88,,,9,7,2,72
89,,,27,21,1,48
90,,,37,31,2,87
91,,,27,25,1,58
92,,,20,13,2,68
93,,,31,10,3,100
94,1,77,12,21,,
95,2,65,9,12,,
96,2,68,1,2,,
97,3,100,13,21,,
98,3,100,25,21,,
99,,,18,16,2,65
100,,,23,22,2,66
101,,,36,24,3,100
102,,,7,11,2,56
103,,,22,19,2,61
104,0,49,22,12,,
105,3,100,30,31,,
106,0,40,2,3,,
107,,,8,9,0,18
108,,,27,28,0,41
109,3,100,37,33,,
110,1,50,8,12,,
111,,,3,1,2,65
112,3,100,14,12,,
113,,,37,32,2,60
114,1,50,19,12,,
115,,,37,37,1,50
116,1,58,2,7,,
117,2,71,37,32,,
118,,,8,5,2,62
119,,,4,2,0,37
120,,,30,10,3,100
121,1,72,19,18,,
122,1,87,14,9,,
123,,,5,4,1,50
124,,,14,14,1,53
125,,,27,17,1,53
126,1,51,23,17,,
127,2,74,5,4,,
128,,,37,38,1,57
129,,,27,23,1,44
130,2,76,28,30,,
131,,,37,39,1,50
132,2,62,31,30,,
133,,,10,8,2,60
134,,,12,12,2,77
135,,,14,6,2,56
136,1,78,12,22,,
137,,,27,15,2,81
138,3,100,17,12,,
139,,,25,14,2,61
140,,,40,18,1,8
141,,,39,18,1,20
142,,,11,8,2,65
143,2,56,5,3,,
144,3,100,17,14,,
145,,,37,29,3,100
146,,,1,1,1,43
