version,1,reserved,reserved,reserved,reserved,reserved
Korea,9YJPVV80,,JTJ,2R9RCV9V,,
40,,,,,,
2015/11/15,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,SailorJerry,9,8YGV9QRC,,10,
8,Tyrion,9,99G8QGJV,1,9,
9,Atlas,9,RJ9PJ9CC,1,9,
10,Nicholas,9,RC00PQCL,1,9,
11,Whooboy,9,22UOVV2JJ,1,9,
12,Shamrok13,9,L9YUGPQC,1,9,
13,Aboy,9,VQ9PUJV2,1,9,
14,Beej,9,CR8JYPLG,1,9,
15,Kighr,9,J0RJP9LG,1,9,
16,Dan,9,RCP8PQY,1,9,
17,Jim,9,R2RRQJG,1,9,
18,Cheeto,9,RPUVJYLP,,9,
19,RedACE,9,GRJLGCUQ,,9,
20,Jippieh Yeah,9,YCYV88UV,,9,
21,Steve,9,QVRV9VGG,,9,
22,DoubleDuce,9,Y9GU99U2,,9,
23,Poz,9,PPRYLOUY,,9,
24,Mr Incrediboyle,9,JGRY0R0L,,9,
25,Simlin,9,2GO989G2U,,9,
26,King Drog,8,2Y9RUYRU9,,9,
27,Katie-cakes,8,G2QQ0GGG2,1,8,
28,Kevlar,8,8GUL9GO9,1,8,
29,Etaoin Shrdlu,8,2C9J200L,1,8,
30,Wilford Brimley,8,UGPJGJRU,1,8,
31,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
32,Clanhuntaz,8,R9CVQPQU,1,8,
33,TyroneCoC,8,29G0GL8Y2,1,8,
34,Tifosi,8,22UL2JQUR,,8,
35,MohamedMran,8,2GQ8VYRLV,,8,
36,Tukutae,8,2GCPJY82Y,,7,
37,Dragon Slayer,8,CV9L1YVC,,7,
38,alfawolf,7,2R2VQ2JYQ,,7,
39,bacon,7,2QRJ0RU0J,,7,
40,rocksteady,7,2GCL2V2OU,,9,
1,2,90,9,13,,
2,,,38,36,3,100
3,,,26,24,2,88
4,,,27,20,1,70
5,3,100,36,31,,
6,,,25,14,2,78
7,,,31,28,2,75
8,3,100,28,32,,
9,3,100,34,28,,
10,3,100,25,26,,
11,3,100,20,23,,
12,3,100,27,29,,
13,3,100,37,27,,
14,,,37,32,2,77
15,3,100,33,33,,
16,,,27,23,3,100
17,,,23,22,1,52
18,3,100,19,22,,
19,,,28,21,3,100
20,3,100,36,30,,
21,,,31,30,2,99
22,3,100,27,32,,
23,,,20,18,1,79
24,,,23,19,3,100
25,0,44,12,17,,
26,3,100,10,12,,
27,3,100,31,35,,
28,,,26,26,3,100
29,,,24,14,2,90
30,3,100,30,34,,
31,2,91,21,20,,
32,1,89,23,24,,
33,1,61,25,25,,
34,1,84,35,30,,
35,2,70,12,19,,
36,3,100,34,37,,
37,,,40,39,2,91
38,,,22,17,2,62
39,,,21,13,2,70
40,3,100,38,36,,
41,,,15,21,2,60
42,3,100,10,10,,
43,,,17,22,2,70
44,,,39,36,3,100
45,3,100,38,39,,
46,2,96,23,25,,
47,3,100,35,31,,
48,3,100,19,20,,
49,,,12,8,2,62
50,,,19,18,3,100
51,3,100,40,38,,
52,,,35,29,2,80
53,1,89,9,17,,
54,3,100,17,13,,
55,,,18,16,3,100
56,,,20,15,2,62
57,3,100,20,21,,
58,,,40,35,3,100
59,,,16,12,2,53
60,,,8,5,3,100
61,,,14,10,2,63
62,,,21,19,0,44
63,3,100,14,14,,
64,3,100,30,28,,
65,,,34,27,3,100
66,,,29,40,3,100
67,,,30,33,3,100
68,,,33,30,3,100
69,2,77,22,18,,
70,,,32,20,3,100
71,,,36,27,3,100
72,,,7,6,3,100
73,,,14,9,2,66
74,,,9,25,2,50
75,,,13,15,2,53
76,,,3,4,2,60
77,,,31,33,1,84
78,,,11,11,2,80
79,,,31,23,3,100
80,,,10,5,3,100
81,,,35,40,3,100
82,3,100,24,25,,
83,,,25,7,2,65
84,1,57,8,16,,
85,3,100,18,24,,
86,,,25,13,3,100
87,,,24,16,3,100
88,,,22,9,3,100
89,,,2,1,2,68
90,0,7,26,15,,
91,,,21,25,3,100
92,,,37,28,2,76
93,0,35,32,11,,
94,,,38,37,2,95
95,,,4,4,2,61
96,,,20,26,2,72
97,,,11,8,0,40
98,,,37,31,2,84
99,,,33,31,1,50
100,,,5,2,2,60
101,3,100,11,18,,
102,2,54,3,5,,
103,1,54,26,9,,
104,3,100,13,11,,
105,,,35,32,2,76
106,,,37,35,1,54
107,0,32,31,8,,
108,,,20,8,3,100
109,1,69,24,19,,
110,0,45,6,3,,
