version,1,reserved,reserved,reserved,reserved,reserved
Noble Bloodline,2RJVVPLJ,,JTJ,2R9RCV9V,,S1
45,,,,,,
2015/11/18,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,SailorJerry,9,8YGV9QRC,1,10,
8,Tyrion,9,99G8QGJV,1,10,
9,Atlas,9,RJ9PJ9CC,1,10,
10,Nicholas,9,RC00PQCL,1,9,
11,Czech1Czech2,9,22CP2Y828,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Shamrok13,9,L9YUGPQC,1,9,
14,Aboy,9,VQ9PUJV2,1,9,
15,Beej,9,CR8JYPLG,1,9,
16,Kighr,9,J0RJP9LG,,9,
17,Dan,9,RCP8PQY,,9,
18,Anthony,9,YPPQ8G99,,9,
19,Jim,9,R2RRQJG,,9,
20,RedACE,9,GRJLGCUQ,,9,
21,Jippieh Yeah,9,YCYV88UV,,9,
22,Frog,9,2JVLYQQP,,9,
23,steve,9,QVRV9VGG,,9,
24,Julabi Rahul,9,JL2U2U2J,,9,
25,Mr Incrediboyle,9,JGRY0R0L,,9,
26,vtechno,9,RGRUPCV2,,9,
27,Simlin,9,2GO989G2U,,9,
28,King Drog,8,2Y9RUYRU9,1,9,
29,Katie-cakes,8,G2QQ0GGG2,1,9,
30,Kevlar,8,8GUL9GO9,1,9,
31,Etaoin Shrdlu,8,2C9J200L,1,9,
32,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
33,Wilford Brimley,8,UGPJGJRU,1,8,
34,Clanhuntaz,8,R9CVQPQU,1,8,
35,TyroneCoC,8,29G0GL8Y2,1,8,
36,swimdamnfast,8,YQJR0Q9G,1,8,
37,MohamedMran,8,2GQ8VYRLV,1,8,
38,Tukutae,8,2GCPJY82Y,1,8,
39,Dragon Slayer,8,CV9L1YVC,,8,
40,duckman,8,2G2RY2R98,,8,
41,liam,8,28Q8YCPL0,,8,
42,alfawolf,7,2R2VQ2JYQ,,8,
43,bacon,7,2QRJ0RU0J,,7,
44,rocksteady,7,2GCL2V2OU,,7,
45,lemur,7,2ULCJQU9C,,7,
1,,,45,45,3,100
2,3,100,36,39,,
3,,,38,33,2,67
4,,,27,26,1,69
5,2,95,43,42,,
6,,,42,44,3,100
7,3,100,42,43,,
8,3,100,29,36,,
9,,,40,40,1,99
10,,,41,42,3,100
11,3,100,24,23,,
12,3,100,26,27,,
13,1,65,27,24,,
14,,,37,37,3,100
15,0,3,43,6,,
16,2,97,38,33,,
17,,,39,39,1,59
18,1,88,33,40,,
19,2,98,21,28,,
20,3,100,45,45,,
21,3,100,9,21,,
22,,,40,36,3,100
23,,,43,41,3,100
24,3,100,25,26,,
25,3,100,38,34,,
26,,,29,26,2,97
27,2,97,32,37,,
28,3,100,5,6,,
29,3,100,30,38,,
30,1,50,36,40,,
31,,,44,43,2,97
32,3,100,29,32,,
33,1,64,22,25,,
34,,,44,45,3,100
35,,,20,22,2,74
36,,,35,35,2,90
37,3,100,32,33,,
38,2,97,18,19,,
39,,,39,44,2,67
40,3,100,31,41,,
41,3,100,42,42,,
42,1,59,35,35,,
43,,,9,8,1,85
44,2,97,22,22,,
45,,,36,40,2,65
46,,,6,7,1,53
47,2,79,27,28,,
48,1,70,31,37,,
49,2,97,3,5,,
50,,,31,31,2,93
51,1,37,5,2,,
52,,,32,32,2,82
53,1,93,30,40,,
54,1,67,11,18,,
55,1,56,41,40,,
56,3,100,37,40,,
57,3,100,20,15,,
58,0,41,23,20,,
59,3,100,33,35,,
60,3,100,37,37,,
61,3,100,26,24,,
62,3,100,45,44,,
63,2,78,8,13,,
64,,,21,21,2,75
65,1,78,9,17,,
66,2,62,10,10,,
67,,,38,38,2,73
68,,,34,39,2,99
69,,,22,14,2,83
70,3,100,20,14,,
71,2,86,21,18,,
72,3,100,14,11,,
73,3,100,44,41,,
74,1,95,11,20,,
75,1,57,34,30,,
76,2,96,39,35,,
77,,,23,23,2,75
78,2,90,15,13,,
79,0,6,44,3,,
80,1,65,18,20,,
81,1,61,34,29,,
82,2,91,28,31,,
83,,,24,23,2,62
84,,,38,37,2,66
85,,,15,15,2,59
86,,,33,27,3,100
87,,,38,36,1,94
88,,,39,42,1,54
89,,,12,6,2,52
90,,,13,8,1,82
91,,,25,22,2,87
92,,,39,34,2,77
93,0,46,4,3,,
94,0,2,40,1,,
95,2,94,39,34,,
96,2,87,19,10,,
97,,,42,43,3,100
98,,,17,10,2,64
99,,,19,11,3,100
100,,,5,3,0,35
101,,,27,18,2,68
102,3,100,7,10,,
103,,,39,33,2,79
104,2,99,14,12,,
105,,,28,28,2,91
106,1,50,28,29,,
107,,,30,30,2,96
108,,,18,21,2,65
109,0,48,25,17,,
110,,,26,24,2,95
111,,,14,12,2,57
112,0,43,40,31,,
113,2,99,12,18,,
114,3,100,24,18,,
115,,,16,16,2,60
116,,,11,17,2,68
117,0,45,10,13,,
118,,,38,25,3,100
119,,,36,35,2,87
120,,,32,24,2,99
121,2,85,16,12,,
122,,,7,3,2,60
123,2,57,6,8,,
124,,,28,19,3,100
125,,,29,17,2,99
126,,,35,38,2,79
127,,,35,34,1,60
128,2,66,13,25,,
129,3,100,23,16,,
130,,,39,32,2,91
131,,,8,12,1,65
132,,,27,16,1,64
133,,,10,9,2,82
134,3,100,12,29,,
135,,,2,1,0,43
136,,,29,27,3,100
137,,,13,2,2,85
138,2,65,2,7,,
139,,,9,10,3,100
140,2,76,6,9,,
141,3,100,13,30,,
142,,,20,11,3,100
143,3,100,15,17,,
144,1,63,17,25,,
145,,,8,4,3,100
146,,,25,18,1,52
147,,,39,25,2,99
148,,,23,5,2,89
149,,,30,13,3,100
150,1,49,2,4,,
151,,,39,41,2,76
152,,,5,7,1,34
153,,,31,15,3,100
154,2,54,17,20,,
155,,,39,31,2,76
156,2,53,8,20,,
157,,,32,19,2,91
158,1,41,1,1,,
159,1,77,41,38,,
160,,,39,30,2,91
161,1,97,7,12,,
162,3,100,35,32,,
163,3,100,16,19,,
164,,,26,14,1,80
165,,,2,4,1,50
166,,,32,13,3,100
167,,,16,2,3,100
168,,,35,20,3,100
169,,,27,6,2,52
170,3,100,19,13,,
171,,,3,1,0,46
172,,,4,5,0,29
173,,,27,9,2,95
174,2,70,3,3,,
175,2,60,1,2,,
176,,,39,20,3,100
177,2,72,4,2,,
