version,1,reserved,reserved,reserved,reserved,reserved
Tarlac United,9YYQLG20,,JTJ,2R9RCV9V,,
40,,,,,,
2015/11/20,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Space12345,10,8002Y989,,10,
6,Diggs,10,L82YQVU,1,9,
7,MJP35,10,GRLV9L,1,9,
8,SailorJerry,9,8YGV9QRC,1,9,
9,Tyrion,9,99G8QGJV,1,9,
10,Nicholas,9,RC00PQCL,1,9,
11,Shamrok13,9,L9YUGPQC,1,9,
12,Aboy,9,VQ9PUJV2,1,9,
13,Anthony,9,YPPQ8G99,,9,
14,Jim,9,R2RRQJG,,9,
15,RedACE,9,GRJLGCUQ,,9,
16,Cheeto,9,RPUVJYLP,,9,
17,Frog,9,2JVLYQQP,,9,
18,Steve,9,QVRV9VGG,,9,
19,Poz,9,PPRYLOUY,,9,
20,Julabi Rahul,9,JL2U2U2J,,9,
21,vtechno,9,RGRUPCV2,1,8,
22,Mr Incrediboyle,9,JGRY0R0L,1,8,
23,Simlin,9,2GO989G2U,1,8,
24,King Drog,8,2Y9RUYRU9,1,8,
25,Katie-cakes,8,G2QQ0GGG2,1,8,
26,Kevlar,8,8GUL9GO9,1,8,
27,Evil Lord Dorn,8,2JRLC2YQ9,,8,
28,Wilford Brimley,8,UGPJGJRU,,8,
29,Clanhuntaz,8,R9CVQPQU,,8,
30,TyroneCoC,8,29G0GL8Y2,,8,
31,swimdamnfast,8,YQJR0Q9G,,8,
32,MohamedMran,8,2GQ8VYRLV,,8,
33,Tukutae,8,2GCPJY82Y,,8,
34,Dragon Slayer,8,CV9L1YVC,,8,
35,duckman,8,2G2RY2R98,,8,
36,liam,8,28Q8YCPL0,,8,
37,alfawolf,7,2R2VQ2JYQ,,7,
38,bacon,7,2QRJ0RU0J,,7,
39,rocksteady,7,2GCL2V2OU,,7,
40,lemur,7,2ULCJQU9C,,6,
1,3,100,31,32,,
2,3,100,12,12,,
3,3,100,34,23,,
4,3,100,25,21,,
5,2,66,6,4,,
6,1,88,35,33,,
7,2,94,24,29,,
8,,,30,29,3,100
9,3,100,13,19,,
10,,,26,23,2,97
11,3,100,26,31,,
12,3,100,37,37,,
13,3,100,32,30,,
14,3,100,28,27,,
15,3,100,40,39,,
16,3,100,12,9,,
17,3,100,25,24,,
18,1,59,23,20,,
19,3,100,30,26,,
20,1,64,27,25,,
21,2,68,6,6,,
22,,,37,35,3,100
23,0,49,17,14,,
24,3,100,33,22,,
25,,,16,16,1,41
26,1,90,30,25,,
27,3,100,37,38,,
28,3,100,35,29,,
29,,,33,33,2,58
30,3,100,31,28,,
31,3,100,28,33,,
32,3,100,32,34,,
33,2,75,3,3,,
34,,,36,36,3,100
35,3,100,9,13,,
36,,,25,25,1,81
37,,,31,28,3,100
38,3,100,8,11,,
39,2,99,36,35,,
40,,,32,29,2,77
41,,,27,22,2,61
42,3,100,26,35,,
43,1,62,19,18,,
44,2,86,21,17,,
45,,,38,35,3,100
46,3,100,40,40,,
47,3,100,33,25,,
48,,,12,12,2,79
49,,,35,31,2,73
50,2,86,13,17,,
51,2,88,11,20,,
52,,,39,39,1,31
53,1,76,38,36,,
54,,,40,38,1,62
55,,,35,28,2,78
56,,,5,1,1,47
57,2,91,23,18,,
58,1,62,15,10,,
59,2,85,39,36,,
60,0,4,38,1,,
61,1,60,21,14,,
62,3,100,19,20,,
63,2,58,5,1,,
64,2,79,4,2,,
65,,,22,14,2,95
66,,,34,32,1,82
67,,,32,33,2,76
68,,,24,23,3,100
69,,,19,19,2,54
70,,,39,37,3,100
71,,,34,31,2,85
72,,,34,34,2,68
73,3,100,29,36,,
74,,,8,8,2,77
75,,,40,37,3,100
76,,,28,22,2,67
77,,,18,18,1,39
78,,,29,27,3,100
79,,,25,24,2,76
80,,,10,10,1,47
81,,,35,36,2,87
82,,,21,17,0,40
83,,,35,34,2,70
84,,,9,7,2,64
85,,,27,21,2,70
86,,,11,8,2,58
87,,,13,1,3,100
88,,,35,24,2,91
89,2,87,16,16,,
90,1,64,22,16,,
91,,,34,25,3,100
92,,,21,19,1,66
93,,,20,20,2,54
94,,,32,16,2,65
95,,,18,13,2,73
96,3,100,18,18,,
97,2,90,17,15,,
98,,,3,3,1,42
99,1,72,20,14,,
100,0,48,8,7,,
101,,,6,6,0,30
102,,,17,13,1,58
103,2,90,18,17,,
104,,,25,7,3,100
105,2,72,7,5,,
106,1,60,20,10,,
107,2,95,9,14,,
108,1,58,29,16,,
109,3,100,16,15,,
110,2,94,2,8,,
111,1,55,5,5,,
112,3,100,14,10,,
113,1,85,15,8,,
114,0,49,1,1,,
115,,,4,3,1,46
116,1,91,34,26,,
117,1,66,11,17,,
118,,,35,20,2,84
119,3,100,10,16,,
120,,,23,18,1,65
121,,,23,17,2,53
122,2,87,2,7,,
123,2,99,10,17,,
124,2,84,24,24,,
125,3,100,3,7,,
126,2,81,1,5,,
127,,,7,2,2,59
128,2,95,22,17,,
129,,,17,10,3,100
130,1,90,36,36,,
131,1,90,27,23,,
132,3,100,14,17,,
133,,,14,9,1,62
134,,,40,40,0,37
135,,,33,30,0,0
136,,,1,2,1,28
137,,,35,30,1,60
138,0,43,4,3,,
139,,,15,5,2,70
140,,,16,9,1,44
141,3,100,7,14,,
142,,,23,14,3,100
143,1,55,39,27,,
