version,1,reserved,reserved,reserved,reserved,reserved
lawyers,RCC02UP,,,,,
40,,,,,,
2015/11/22,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Space12345,10,8002Y989,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,SailorJerry,9,8YGV9QRC,,10,
8,Tyrion,9,99G8QGJV,1,9,
9,Nicholas,9,RC00PQCL,1,9,
10,Czech1Czech2,9,22CP2Y828,1,9,
11,Beej,9,CR8JYPLG,1,9,
12,Shamrok13,9,L9YUGPQC,1,9,
13,Aboy,9,VQ9PUJV2,1,9,
14,Anthony,9,YPPQ8G99,1,9,
15,Jim,9,R2RRQJG,1,9,
16,RedACE,9,GRJLGCUQ,1,9,
17,Cheeto,9,RPUVJYLP,,9,
18,Jippieh Yeah,9,YCYV88UV,,9,
19,Frog,9,2JVLYQQP,,9,
20,Steve,9,QVRV9VGG,,9,
21,Poz,9,PPRYLOUY,,9,
22,Julabi Rahul,9,JL2U2U2J,,9,
23,vtechno,9,RGRUPCV2,,9,
24,Mr Incrediboyle,9,JGRY0R0L,,9,
25,Simlin,9,2GO989G2U,,9,
26,King Drog,8,2Y9RUYRU9,,9,
27,Katie-cakes,8,G2QQ0GGG2,1,8,
28,Kevlar,8,8GUL9GO9,1,8,
29,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
30,Wilford Brimley,8,UGPJGJRU,1,8,
31,Clanhuntaz,8,R9CVQPQU,1,8,
32,TyroneCoC,8,29G0GL8Y2,1,8,
33,swimdamnfast,8,YQJR0Q9G,1,8,
34,MohamedMran,8,2GQ8VYRLV,,8,
35,Dragon Slayer,8,CV9L1YVC,,8,
36,duckman,8,2G2RY2R98,,8,
37,liam,8,28Q8YCPL0,,8,
38,alfawolf,7,2R2VQ2JYQ,,8,
39,bacon,7,2QRJ0RU0J,,8,
40,lemur,7,2ULCJQU9C,,7,
1,,,30,27,2,70
2,2,64,33,32,,
3,3,100,30,34,,
4,1,80,10,18,,
5,3,100,18,25,,
6,3,100,40,40,,
7,,,35,33,2,67
8,1,54,25,26,,
9,,,37,38,3,100
10,3,100,26,37,,
11,,,38,36,3,100
12,,,40,40,3,100
13,2,98,14,19,,
14,,,36,35,2,82
