version,1,reserved,reserved,reserved,reserved,reserved
Cut Salon,98L2ULU0,,JTJ,2R9RCV9V,,
35,,,,,,
2015/11/25,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Mike,10,RJP9282R,,10,
4,Diggs,10,L82YQVU,,10,
5,SailorJerry,9,8YGV9QRC,,10,
6,Nicholas,9,RC00PQCL,,10,
7,MrPatty,9,CR2QPCU9,,10,
8,Beej,9,CR8JYPLG,,9,
9,Aboy,9,VQ9PUJV2,,9,
10,RedACE,9,GRJLGCUQ,,9,
11,Jim,9,R2RRQJG,,9,
12,Jippieh Yeah,9,YCYV88UV,,9,
13,Frog,9,2JVLYQQP,,9,
14,Joe,9,LG9GQQJ8,,9,
15,Steve,9,QVRV9VGG,,9,
16,Poz,9,PPRYLOUY,,9,
17,Mr Incrediboyle,9,JGRY0R0L,,9,
18,Julabi Rahul,9,JL2U2U2J,,10,
19,Katie-cakes,8,G2QQ0GGG2,1,8,
20,kevlar,8,8GUL9GO9,1,8,
21,Etaoin Shrdlu,8,2C9J200L,1,8,
22,Moose Knuckle,8,2PCQ29CR9,1,8,
23,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
24,Wilford Brimley,8,UGPJGJRU,1,8,
25,Clanhuntaz,8,R9CVQPQU,,8,
26,swimdamnfast,8,YQJR0Q9G,,8,
27,TyroneCoC,8,29G0GL8Y2,,8,
28,MohamedMran,8,2GQ8VYRLV,,8,
29,Tukutae,8,2GCPJY82Y,,8,
30,Dragon Slayer,8,CV9L1YVC,,8,
31,duckman,8,2G2RY2R98,,8,
32,liam,8,28Q8YCPL0,,7,
33,alfawolf,7,2R2VQ2JYQ,,7,
34,rocksteady,7,2GCL2V2OU,,7,
35,lemur,7,2ULCJQU9C,,6,
1,3,100,22,25,,
2,0,25,19,21,,
3,3,100,9,10,,
4,3,100,12,13,,
5,1,95,7,8,,
6,3,100,32,31,,
7,3,100,10,9,,
8,2,99,21,27,,
9,3,100,33,33,,
10,2,66,4,4,,
11,1,66,6,8,,
12,3,100,13,11,,
13,3,100,34,32,,
14,3,100,16,17,,
15,2,99,24,23,,
16,,,34,32,3,100
17,3,100,26,21,,
18,,,12,10,2,61
19,3,100,15,12,,
20,,,3,3,0,37
21,3,100,20,29,,
22,3,100,19,23,,
23,,,3,1,0,46
24,,,28,26,2,94
25,,,30,28,2,90
26,2,94,23,20,,
27,3,100,33,34,,
28,3,100,31,30,,
29,,,6,4,0,44
30,,,19,17,2,57
31,2,87,32,7,,
32,3,100,12,18,,
33,3,100,27,24,,
34,,,10,8,1,44
35,1,95,7,14,,
36,3,100,29,22,,
37,0,47,26,20,,
38,3,100,20,26,,
39,2,92,10,8,,
40,,,8,6,2,60
41,,,25,23,2,79
42,1,87,23,19,,
43,,,24,22,2,90
44,3,100,35,35,,
45,2,86,4,7,,
46,3,100,28,19,,
47,1,91,29,20,,
48,3,100,21,28,,
49,,,31,29,1,58
50,,,26,24,2,56
51,1,96,13,14,,
52,1,97,24,20,,
53,1,78,16,16,,
54,3,100,30,27,,
55,2,98,15,14,,
56,3,100,28,20,,
57,,,31,26,2,73
58,0,22,22,6,,
59,,,3,5,0,46
60,,,13,11,2,62
61,3,100,27,20,,
62,,,9,7,1,41
63,3,100,11,8,,
64,,,2,1,2,56
65,,,1,29,1,55
66,,,15,13,2,65
67,,,31,17,2,63
68,3,100,30,21,,
69,,,20,20,3,100
70,,,24,23,2,65
71,3,100,5,15,,
72,,,25,22,2,75
73,2,63,25,19,,
74,,,4,3,0,29
75,3,100,8,16,,
76,,,18,18,2,57
77,,,17,16,2,91
78,,,10,4,1,45
79,,,6,6,2,57
80,,,23,21,2,93
81,,,1,16,2,59
82,0,0,34,2,,
83,,,32,30,2,50
84,1,56,25,14,,
85,,,16,14,2,55
86,,,3,2,0,27
87,3,100,11,14,,
88,3,100,17,14,,
89,,,33,31,3,100
90,3,100,18,9,,
91,,,4,5,0,0
92,,,29,27,2,54
93,,,32,32,1,69
94,0,34,9,2,,
95,2,52,1,1,,
96,,,28,24,2,97
97,,,27,25,2,90
98,,,14,12,2,50
99,,,35,30,3,100
100,,,11,9,1,40
101,,,21,19,2,76
102,,,22,31,1,60
103,3,100,31,22,,
104,2,91,3,2,,
105,,,1,7,1,7
106,,,1,13,1,4
107,,,5,9,2,57
108,,,1,14,1,10
109,0,41,18,3,,
110,,,22,28,2,61
111,,,11,11,2,70
112,1,90,3,3,,
113,3,100,5,8,,
114,2,97,6,9,,
115,3,100,17,8,,
116,3,100,14,15,,
117,,,10,18,2,65
118,,,1,2,1,2
119,2,80,2,5,,
120,3,100,8,8,,
121,2,51,2,6,,
122,1,61,1,3,,
123,3,100,35,32,,
124,3,100,14,11,,
125,,,1,8,1,3
126,,,19,10,3,100
