version,1,reserved,reserved,reserved,reserved,reserved
Doan Hung 19s,2GUO2RC9,,JTJ,2R9RCV9V,,S1
35,,,,,,
2015/11/27,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Mike,10,RJP9282R,,10,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,,10,
6,SailorJerry,9,8YGV9QRC,,10,
7,Tyrion,9,99G8QGJV,1,9,
8,Atlas,9,RJ9PJ9CC,1,9,
9,Nicholas,9,RC00PQCL,1,9,
10,Beej,9,CR8JYPLG,1,9,
11,Aboy,9,VQ9PUJV2,1,9,
12,RedAce,9,GRJLGCUQ,1,9,
13,Cheeto,9,RPUVJYLP,1,9,
14,Jippieh Yeah,9,YCYV88UV,,9,
15,Joe,9,LG9GQQJ8,,9,
16,Steve,9,QVRV9VGG,,9,
17,Julabi Rahul,9,JL2U2U2J,,9,
18,Mr Incrediboyle,9,JGRY0R0L,,9,
19,Simlin,9,2GO989G2U,1,8,
20,Katie-cakes,8,G2QQ0GGG2,1,8,
21,Kevlar,8,8GUL9GO9,1,8,
22,Etaoin Shrdlu,8,2C9J200L,1,8,
23,Moose Knuckle,8,2PCQ29CR9,1,8,
24,Evil Lord Dorn,8,2JRLC2YQ9,,8,
25,Wilford Brimley,8,UGPJGJRU,,8,
26,swimdamnfast,8,YQJR0Q9G,,8,
27,TyroneCoC,8,29G0GL8Y2,,8,
28,MohamedMran,8,2GQ8VYRLV,,8,
29,spartacus,8,28UUPUJ2J,,8,
30,Tukutae,8,2GCPJY82Y,,8,
31,duckman,8,2G2RY2R98,,8,
32,liam,8,28Q8YCPL0,,8,
33,alfawolf,7,2R2VQ2JYQ,,7,
34,rocksteady,7,2GCL2V2OU,,7,
35,lemur,7,2ULCJQU9C,,7,
1,3,100,11,12,,
2,1,75,33,33,,
3,3,100,34,34,,
4,,,23,23,3,100
5,3,100,14,18,,
6,3,100,35,35,,
7,,,33,33,3,100
8,,,24,24,1,81
9,2,94,10,7,,
10,,,24,27,2,99
11,3,100,25,22,,
12,2,82,12,11,,
13,3,100,7,8,,
14,,,35,35,1,90
15,1,51,15,15,,
16,2,90,19,17,,
17,3,100,27,23,,
18,3,100,32,29,,
19,2,97,20,20,,
20,,,10,35,1,26
21,1,70,33,31,,
22,1,54,29,24,,
23,,,14,33,1,27
24,,,32,32,2,70
25,0,43,28,21,,
26,,,29,24,1,58
27,3,100,22,25,,
28,1,73,24,19,,
29,1,85,16,16,,
30,,,20,21,3,100
31,3,100,34,33,,
32,3,100,26,19,,
33,3,100,21,26,,
34,,,17,32,0,0
35,3,100,11,11,,
36,3,100,31,28,,
37,,,14,12,3,100
38,3,100,20,21,,
39,3,100,25,20,,
40,1,82,12,9,,
41,1,46,4,4,,
42,,,17,10,1,52
43,,,6,28,0,0
44,,,7,28,0,0
45,2,91,22,30,,
46,3,100,35,31,,
47,1,76,19,15,,
48,3,100,30,24,,
49,,,26,26,1,59
50,,,32,34,3,100
51,,,26,27,3,100
52,1,50,4,5,,
53,3,100,14,17,,
54,1,89,21,32,,
55,,,15,15,2,60
56,3,100,27,27,,
57,,,19,7,0,39
58,,,7,12,3,100
59,3,100,31,30,,
60,,,11,26,1,24
61,3,100,32,32,,
62,,,21,19,3,100
63,,,2,2,2,64
64,,,9,5,1,49
65,,,19,10,2,81
66,,,12,8,2,82
67,,,18,17,3,100
68,,,11,14,2,60
69,,,25,25,1,71
70,2,58,18,13,,
71,,,16,18,1,62
72,,,22,20,1,54
73,,,34,34,3,100
74,,,16,11,3,100
75,3,100,8,14,,
76,,,25,21,1,47
77,,,13,8,1,43
78,3,100,18,16,,
79,,,9,15,0,36
80,0,12,30,3,,
81,,,13,14,2,53
82,,,25,20,3,100
83,0,45,3,3,,
84,,,15,11,1,78
85,3,100,8,15,,
86,,,15,16,3,100
87,,,22,19,3,100
88,,,30,30,3,100
89,,,27,18,3,100
90,,,8,9,2,69
91,,,17,17,2,66
92,0,21,26,1,,
93,,,31,22,1,58
94,,,6,3,3,100
95,3,100,13,10,,
96,,,9,6,2,82
97,,,35,31,1,75
98,,,28,30,2,99
99,0,12,29,2,,
100,,,24,7,2,99
101,,,29,22,3,100
102,,,19,9,1,50
103,,,31,13,3,100
104,,,10,6,2,82
105,1,69,28,22,,
106,,,35,25,3,100
107,,,5,3,2,71
108,0,22,23,6,,
109,,,19,16,1,61
110,2,98,9,13,,
111,3,100,9,7,,
112,,,17,5,1,79
113,,,3,2,2,53
114,0,37,13,9,,
115,3,100,16,9,,
116,2,90,23,20,,
117,0,47,6,13,,
118,1,58,2,2,,
119,1,52,3,4,,
120,1,40,6,6,,
121,2,90,10,13,,
122,2,61,5,6,,
123,2,62,2,3,,
124,2,66,1,1,,
125,2,55,7,13,,
126,,,24,23,1,72
127,2,55,1,4,,
128,1,86,15,9,,
129,3,100,24,29,,
130,2,72,5,5,,
