version,1,reserved,reserved,reserved,reserved,reserved
Team Panukz,2P2LG9QQ,,JTJ,2R9RCV9V,,
40,,,,,,
2015/11/29,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,1,9,
6,SailorJerry,9,8YGV9QRC,1,9,
7,Tyrion,9,99G8QGJV,1,9,
8,Atlas,9,RJ9PJ9CC,1,9,
9,Nicholas,9,RC00PQCL,1,9,
10,Aboy,9,VQ9PUJV2,,9,
11,Beej,9,CR8JYPLG,,9,
12,YYY,9,20YVJR2JG,,9,
13,Anthony,9,YPPQ8G99,,9,
14,RedAce,9,GRJLGCUQ,,9,
15,Jippieh Yeah,9,YCYV88UV,,9,
16,Frog,9,2JVLYQQP,,9,
17,Joe,9,LG9GQQJ8,,9,
18,Steve,9,QVRV9VGG,,9,
19,Julabi Rahul,9,JL2U2U2J,,9,
20,Mr Incrediboyle,9,JGRY0R0L,,9,
21,vtechno,9,RGRUPCV2,,9,
22,simlin,9,2GO989G2U,,9,
23,katie-cakes,8,G2QQ0GGG2,1,8,
24,kevlar,8,8GUL9GO9,1,8,
25,etaoin shrdlu,8,2C9J200L,1,8,
26,Wilford Brimley,8,UGPJGJRU,,8,
27,Moose Knuckle,8,2PCQ29CR9,,8,
28,Evil Lord Dorn,8,2JRLC2YQ9,,8,
29,Clanhuntaz,8,R9CVQPQU,,8,
30,swimdamnfast,8,YQJR0Q9G,,8,
31,TyroneCoC,8,29G0GL8Y2,,8,
32,MohamedMran,8,2GQ8VYRLV,,8,
33,Tukutae,8,2GCPJY82Y,,8,
34,duckman,8,2G2RY2R98,,8,
35,Dragon Slayer,8,CV9L1YVC,,8,
36,liam,8,28Q8YCPL0,,8,
37,alfawolf,7,2R2VQ2JYQ,,8,
38,bacon,7,2QRJ0RU0J,,7,
39,rocksteady,7,2GCL2V2OU,,7,
40,lemur,7,2ULCJQU9C,,5,
1,3,100,10,9,,
2,3,100,40,39,,
3,1,60,30,24,,
4,1,82,32,25,,
5,3,100,23,23,,
6,3,100,13,18,,
7,3,100,22,20,,
8,3,100,27,27,,
9,2,90,18,15,,
10,3,100,37,38,,
11,2,90,16,19,,
12,2,87,28,24,,
13,3,100,25,26,,
14,,,16,11,3,100
15,2,58,23,22,,
16,3,100,11,5,,
17,3,100,14,8,,
18,1,64,32,24,,
19,3,100,10,7,,
20,0,37,6,6,,
21,,,10,5,2,57
22,3,100,36,35,,
23,0,45,26,24,,
24,3,100,35,25,,
25,3,100,21,17,,
26,3,100,34,29,,
27,3,100,37,37,,
28,,,32,27,2,57
29,2,82,7,11,,
30,3,100,36,34,,
31,3,100,36,34,,
32,0,46,6,10,,
33,3,100,25,30,,
34,3,100,34,31,,
35,,,33,28,2,66
36,2,62,21,16,,
37,1,56,35,24,,
38,,,38,33,3,100
39,3,100,15,14,,
40,1,64,33,24,,
41,,,39,39,3,100
42,3,100,29,28,,
43,1,83,11,6,,
44,,,15,11,2,70
45,,,37,38,1,82
46,2,95,9,6,,
47,3,100,33,32,,
48,3,100,40,40,,
49,,,29,24,2,99
50,3,100,26,33,,
51,0,49,14,6,,
52,,,40,36,1,75
53,3,100,15,19,,
54,3,100,13,15,,
55,2,80,31,24,,
56,3,100,17,13,,
57,,,19,14,2,64
58,,,6,2,2,89
59,,,37,34,3,100
60,2,98,28,22,,
61,3,100,39,36,,
62,,,40,37,3,100
63,0,49,3,3,,
64,2,77,29,24,,
65,3,100,9,11,,
66,,,36,37,1,74
67,,,18,13,2,74
68,,,31,27,2,96
69,2,65,20,16,,
70,,,36,32,2,80
71,2,77,39,24,,
72,,,13,8,2,50
73,,,17,12,2,74
74,,,20,15,2,56
75,,,35,31,1,44
76,2,54,2,2,,
77,2,55,5,3,,
78,,,34,32,1,50
79,3,100,12,12,,
80,1,62,30,22,,
81,0,36,27,24,,
82,2,97,24,24,,
83,,,24,19,3,100
84,2,52,5,4,,
85,,,12,7,2,53
86,,,11,6,2,70
87,3,100,22,21,,
88,,,30,30,1,73
89,3,100,19,16,,
90,,,14,10,1,49
91,,,28,23,2,60
92,2,65,31,22,,
93,2,67,1,1,,
94,3,100,8,10,,
95,,,21,15,2,66
96,1,61,18,6,,
97,1,90,16,6,,
98,2,77,20,6,,
99,,,22,13,2,66
100,,,30,23,3,100
101,1,52,8,6,,
102,,,26,21,2,75
103,,,9,4,2,73
104,,,34,34,1,69
105,1,57,38,24,,
106,2,64,2,1,,
107,1,61,4,2,,
108,,,7,2,3,100
109,2,50,7,6,,
110,3,100,38,36,,
111,3,100,3,6,,
112,3,100,12,22,,
113,2,96,1,4,,
114,,,25,12,3,100
115,2,99,4,4,,
116,1,56,19,6,,
117,,,14,9,2,50
118,,,8,3,2,64
119,,,15,33,1,25
120,,,35,28,2,51
121,3,100,24,30,,
122,,,27,26,2,76
123,,,10,7,1,12
124,,,9,9,1,39
125,3,100,17,7,,
