version,1,reserved,reserved,reserved,reserved,reserved
The Blackshirts,2YPG2GR8,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/12/2,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,,10,
6,Tyrion,9,99G8QGJV,,10,
7,Atlas,9,RJ9PJ9CC,1,9,
8,Nicholas,9,RC00PQCL,1,9,
9,Whooboy,9,22UOVV2JJ,1,9,
10,Aboy,9,VQ9PUJV2,,10,
11,Kighr,9,J0RJP9LG,,9,
12,Mord,9,22JGQUCJQ,,9,
13,Sharent,9,YGQQ89LR,,9,
14,YYY,9,20YVJR2JG,,9,
15,RedACE,9,GRJLGCUQ,,9,
16,Frog,9,2JVLYQQP,,9,
17,Joe,9,LG9GQQJ8,,9,
18,Steve,9,QVRV9VGG,,9,
19,Julabi Rahul,9,JL2U2U2J,,9,
20,Jitsuka,9,J80090GV,,9,
21,Mr Incrediboyle,9,JGRY0R0L,,9,
22,vtechno,9,RGRUPCV2,1,8,
23,KS7,9,QCGUQ2Q9,1,8,
24,Katie-cakes,8,G2QQ0GGG2,1,8,
25,Kevlar,8,8GUL9GO9,1,8,
26,Moose Knuckle,8,2PCQ29CR9,1,8,
27,swimdamnfast,8,YQJR0Q9G,1,8,
28,Wilford Brimley,8,UGPJGJRU,,8,
29,Evil Lord Dorn,8,2JRLC2YQ9,,8,
30,Clanhuntaz,8,R9CVQPQU,,8,
31,TyroneCoC,8,29G0GL8Y2,,8,
32,MohamedMran,8,2GQ8VYRLV,,8,
33,Tukutae,8,2GCPJY82Y,,8,
34,Spartacus,8,28UUPUJ2J,,7,
35,duckman,8,2G2RY2R98,,7,
36,Dragon Slayer,8,CV9L1YVC,,7,
37,liam,8,28Q8YCPL0,,7,
38,alfawolf,8,2R2VQ2JYQ,,5,
39,rocksteady,7,2GCL2V2OU,,4,
40,lemur,7,2ULCJQU9C,,4,
1,3,100,37,35,,
2,,,38,34,3,100
3,3,100,40,37,,
4,,,32,30,0,37
5,2,98,10,8,,
6,,,37,35,1,66
7,,,16,14,1,48
8,,,12,9,1,68
9,2,93,28,24,,
10,2,86,21,16,,
11,3,100,38,34,,
12,3,100,39,36,,
13,,,31,29,2,68
14,2,83,11,7,,
15,,,25,24,2,76
16,2,78,22,18,,
17,2,97,26,28,,
18,,,15,10,2,81
19,,,39,35,3,100
20,,,27,25,2,91
21,,,32,28,3,100
22,3,100,37,32,,
23,3,100,33,22,,
24,3,100,38,39,,
25,3,100,25,31,,
26,3,100,36,24,,
27,1,73,34,29,,
28,3,100,35,30,,
29,,,1,1,1,9
30,2,58,1,1,,
31,1,62,27,26,,
32,1,67,28,26,,
33,,,33,27,1,49
34,2,84,12,10,,
35,,,21,18,1,54
36,,,29,28,1,75
37,2,97,29,23,,
38,,,40,36,3,100
39,,,4,2,1,35
40,3,100,24,23,,
41,1,58,32,27,,
42,2,85,31,25,,
43,3,100,23,21,,
44,2,88,16,15,,
45,3,100,33,26,,
46,,,9,37,0,15
47,3,100,20,19,,
48,2,60,27,25,,
49,2,67,15,8,,
50,3,100,40,38,,
51,,,28,26,3,100
52,,,6,32,0,23
53,3,100,29,27,,
54,3,100,22,20,,
55,,,2,23,1,81
56,,,22,17,2,59
57,,,24,20,1,52
58,3,100,24,25,,
59,,,33,29,2,99
60,3,100,35,28,,
61,,,17,15,2,53
62,,,35,31,2,70
63,,,36,32,3,100
64,,,24,2,2,75
65,3,100,13,13,,
66,2,79,18,17,,
67,,,8,30,0,20
68,3,100,14,11,,
69,,,37,37,1,77
70,3,100,31,29,,
71,3,100,8,8,,
72,1,58,6,9,,
73,3,100,7,15,,
74,,,19,16,2,69
75,,,30,23,2,71
76,3,100,39,40,,
77,,,5,4,1,48
78,3,100,25,33,,
79,,,6,5,2,52
80,1,51,15,9,,
81,2,73,8,7,,
82,3,100,32,22,,
83,3,100,7,12,,
84,1,67,3,5,,
85,,,8,6,2,85
86,3,100,30,29,,
87,3,100,23,18,,
88,,,34,36,1,34
89,2,97,34,22,,
90,,,14,12,1,72
91,3,100,21,17,,
92,,,13,11,0,38
93,3,100,11,9,,
94,,,24,14,3,100
95,,,23,18,0,47
96,2,74,26,22,,
97,3,100,10,7,,
98,3,100,9,14,,
99,0,45,1,3,,
100,,,26,19,3,100
101,1,51,19,10,,
102,,,37,24,3,100
103,,,13,8,2,54
104,3,100,13,10,,
105,,,7,3,2,74
106,,,23,19,0,49
107,,,23,7,0,35
108,3,100,18,16,,
109,,,14,9,1,75
110,,,3,3,0,43
111,2,70,2,3,,
112,0,41,16,7,,
113,,,34,21,3,100
114,,,18,12,2,78
115,,,29,20,2,97
116,1,58,9,6,,
117,,,10,10,2,66
118,3,100,30,28,,
119,3,100,17,15,,
120,,,23,16,1,78
121,0,49,19,7,,
122,,,33,26,1,82
123,,,23,17,2,60
124,2,52,5,6,,
125,1,31,2,2,,
126,0,36,4,1,,
127,1,37,12,5,,
128,,,21,21,2,64
129,,,35,22,3,100
130,1,63,6,8,,
131,,,16,11,0,38
132,,,20,7,2,57
133,1,58,3,2,,
134,,,31,27,2,68
135,0,42,14,4,,
136,,,9,6,2,54
137,,,11,13,1,44
138,2,94,17,17,,
139,,,11,5,2,83
140,3,100,20,8,,
141,3,100,4,4,,
142,2,64,5,5,,
143,1,69,36,23,,
