version,1,reserved,reserved,reserved,reserved,reserved
Magyar Bajnokok,22L8CY9C,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/12/4,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Mike,10,RJP9282R,,10,
5,Diggs,10,L82YQVU,,10,
6,MJP35,10,GRLV9L,,10,
7,Atlas,9,RJ9PJ9CC,,10,
8,Czech1Czech2,9,22CP2Y828,,10,
9,Nicholas,9,RC00PQCL,,10,
10,Aboy,9,VQ9PUJV2,,10,
11,Whooboy,9,22UOVV2JJ,1,9,
12,Beej,9,CR8JYPLG,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,Sharent,9,YGQQ89LR,1,9,
15,YYY,9,20YVJR2JG,1,9,
16,RedACE,9,GRJLGCUQ,1,9,
17,Jippieh Yeah,9,YCYV88UV,1,9,
18,Cheeto,9,RPUVJYLP,1,9,
19,Joe,9,LG9GQQJ8,1,9,
20,Steve,9,QVRV9VGG,1,9,
21,Jitsuka,9,J80090GV,1,9,
22,Mr Incrediboyle,9,JGRY0R0L,1,9,
23,vtechno,9,RGRUPCV2,,9,
24,KS7,9,QCGUQ2Q9,,9,
25,Simlin,9,2GO989G2U,,9,
26,Katie-cakes,8,G2QQ0GGG2,,9,
27,Kevlar,8,8GUL9GO9,,9,
28,Moose Knuckle,8,2PCQ29CR9,,9,
29,swimdamnfast,8,YQJR0Q9G,,9,
30,Evil Lord Dorn,8,2JRLC2YQ9,,9,
31,TyroneCoC,8,29G0GL8Y2,1,8,
32,clanhuntaz,8,R9CVQPQU,1,8,
33,MohamedMran,8,2GQ8VYRLV,1,8,
34,Tukutae,8,2GCPJY82Y,1,8,
35,spartacus,8,28UUPUJ2J,,8,
36,duckman,8,2G2RY2R98,,8,
37,Dragon Slayer,8,CV9L1YVC,,8,
38,liam,8,28Q8YCPL0,,8,
39,rocksteady,7,2GCL2V2OU,,8,
40,lemur,7,2ULCJQU9C,,8,
1,1,87,37,32,,
2,2,74,8,24,,
3,1,84,35,37,,
4,3,100,26,31,,
5,3,100,38,40,,
6,3,100,29,32,,
7,2,98,17,21,,
8,1,52,23,25,,
9,3,100,25,29,,
10,3,100,28,35,,
11,1,83,16,20,,
12,2,77,11,16,,
13,1,74,19,26,,
14,1,87,36,38,,
15,2,74,30,33,,
16,3,100,33,34,,
17,3,100,28,37,,
18,2,69,21,23,,
19,2,84,26,33,,
20,0,47,40,39,,
21,2,95,20,25,,
22,2,93,33,33,,
23,1,67,29,33,,
24,2,61,24,27,,
25,3,100,38,39,,
26,2,76,36,36,,
27,3,100,31,33,,
28,1,64,16,22,,
29,,,24,26,3,100
30,,,27,27,3,100
31,,,26,34,1,50
32,2,68,24,25,,
33,2,99,14,12,,
34,,,26,31,1,50
35,3,100,7,26,,
