version,1,reserved,reserved,reserved,reserved,reserved
Mach 10,2UOC9QGP,,JTJ,2R9RCV9V,,S1
45,,,,,,
2015/12/06,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Alaska,10,CCGUGLV,,10,
4,Diggs,10,L82YQVU,,10,
5,Nikita,10,YCVQO2PV,,10,
6,MJP35,10,GRLV9L,,10,
7,Tyrion,9,99G8QGJV,,10,
8,Cash,9,99PYRUGC,1,9,
9,Atlas,9,RJ9PJ9CC,1,9,
10,Czech1Czech2,9,22CP2Y828,1,9,
11,Nicholas,9,RC00PQCL,1,9,
12,Aboy,9,VQ9PUJV2,1,9,
13,Whooboy,9,22UOVV2JJ,1,9,
14,Beej,9,CR8JYPLG,1,9,
15,Kighr,9,J0RJP9LG,1,9,
16,Mord,9,22JGQUCJQ,,9,
17,YYY,9,20YVJR2JG,,9,
18,RedACE,9,GRJLGCUQ,,9,
19,Anthony,9,YPPQ8G99,,9,
20,Jim,9,R2RRQJG,,9,
21,Jippieh Yeah,9,YCYV88UV,,9,
22,Frog,9,2JVLYQQP,,9,
23,Steve,9,QVRV9VGG,,9,
24,Joe,9,LG9GQQJ8,,9,
25,Jitsuka,9,J80090GV,,9,
26,Mr Incrediboyle,9,JGRY0R0L,,9,
27,vtechno,9,RGRUPCV2,,9,
28,Simlin,9,2GO989G2U,,9,
29,KS7,9,QCGUQ2Q9,,9,
30,Katie-cakes,8,G2QQ0GGG2,,9,
31,Kevlar,8,8GUL9GO9,,9,
32,Moose Knuckle,8,2PCQ29CR9,1,8,
33,swimdamnfast,8,YQJR0Q9G,1,8,
34,Wilford Brimley,8,UGPJGJRU,1,8,
35,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
36,TyroneCoC,8,29G0GL8Y2,,8,
37,Clanhuntaz,8,R9CVQPQU,,8,
38,MohamedMran,8,2GQ8VYRLV,,8,
39,Tukutae,8,2GCPJY82Y,,8,
40,Spartacus,8,28UUPUJ2J,,8,
41,duckman,8,2G2RY2R98,,8,
42,Dragon Slayer,8,CV9L1YVC,,8,
43,liam,8,28Q8YCPL0,,7,
44,rocksteady,7,2GCL2V2OU,,7,
45,lemur,7,2ULCJQU9C,,6,
1,3,100,12,13,,
2,,,43,39,2,69
3,,,44,42,3,100
4,2,97,34,34,,
5,,,8,8,1,40
6,3,100,38,33,,
7,3,100,32,41,,
8,,,13,13,2,67
9,,,34,28,3,100
10,,,9,8,2,87
11,,,15,14,2,50
12,,,7,6,2,64
13,1,56,29,12,,
14,1,57,28,31,,
15,,,35,30,2,76
16,,,29,23,2,54
17,2,85,21,14,,
18,2,58,3,4,,
19,,,40,36,1,61
20,2,52,13,11,,
21,3,100,31,38,,
22,,,30,25,3,100
23,,,43,42,1,71
24,3,100,43,39,,
25,3,100,12,12,,
26,,,22,16,2,70
27,3,100,40,36,,
28,2,82,27,28,,
29,,,6,5,1,60
30,1,74,41,34,,
31,3,100,42,40,,
32,,,45,44,1,75
33,,,45,45,1,50
34,3,100,25,19,,
35,3,100,28,30,,
36,,,45,41,3,100
37,,,42,40,1,62
38,3,100,19,24,,
39,2,64,3,5,,
40,,,11,11,1,45
41,3,100,22,20,,
42,,,14,14,2,55
43,2,65,5,6,,
44,,,17,18,2,56
45,1,76,33,32,,
46,1,82,34,32,,
47,2,90,18,15,,
48,,,32,32,1,55
49,3,100,45,43,,
50,1,76,39,35,,
51,,,32,25,3,100
52,3,100,35,37,,
53,3,100,23,27,,
54,3,100,27,23,,
55,,,44,45,0,35
56,3,100,36,34,,
57,3,100,44,42,,
58,,,26,20,2,87
59,2,95,11,9,,
60,,,2,1,1,49
61,3,100,38,32,,
62,,,10,5,1,83
63,3,100,19,28,,
64,3,100,31,35,,
65,,,31,27,3,100
66,,,43,43,0,46
67,,,33,32,2,50
68,3,100,8,16,,
69,1,72,14,8,,
70,1,74,9,11,,
71,2,91,21,15,,
72,,,27,26,1,56
73,1,74,18,14,,
74,1,57,10,18,,
75,,,41,30,2,99
76,,,20,15,1,33
77,3,100,45,44,,
78,2,70,7,10,,
79,3,100,20,14,,
80,3,100,40,32,,
81,,,28,26,1,50
82,2,79,39,29,,
83,2,92,2,7,,
84,,,42,35,3,100
85,,,39,39,1,60
86,3,100,20,15,,
87,2,73,33,31,,
88,1,66,17,22,,
89,,,12,4,2,93
90,,,40,35,2,69
91,,,38,33,2,93
92,,,36,29,2,88
93,1,56,11,8,,
94,,,37,17,3,100
95,1,61,26,21,,
96,3,100,44,45,,
97,,,43,40,2,82
98,,,1,1,2,59
99,,,35,33,1,70
100,,,16,7,2,75
101,1,73,30,31,,
102,,,4,3,0,35
103,2,77,4,3,,
104,,,39,29,2,96
105,,,43,41,1,72
106,0,48,29,11,,
107,3,100,22,21,,
108,,,43,44,0,49
109,2,99,23,26,,
110,1,71,32,31,,
111,0,48,41,31,,
112,,,24,12,3,100
113,2,56,1,1,,
114,,,43,37,3,100
115,,,25,19,3,100
116,,,10,9,2,62
117,3,100,24,18,,
118,,,23,21,2,89
119,3,100,9,9,,
120,,,21,18,2,64
121,1,80,37,32,,
122,1,48,5,2,,
123,,,28,23,1,45
124,1,36,15,10,,
125,,,3,2,2,61
126,,,41,37,1,72
127,,,33,19,1,73
128,0,44,42,31,,
129,3,100,8,11,,
130,1,60,4,7,,
131,3,100,2,8,,
132,,,18,10,2,66
133,2,99,16,22,,
134,,,28,22,3,100
135,,,33,27,3,100
136,,,27,15,2,55
137,2,77,10,17,,
138,0,46,30,29,,
139,,,20,9,2,97
140,3,100,43,37,,
141,,,5,3,1,48
142,1,79,13,10,,
143,2,52,6,2,,
144,,,4,2,1,35
145,,,19,21,1,52
146,0,40,35,29,,
147,,,11,10,2,57
148,,,8,4,2,94
149,,,35,36,0,49
150,,,19,22,3,100
151,3,100,16,25,,
152,2,86,14,10,,
153,,,29,31,0,32
154,2,60,1,5,,
155,1,70,26,22,,
156,1,66,7,17,,
157,,,29,20,2,83
158,,,6,6,0,47
159,2,63,6,4,,
160,,,6,7,1,35
161,1,62,24,22,,
162,,,41,38,1,66
163,3,100,25,31,,
164,2,95,15,8,,
165,2,99,17,29,,
