version,1,reserved,reserved,reserved,reserved,reserved
This is Sparta,928RR00,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/12/09,,,,,,
1,Wryhorn,10,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Mike,10,RJP9282R,,10,
4,Diggs,10,L82YQVU,,10,
5,Nikita,10,YCVQO2PV,,10,
6,MJP35,10,GRLV9L,,10,
7,Tyrion,9,99G8QGJV,,10,
8,Cash,9,99PYRUGC,,10,
9,Eric,9,YYGOV9VC,,10,
10,Nicholas,9,RC00PQCL,,10,
11,Aboy,9,VQ9PUJV2,,10,
12,Whooboy,9,22UOVV2JJ,,10,
13,Beej,9,CR8JYPLG,,10,
14,Kighr,9,J0RJP9LG,,10,
15,Batman,9,2QU9CC8,,10,
16,Mord,9,22JGQUCJQ,,10,
17,RedACE,9,GRJLGCUQ,,10,
18,Jim,9,R2RRQJG,,10,
19,Frog,9,2JVLYQQP,,10,
20,Steve,9,QVRV9VGG,,10,
21,Joe,9,LG9GQQJ8,,10,
22,Jitsuka,9,J80090GV,,9,
23,vtechno,9,RGRUPCV2,,9,
24,Katie-cakes,8,G2QQ0GGG2,,9,
25,Kevlar,8,8GUL9GO9,,9,
26,Moose Knuckle,8,2PCQ29CR9,,9,
27,swimdamnfast,8,YQJR0Q9G,,9,
28,Evil Lord Dorn,8,2JRLC2YQ9,,9,
29,Wilford Brimley,8,UGPJGJRU,,9,
30,TyroneCoC,8,29G0GL8Y2,,9,
31,MohamedMran,8,2GQ8VYRLV,,9,
32,darkhorse,8,22YJ2U8YU,,9,
33,duckman,8,2G2RY2R98,,9,
34,Dragon Slayer,8,CV9L1YVC,,9,
35,secretslayer297,8,P2UJ9YCU,,9,
36,liam,8,28Q8YCPL0,,9,
37,rocksteady,7,2GCL2V2OU,,9,
38,bacon,7,2QRJ0RU0J,,9,
39,lemur,7,2ULCJQU9C,,9,
40,powerbang,7,2RGUPULRU,,8,
1,0,37,38,37,,
2,2,86,27,28,,
3,3,100,36,39,,
4,3,100,17,29,,
5,,,30,14,0,37
6,1,75,32,38,,
7,2,74,24,37,,
8,1,94,26,33,,
9,2,81,35,40,,
10,1,84,30,35,,
11,0,43,29,27,,
12,1,55,39,26,,
13,3,100,28,34,,
14,,,23,22,2,58
15,,,29,36,2,67
16,2,71,34,35,,
17,,,33,23,1,50
18,,,35,1,2,62
19,3,100,24,38,,
20,3,100,36,40,,
21,1,52,19,5,,
22,2,99,40,39,,
23,2,75,26,32,,
24,3,100,29,28,,
25,1,75,27,33,,
26,,,22,31,2,70
27,1,59,23,4,,
28,1,49,20,10,,
29,3,100,8,27,,
30,1,80,32,35,,
31,0,47,21,9,,
32,,,28,29,1,55
33,3,100,31,37,,
34,2,98,25,36,,
35,3,100,28,33,,
36,3,100,33,35,,
37,0,43,16,8,,
38,0,49,22,6,,
39,2,52,20,9,,
40,2,99,17,30,,
41,1,28,39,25,,
42,0,40,19,7,,
43,0,43,9,2,,
44,,,36,39,2,55
45,,,6,3,1,72
46,,,34,23,1,54
47,3,100,31,36,,
48,2,57,25,31,,
49,3,100,18,30,,
50,,,37,4,3,100
51,2,54,16,6,,
52,3,100,10,20,,
53,2,51,30,32,,
54,1,51,33,32,,
55,1,42,9,1,,
56,2,59,23,8,,
57,3,100,13,22,,
58,0,0,37,14,,
59,2,78,34,31,,
60,,,18,16,1,40
61,3,100,40,40,,
62,,,10,18,1,24
63,1,61,7,23,,
64,0,0,37,11,,
65,1,23,38,25,,
66,2,52,15,2,,
67,,,24,12,0,41
68,,,27,29,1,51
69,,,20,22,1,50
70,,,40,38,1,62
71,,,30,15,1,77
72,2,61,15,7,,
73,3,100,18,23,,
74,,,25,12,2,74
75,,,12,21,1,38
76,2,99,3,11,,
77,3,100,1,13,,
78,,,39,1,3,100
79,,,24,21,2,79
80,3,100,11,19,,
81,2,99,14,24,,
82,,,21,18,1,37
83,3,100,5,14,,
84,3,100,1,12,,
85,3,100,11,26,,
86,2,91,12,25,,
87,2,69,4,17,,
88,3,100,3,15,,
89,3,100,13,21,,
90,3,100,10,7,,
91,2,52,12,5,,
92,,,11,16,1,33
93,,,19,34,1,64
94,3,100,5,16,,
95,,,38,4,3,100
96,3,100,4,18,,
97,2,74,2,10,,
98,,,26,24,2,75
99,2,87,6,3,,
100,2,78,2,1,,
101,2,96,35,38,,
102,,,33,19,2,87
103,2,97,8,25,,
104,3,100,14,31,,
105,,,32,28,2,75
106,1,94,22,25,,
107,,,17,11,1,44
108,0,37,21,4,,
109,,,31,24,2,93
110,2,87,7,25,,
111,,,16,31,0,20
112,2,93,6,4,,
