player,tag,closer stars,holds,bleeds,nuked,total stars,three stars
Wryhorn,JQJQVL8Y,2,2,1,0,4,0,
The Reverend,9LGLGUVR,2,1,0,0,3,0,
Diggs,L82YQVU,4,1,0,0,4,0,
MJP35,GRLV9L,0,2,0,0,2,0,
Nicholas,RC00PQCL,3,0,0,1,5,1,
Aboy,VQ9PUJV2,6,0,0,1,6,2,
Eric,YYGOV9VC,3,0,0,1,5,1,
Whooboy,22UOVV2JJ,0,0,0,1,3,0,
Beej,CR8JYPLG,3,2,0,0,5,1,
Kighr,J0RJP9LG,6,1,0,0,6,2,
Batman,2QU9CC8,6,0,0,0,6,2,
Mord,22JGQUCJQ,0,1,0,0,5,1,
RedACE,GRJLGCUQ,0,1,0,0,3,0,
Jippieh Yeah,YCYV88UV,6,0,0,0,6,2,
Jim,R2RRQJG,0,0,0,0,5,1,
Frog,2JVLYQQP,3,1,1,0,4,1,
Steve,QVRV9VGG,6,1,3,0,6,2,
Joe,LG9GQQJ8,3,0,0,0,6,2,
Jitsuka,J80090GV,0,1,1,0,5,1,
vtechno,RGRUPCV2,0,0,6,0,3,0,
Simlin,2GO989G2U,3,0,1,0,4,1,
Katie-cakes,G2QQ0GGG2,6,0,0,1,6,2,
Moose Knuckle,2PCQ29CR9,0,0,0,1,4,0,
swimdamnfast,YQJR0Q9G,0,0,1,1,2,0,
Evil Lord Dorn,2JRLC2YQ9,6,0,1,1,6,2,
TyroneCoC,29G0GL8Y2,6,0,3,1,6,2,
MohamedMran,2GQ8VYRLV,6,0,2,0,6,2,
darkhorse,22YJ2U8YU,6,0,2,0,6,2,
duckman,2G2RY2R98,3,0,5,0,5,1,
secretslayer297,P2UJ9YCU,3,0,0,0,5,1,
liam,28Q8YCPL0,3,0,1,0,3,1,
rocksteady,2GCL2V2OU,0,0,0,0,3,1,
bacon,2QRJ0RU0J,0,0,0,0,3,0,
lemur,2ULCJQU9C,3,0,1,1,6,2,
powerbang,2RGUPULRU,3,0,1,1,3,1,
