version,1,reserved,reserved,reserved,reserved,reserved
Deadly Rabbits,LOLOP8R,,,,,
35,,,,,,
2015/12/11,,,,,,
1,Wryhorn,11,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Diggs,10,L82YQVU,,10,
4,MJP35,10,GRLV9L,,10,
5,Nicholas,9,RC00PQCL,1,9,
6,Aboy,9,VQ9PUJV2,1,9,
7,Eric,9,YYGOV9VC,1,9,
8,Whooboy,9,22UOVV2JJ,1,9,
9,Beej,9,CR8JYPLG,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,Batman,9,2QU9CC8,1,9,
12,Mord,9,22JGQUCJQ,1,9,
13,RedACE,9,GRJLGCUQ,1,9,
14,Jippieh Yeah,9,YCYV88UV,,9,
15,Jim,9,R2RRQJG,,9,
16,Frog,9,2JVLYQQP,,9,
17,Steve,9,QVRV9VGG,,9,
18,Joe,9,LG9GQQJ8,,9,
19,Jitsuka,9,J80090GV,,9,
20,vtechno,9,RGRUPCV2,,9,
21,Simlin,9,2GO989G2U,1,8,
22,Katie-cakes,8,G2QQ0GGG2,1,8,
23,Moose Knuckle,8,2PCQ29CR9,1,8,
24,swimdamnfast,8,YQJR0Q9G,1,8,
25,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
26,TyroneCoC,8,29G0GL8Y2,1,8,
27,MohamedMran,8,2GQ8VYRLV,1,8,
28,darkhorse,8,22YJ2U8YU,1,8,
29,duckman,8,2G2RY2R98,,8,
30,secretslayer297,8,P2UJ9YCU,,8,
31,liam,8,28Q8YCPL0,,8,
32,rocksteady,7,2GCL2V2OU,,8,
33,bacon,7,2QRJ0RU0J,,8,
34,lemur,7,2ULCJQU9C,,7,
35,powerbang,7,2RGUPULRU,,7,
1,3,100,34,34,,
2,3,100,6,9,,
3,,,28,24,2,86
4,,,31,33,3,100
5,3,100,21,20,,
6,,,27,23,2,81
7,,,33,34,3,100
8,2,97,13,11,,
9,3,100,14,12,,
10,3,100,28,30,,
11,3,100,27,21,,
12,2,71,20,17,,
13,,,20,14,1,58
14,3,100,26,23,,
15,3,100,17,19,,
16,2,88,29,28,,
17,,,30,24,3,100
18,,,29,27,2,64
19,1,63,21,17,,
20,,,26,22,1,70
21,,,29,23,2,94
22,3,100,27,24,,
23,,,25,20,3,100
24,1,72,13,13,,
25,,,29,33,2,93
26,3,100,9,10,,
27,3,100,25,32,,
28,,,22,17,3,100
29,3,100,26,25,,
30,,,20,16,1,67
31,2,98,5,8,,
32,3,100,18,16,,
33,0,49,24,26,,
34,,,21,16,2,79
35,3,100,11,15,,
36,3,100,7,14,,
37,2,68,24,28,,
38,,,28,30,3,100
39,3,100,22,22,,
40,3,100,22,27,,
41,2,88,30,31,,
42,3,100,16,18,,
43,,,3,2,2,53
44,,,11,7,3,100
45,,,19,15,2,72
46,3,100,29,26,,
47,3,100,31,33,,
48,,,29,26,3,100
49,3,100,25,31,,
50,,,23,19,3,100
51,,,24,18,3,100
52,3,100,35,35,,
53,2,90,23,28,,
54,3,100,28,29,,
55,,,32,34,3,100
56,2,77,1,1,,
57,,,16,12,2,86
58,,,18,14,3,100
59,3,100,6,7,,
60,,,34,31,3,100
61,,,35,29,3,100
62,,,27,22,0,49
63,,,27,26,3,100
64,,,26,20,2,94
65,3,100,11,17,,
66,,,2,2,2,68
67,2,54,23,22,,
68,,,10,6,2,86
69,,,5,1,3,100
70,1,72,20,13,,
71,0,0,32,4,,
72,,,26,25,3,100
73,3,100,10,8,,
74,3,100,17,11,,
75,2,59,2,3,,
76,,,29,29,2,76
77,,,35,35,3,100
78,,,12,7,2,89
79,,,26,30,1,88
80,,,21,18,3,100
81,2,64,7,5,,
82,3,100,14,13,,
83,,,31,32,2,79
84,,,15,10,3,100
85,,,9,6,1,55
86,1,59,8,6,,
87,,,17,11,2,90
88,,,13,5,2,75
89,,,20,17,1,58
90,1,48,16,6,,
91,2,90,19,5,,
92,,,20,28,2,58
93,3,100,5,5,,
94,,,17,12,1,56
95,,,20,15,2,56
96,2,66,3,4,,
97,2,76,12,6,,
98,1,67,33,28,,
99,,,14,5,3,100
100,,,8,4,3,100
101,,,20,19,0,46
102,,,28,28,1,74
103,,,16,8,1,59
104,3,100,10,6,,
105,,,4,10,1,43
106,3,100,30,28,,
107,,,7,4,3,100
108,2,82,9,5,,
109,,,6,3,3,100
110,,,25,21,2,81
111,,,29,31,3,100
112,3,100,12,8,,
113,,,17,13,2,81
114,,,34,35,3,100
115,3,100,18,18,,
116,2,60,3,2,,
117,3,100,34,35,,
118,,,1,1,0,45
119,1,45,2,1,,
120,2,79,15,11,,
121,2,56,4,4,,
122,2,63,33,32,,
123,,,20,11,3,100
124,,,19,13,2,66
125,2,93,8,11,,
126,3,100,19,18,,
127,,,24,21,1,88
128,3,100,32,34,,
129,3,100,15,10,,
130,,,1,3,1,57
131,,,17,8,1,65
132,2,59,1,2,,
133,0,44,31,28,,
