version,1,reserved,reserved,reserved,reserved,reserved
Les Gladiateurs,2VGPJR09,,JTJ,2R9RCV9V,,
35,,,,,,
2015/12/13,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,The Reverend,10,9LGLGUVR,,10,
4,Diggs,10,L82YQVU,,10,
5,Tyrion,9,99G8QGJV,,10,
6,Aboy,9,VQ9PUJV2,,10,
7,Eric,9,YYGOV9VC,,10,
8,Nicholas,9,RC00PQCL,1,9,
9,Whooboy,9,22UOVV2JJ,1,9,
10,Beej,9,CR8JYPLG,1,9,
11,Kighr,9,J0RJP9LG,1,9,
12,RedACE,9,GRJLGCUQ,1,9,
13,Mord,9,22JGQUCJQ,1,9,
14,Anthony,9,YPPQ8G99,,9,
15,Jippieh Yeah,9,YCYV88UV,,9,
16,Jim,9,R2RRQJG,,9,
17,Cheeto,9,RPUVJYLP,,9,
18,Steve,9,QVRV9VGG,,9,
19,Frog,9,2JVLYQQP,,9,
20,Joe,9,LG9GQQJ8,1,8,
21,Jitsuka,9,J80090GV,1,8,
22,Simlin,9,2GO989G2U,1,8,
23,Katie-cakes,8,G2QQ0GGG2,1,8,
24,Moose Knuckle,8,2PCQ29CR9,1,8,
25,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
26,MohamedMran,8,2GQ8VYRLV,,8,
27,Clanhuntaz,8,R9CVQPQU,,7,
28,TyroneCoC,8,29G0GL8Y2,,7,
29,darkhorse,8,22YJ2U8YU,,7,
30,duckman,8,2G2RY2R98,,7,
31,secretslayer297,8,P2UJ9YCU,,7,
32,liam,8,28Q8YCPL0,,7,
33,rocksteady,7,2GCL2V2OU,,7,
34,bacon,7,2QRJ0RU0J,,4,
35,lemur,7,2ULCJQU9C,,5,
1,,,35,29,3,100
2,,,20,14,1,45
3,3,100,6,9,,
4,,,25,19,2,81
5,,,30,24,3,100
6,,,34,32,3,100
7,,,27,21,3,100
8,1,93,30,23,,
9,,,33,27,3,100
10,,,21,15,2,83
11,,,32,30,2,74
12,1,66,13,15,,
13,,,31,25,1,85
14,,,32,28,2,82
15,,,16,10,2,95
16,3,100,14,17,,
17,3,100,33,28,,
18,,,9,4,2,76
19,,,26,20,3,100
20,3,100,15,14,,
21,3,100,24,25,,
22,1,84,19,18,,
23,,,28,22,2,87
24,3,100,26,20,,
25,3,100,30,22,,
26,3,100,22,19,,
27,1,87,8,10,,
28,3,100,29,27,,
29,3,100,28,24,,
30,3,100,23,21,,
31,2,79,24,23,,
32,,,10,4,2,68
33,,,32,31,2,66
34,,,18,12,2,79
35,,,22,16,2,93
36,3,100,18,16,,
37,,,24,18,3,100
38,,,23,17,3,100
39,,,31,30,1,50
40,3,100,34,29,,
41,3,100,22,18,,
42,3,100,33,30,,
43,,,32,26,2,80
44,3,100,35,33,,
45,,,15,9,3,100
46,,,32,29,3,100
47,1,91,18,15,,
48,3,100,9,12,,
49,,,31,33,0,31
50,,,33,32,2,90
51,3,100,34,34,,
52,,,31,27,0,47
53,1,70,12,13,,
54,3,100,8,8,,
55,,,29,23,2,63
56,,,31,28,0,44
57,3,100,32,26,,
58,3,100,29,31,,
59,0,4,32,35,,
60,,,31,26,2,50
61,3,100,27,24,,
62,3,100,23,23,,
63,,,22,15,2,65
64,,,31,24,2,50
65,3,100,11,11,,
66,,,33,33,2,68
67,,,25,20,3,100
68,,,31,22,2,59
69,,,12,6,2,69
70,,,22,18,2,61
71,2,60,3,6,,
72,3,100,35,32,,
73,1,64,21,15,,
74,3,100,31,35,,
75,,,7,3,3,100
76,2,91,5,15,,
77,,,17,11,2,70
78,2,75,4,5,,
79,,,16,9,1,57
80,1,76,17,15,,
81,,,31,21,3,100
82,,,20,12,2,68
83,3,100,9,13,,
84,1,58,4,7,,
85,3,100,19,15,,
86,0,49,13,10,,
87,0,19,3,4,,
88,2,77,14,10,,
89,0,45,1,1,,
90,1,79,26,21,,
91,2,82,28,20,,
92,3,100,6,10,,
93,2,52,7,7,,
94,2,71,1,2,,
95,2,90,5,8,,
96,3,100,31,26,,
97,3,100,20,11,,
98,3,100,27,20,,
99,1,39,7,4,,
100,1,51,15,4,,
101,3,100,16,10,,
102,2,60,2,1,,
103,0,29,12,3,,
104,0,33,10,3,,
105,,,29,17,3,100
106,,,11,5,0,31
107,0,43,10,4,,
108,3,100,20,17,,
109,1,50,11,10,,
110,0,32,17,8,,
111,,,22,14,2,70
112,,,8,3,3,100
113,3,100,25,19,,
114,,,32,25,3,100
115,,,19,19,2,52
116,,,14,11,2,81
117,,,28,23,3,100
118,2,50,16,4,,
119,,,5,16,1,52
120,,,31,31,1,48
121,,,6,2,3,100
122,,,11,2,3,100
123,,,13,8,2,52
124,,,5,10,2,79
125,,,4,8,1,36
126,,,1,1,0,23
127,2,67,25,18,,
128,2,98,2,3,,
