version,1,reserved,reserved,reserved,reserved,reserved
AlmasDeFuego,92GRP28G,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/12/16,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,10,
3,The Reverend,10,9LGLGUVR,,10,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,,10,
6,Eleazar,9,C8GRJVL0,,10,
7,Czech1Czech2,9,22CP2Y828,,10,
8,Cash,9,99PYRUGC,,10,
9,Atlas,9,RJ9PJ9CC,,10,
10,Aboy,9,VQ9PUJV2,1,9,
11,Nicholas,9,RC00PQCL,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Beej,9,CR8JYPLG,1,9,
14,Kighr,9,J0RJP9LG,1,9,
15,Batman,9,2QU9CC8,,9,
16,RedACE,9,GRJLGCUQ,,9,
17,Mord,9,22JGQUCJQ,,9,
18,Jim,9,R2RRQJG,,9,
19,Frog,9,2JVLYQQP,,9,
20,Steve,9,QVRV9VGG,,9,
21,Joe,9,LG9GQQJ8,,9,
22,Mr Incrediboyle,9,JGRY0R0L,,9,
23,Simlin,9,2GO989G2U,,9,
24,vtechno,9,RGRUPCV2,,9,
25,Flukes,9,2PYPOUGJG,,9,
26,Moose Knuckle,8,2PCQ29CR9,,9,
27,Katie-cakes,8,G2QQ0GGG2,,9,
28,MohamedMran,8,2GQ8VYRLV,,9,
29,Evil Lord Dorn,8,2JRLC2YQ9,,9,
30,TyroneCoC,8,29G0GL8Y2,,9,
31,Clanhuntaz,8,R9CVQPQU,,9,
32,darkhorse,8,22YJ2U8YU,,9,
33,duckman,8,2G2RY2R98,1,8,
34,ATG,8,U8CRJP8R,1,8,
35,secretslayer297,8,P2UJ9YCU,1,8,
36,Dragon Slayer,8,CV9L1YVC,1,8,
37,liam,8,28Q8YCPL0,,8,
38,Helix,7,80GPQ9008,,8,
39,rocksteady,7,2GCL2V2OU,,8,
40,lemur,7,2ULCJQU9C,,8,
1,,,5,5,1,52
2,1,75,19,19,,
3,,,32,32,3,100
4,1,80,37,38,,
5,3,100,25,28,,
6,,,30,30,2,71
7,3,100,32,35,,
8,,,18,18,2,65
9,3,100,21,22,,
10,,,16,16,1,48
11,3,100,24,25,,
12,3,100,15,20,,
13,2,66,10,10,,
14,,,28,28,3,100
15,,,23,23,2,85
16,3,100,35,40,,
17,3,100,9,14,,
18,1,57,16,12,,
19,3,100,33,33,,
20,3,100,22,21,,
21,,,15,15,2,61
22,,,24,24,1,66
23,3,100,29,37,,
24,1,64,15,15,,
25,1,58,27,34,,
26,,,24,16,2,72
27,2,58,4,4,,
28,1,63,32,38,,
29,,,14,14,2,50
