version,1,reserved,reserved,reserved,reserved,reserved
ChurrasClan,YPQGGGY2,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/12/18,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,10,
3,The Reverend,10,9LGLGUVR,,10,
4,Diggs,10,L82YQVU,,10,
5,TryPTAQueen,10,YCVQ02PV,,10,
6,MJP35,10,GRLV9L,,10,
7,Eleazar,9,C8GRJVL0,1,9,
8,Czech1Czech2,9,22CP2Y828,1,9,
9,Cash,9,99PYRUGC,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,Atlas,9,RJ9PJ9CC,1,9,
12,Aboy,9,VQ9PUJV2,1,9,
13,Nicholas,9,RC00PQCL,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,Beej,9,CR8JYPLG,1,9,
16,Kighr,9,J0RJP9LG,1,9,
17,RedACE,9,GRJLGCUQ,,10,
18,Mord,9,22JGQUCJQ,,9,
19,Jippieh Yeah,9,YCYV88UV,,9,
20,Frog,9,2JVLYQQP,,9,
21,Steve,9,QVRV9VGG,,9,
22,Jitsuka,9,J80090GV,,9,
23,Mr Incrediboyle,9,JGRY0R0L,,9,
24,vtechno,9,RGRUPCV2,,9,
25,Simlin,9,2GO989G2U,,9,
26,Daddy,9,LR2Y8P2L,,9,
27,Moose Knuckle,8,2PCQ29CR9,,9,
28,Katie-cakes,8,G2QQ0GGG2,1,8,
29,MohamedMran,8,2GQ8VYRLV,1,8,
30,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
31,TyroneCoC,8,29G0GL8Y2,1,8,
32,duckman,8,2G2RY2R98,1,8,
33,darkhorse,8,22YJ2U8YU,,8,
34,ATG,8,U8CRJP8R,,8,
35,secretslayer297,8,P2UJ9YCU,,8,
36,RobWinn,8,99QQC2C0,,8,
37,liam,8,28Q8YCPL0,,7,
38,Helix,7,80GPQ9008,,7,
39,rocksteady,7,2GCL2V2OU,,5,
40,lemur,7,2ULCJQU9C,,4,
1,3,100,37,35,,
2,0,3,24,23,,
3,,,39,38,1,37
4,,,27,25,3,100
5,3,100,36,34,,
6,1,79,29,28,,
7,0,47,20,22,,
8,3,100,14,14,,
9,1,55,28,28,,
10,3,100,40,37,,
11,,,13,13,2,68
12,3,100,25,25,,
13,,,28,27,3,100
14,1,99,33,32,,
15,,,29,29,3,100
16,2,70,21,18,,
17,3,100,17,12,,
18,3,100,22,21,,
19,,,34,34,2,79
20,3,100,31,30,,
21,1,81,32,31,,
22,3,100,8,20,,
23,2,61,4,6,,
24,3,100,28,31,,
25,3,100,32,28,,
26,1,94,14,13,,
27,3,100,19,16,,
28,3,100,27,29,,
29,3,100,25,22,,
30,2,91,9,8,,
31,1,77,17,15,,
32,3,100,39,38,,
33,3,100,40,39,,
34,3,100,18,19,,
35,2,74,13,7,,
36,3,100,8,23,,
37,3,100,11,13,,
38,3,100,30,33,,
39,,,24,24,1,86
40,3,100,9,15,,
41,1,71,18,17,,
42,3,100,15,11,,
43,1,55,10,17,,
44,1,56,26,24,,
45,3,100,11,9,,
46,3,100,34,32,,
47,2,80,30,27,,
48,2,54,2,3,,
49,3,100,38,36,,
50,1,57,7,17,,
51,,,7,8,2,66
52,2,56,3,5,,
53,3,100,38,40,,
54,,,21,21,1,83
55,1,66,19,10,,
56,,,10,10,2,81
57,2,54,1,1,,
58,,,30,34,2,82
59,3,100,12,10,,
60,3,100,23,17,,
61,,,40,38,0,33
62,,,14,14,2,66
63,,,17,17,2,62
64,3,100,35,36,,
65,2,69,16,8,,
66,1,78,20,24,,
67,,,31,31,2,93
68,3,100,29,29,,
69,1,55,23,18,,
70,1,58,27,26,,
71,1,53,13,6,,
72,2,82,10,18,,
73,,,26,26,1,42
74,1,52,12,8,,
75,,,4,4,2,54
76,3,100,35,34,,
77,3,100,21,24,,
78,3,100,36,30,,
79,,,1,1,2,55
80,2,77,33,26,,
81,,,5,5,1,30
82,,,21,19,2,72
83,,,8,17,2,54
84,,,16,16,2,69
85,1,89,34,26,,
86,,,6,6,0,36
87,2,54,5,4,,
88,,,33,33,2,71
89,,,9,8,2,52
90,,,22,22,2,73
91,,,23,24,3,100
92,3,100,15,8,,
93,,,37,36,1,71
94,,,11,6,1,48
95,3,100,31,26,,
96,3,100,3,4,,
97,0,0,39,2,,
98,,,3,3,0,45
99,,,2,1,0,33
100,,,26,22,1,48
101,3,100,22,18,,
102,3,100,24,27,,
103,,,25,26,2,62
104,2,67,1,2,,
105,,,37,29,3,100
106,2,66,6,6,,
107,1,46,4,3,,
108,3,100,5,7,,
109,,,20,27,1,50
110,2,91,7,7,,
111,,,6,3,2,50
112,,,38,36,0,0
113,,,18,13,1,57
114,1,82,26,22,,
115,,,39,35,3,100
116,,,12,9,2,79
117,2,54,6,3,,
118,,,15,10,2,76
119,,,2,2,0,33
120,,,32,32,3,100
121,3,100,16,10,,
122,,,19,15,1,49
123,,,30,25,2,88
124,,,11,11,2,93
125,,,26,21,1,50
126,2,92,2,5,,
127,,,36,12,2,99
128,3,100,37,34,,
129,,,35,31,1,70
130,,,26,14,2,60
131,,,35,35,1,74
