version,1,reserved,reserved,reserved,reserved,reserved
PinoySlasher,9L09RRR9,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/12/20,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,The Reverend,10,9LGLGUVR,,10,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,,10,
6,Eleazar,9,C8GRJVL0,1,9,
7,Czech1Czech2,9,22CP2Y828,1,9,
8,Tyrion,9,99G8QGJV,1,9,
9,Atlas,9,RJ9PJ9CC,1,9,
10,Aboy,9,VQ9PUJV2,1,9,
11,Nicholas,9,RC00PQCL,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Beej,9,CR8JYPLG,1,9,
14,Kighr,9,J0RJP9LG,1,9,
15,RedACE,9,GRJLGCUQ,,9,
16,Mord,9,22JGQUCJQ,,9,
17,YYY,9,20YVJR2JG,,9,
18,Jippieh Yeah,9,YCYV88UV,,9,
19,Jim,9,R2RRQJG,,9,
20,Frog,9,2JVLYQQP,,9,
21,Steve,9,QVRV9VGG,,9,
22,vtechno,9,RGRUPCV2,1,8,
23,Moose Knuckle,8,2PCQ29CR9,1,8,
24,Katie-cakes,8,G2QQ0GGG2,1,8,
25,MohamedMran,8,2GQ8VYRLV,1,8,
26,Wilford Brimley,8,UGPJGJRU,1,8,
27,Evil Lord Dorn,8,2JRLC2YQ9,1,8,
28,TyroneCoC,8,29G0GL8Y2,1,8,
29,Clanhuntaz,8,R9CVQPQU,1,8,
30,duckman,8,2G2RY2R98,,8,
31,darkhorse,8,22YJ2U8YU,,8,
32,ATG,8,U8CRJP8R,,8,
33,secretslayer297,8,P2UJ9YCU,,8,
34,Dragon Slayer,8,CV9L1YVC,,8,
35,RobWinn,8,99QQC2C0,,8,
36,liam,8,28Q8YCPL0,,8,
37,rocksteady,8,2GCL2V2OU,,7,
38,helix,8,80GPQ9008,,7,
39,bacon,7,2QRJ0RU0J,,7,
40,lemur,7,2ULCJQU9C,,6,
1,,,1,1,0,45
2,,,38,34,3,100
3,,,26,22,2,69
4,3,100,38,36,,
5,,,23,23,3,100
6,3,100,26,27,,
7,3,100,40,37,,
8,3,100,20,19,,
9,,,24,15,3,100
10,3,100,23,23,,
11,3,100,16,16,,
12,3,100,31,31,,
13,2,78,15,13,,
14,3,100,18,14,,
15,1,83,38,35,,
16,3,100,25,22,,
17,3,100,28,28,,
18,3,100,33,32,,
19,1,71,34,24,,
20,3,100,30,26,,
21,,,33,32,0,42
22,,,39,37,3,100
23,3,100,21,17,,
24,,,14,8,2,78
25,,,40,38,1,64
26,,,33,22,1,73
27,3,100,35,34,,
28,2,72,9,10,,
29,3,100,10,8,,
30,,,6,4,2,86
31,,,15,9,2,99
32,,,36,28,2,87
33,,,2,1,0,47
34,,,32,31,2,74
35,3,100,7,15,,
36,2,88,26,29,,
37,3,100,8,20,,
38,1,53,25,24,,
39,3,100,40,38,,
40,,,40,39,3,100
41,,,37,40,0,45
42,,,2,2,2,52
43,3,100,27,30,,
44,,,37,32,3,100
45,2,82,36,33,,
46,3,100,21,21,,
47,3,100,22,18,,
48,3,100,15,12,,
49,3,100,29,25,,
50,,,40,40,0,46
51,3,100,19,13,,
52,3,100,35,33,,
53,1,58,11,6,,
54,3,100,30,24,,
55,3,100,7,11,,
56,,,27,19,2,85
57,,,30,26,3,100
58,3,100,17,9,,
59,,,25,16,3,100
60,,,1,2,2,56
61,,,36,39,1,74
62,1,87,29,29,,
63,1,50,18,10,,
64,,,29,26,2,91
65,,,35,30,3,100
66,,,16,11,2,74
67,,,13,9,2,84
68,,,12,8,2,60
69,2,55,3,5,,
70,,,28,21,2,88
71,,,31,19,3,100
72,,,33,23,3,100
73,,,34,24,3,100
74,,,36,27,2,79
75,,,17,13,1,52
76,,,18,10,2,72
77,1,68,1,1,,
78,,,40,33,0,0
79,,,22,14,2,54
80,,,36,33,1,80
81,3,100,37,39,,
82,,,7,6,2,73
83,2,82,10,6,,
84,,,36,35,2,59
85,,,26,15,3,100
86,,,27,21,3,100
87,2,64,27,29,,
88,,,36,34,1,65
89,,,9,5,2,73
90,3,100,23,29,,
91,,,32,28,2,74
92,0,37,4,3,,
93,1,60,17,7,,
94,,,19,10,3,100
95,3,100,32,25,,
96,3,100,34,35,,
97,,,20,11,2,58
98,0,48,3,3,,
99,1,54,16,6,,
100,1,53,2,2,,
101,3,100,6,7,,
102,0,10,19,10,,
103,3,100,39,40,,
104,0,3,39,4,,
105,,,28,25,2,76
106,1,72,11,7,,
107,1,52,8,10,,
108,3,100,37,36,,
109,3,100,31,35,,
110,3,100,20,10,,
111,3,100,24,24,,
112,3,100,14,6,,
113,1,60,12,10,,
114,2,52,2,3,,
115,,,21,16,2,52
116,3,100,6,6,,
117,,,29,17,2,79
118,0,49,5,4,,
119,3,100,12,14,,
120,,,32,30,2,77
121,,,11,12,2,52
122,1,61,9,6,,
123,2,94,13,7,,
124,2,52,4,4,,
125,,,8,5,2,78
126,3,100,14,8,,
127,3,100,24,22,,
128,,,32,35,2,70
129,3,100,33,30,,
130,,,13,20,2,50
131,2,94,13,6,,
132,3,100,28,24,,
133,1,64,1,2,,
134,,,5,4,2,55
135,0,29,22,10,,
136,1,44,5,2,,
137,3,100,36,32,,
138,,,29,25,2,66
