version,1,reserved,reserved,reserved,reserved,reserved
Malang Eternity,9P9CLLLG,,JTJ,2R9RCV9V,,S1
35,,,,,,
2015/12/23,,,,,,
1,Wryhorn,11,JQJQVL8Y,,10,
2,The Reverend,10,9LGLGUVR,,10,
3,Diggs,10,L82YQVU,,10,
4,MJP35,10,GRLV9L,1,9,
5,Tyrion,9,99G8QGJV,1,9,
6,Aboy,9,VQ9PUJV2,1,9,
7,Atlas,9,RJ9PJ9CC,1,9,
8,Eric,9,YYGOV9VC,1,9,
9,Nicholas,9,RC00PQCL,1,9,
10,Beej,9,CR8JYPLG,1,9,
11,RedACE,9,GRJLGCUQ,,9,
12,Mord,9,22JGQUCJQ,,9,
13,Anthony,9,YPPQ8G99,,9,
14,Jim,9,R2RRQJG,,9,
15,Steve,9,QVRV9VGG,,9,
16,vtechno,9,RGRUPCV2,,9,
17,Joe,9,LG9GQQJ8,,9,
18,Simlin,9,2GO989G2U,,9,
19,Brodavidict,9,YYQQR2UY,,9,
20,Moose Knuckle,8,2PCQ29CR9,1,8,
21,Katie-cakes,8,G2QQ0GGG2,1,8,
22,TyroneCoC,8,29G0GL8Y2,1,8,
23,Clanhuntaz,8,R9CVQPQU,1,8,
24,duckman,8,2G2RY2R98,1,8,
25,darkhorse,8,22YJ2U8YU,1,8,
26,Ninja,8,YCR9JGR8,1,8,
27,secretslayer297,8,P2UJ9YCU,1,8,
28,Dragon Slayer,8,CV9L1YVC,1,8,
29,TokinWhiteDude,8,JQ9CCVYP,,8,
30,KrustyKiller,8,222RRp9V2,,8,
31,RobWinn,8,99QQC2C0,,8,
32,liam,8,28Q8YCPL0,,8,
33,rocksteady,8,2GCL2V2OU,,8,
34,Helix,8,80GPQ9008,,8,
35,lemur,7,2ULCJQU9C,,9,
1,1,64,31,30,,
2,3,100,21,25,,
3,1,63,21,21,,
4,3,100,32,34,,
5,3,100,10,4,,
6,0,44,25,28,,
7,,,22,19,1,94
8,3,100,34,33,,
9,3,100,8,11,,
10,3,100,20,21,,
11,3,100,13,12,,
12,3,100,22,27,,
13,,,28,25,3,100
14,3,100,15,9,,
15,3,100,29,31,,
16,0,33,31,28,,
17,1,60,30,29,,
18,3,100,12,13,,
19,,,29,26,1,71
20,3,100,16,17,,
21,1,53,11,10,,
22,,,33,31,3,100
23,3,100,28,20,,
24,3,100,32,35,,
25,1,52,35,18,,
26,,,29,25,2,97
27,2,99,20,22,,
28,,,20,17,3,100
29,1,76,24,26,,
30,2,75,5,14,,
31,,,30,28,3,100
32,3,100,27,32,,
33,1,79,25,26,,
34,3,100,29,30,,
35,3,100,11,8,,
36,2,69,18,19,,
37,,,22,5,3,100
38,3,100,22,24,,
39,3,100,24,28,,
40,,,32,32,3,100
41,,,17,11,2,72
42,,,7,4,1,68
43,3,100,27,29,,
44,,,31,30,3,100
45,3,100,16,19,,
46,3,100,18,15,,
47,,,25,22,2,86
48,1,75,26,23,,
49,,,15,4,3,100
50,1,73,13,16,,
51,3,100,9,10,,
52,3,100,26,26,,
53,1,63,19,18,,
54,,,25,19,1,93
55,1,97,23,23,,
56,2,98,8,14,,
57,,,19,17,1,72
58,,,23,20,2,82
59,,,24,23,3,100
60,3,100,19,16,,
61,,,34,34,3,100
62,,,12,5,1,73
63,,,27,24,3,100
64,2,90,23,22,,
65,,,23,31,3,100
66,0,35,35,5,,
67,1,90,9,5,,
68,,,13,10,2,72
69,,,4,2,2,74
70,,,21,23,1,99
71,,,1,34,2,65
72,,,19,12,1,71
73,,,1,1,3,100
74,,,26,24,2,82
75,,,2,35,0,11
76,,,35,35,3,100
77,,,19,13,2,83
78,,,21,21,3,100
79,,,5,3,2,97
80,,,26,22,3,100
81,3,100,28,23,,
82,1,72,34,22,,
83,,,29,33,3,100
84,,,2,1,1,62
85,2,72,30,22,,
86,,,7,6,2,75
87,,,12,8,3,100
88,,,25,31,1,63
89,,,25,18,1,47
90,,,18,14,1,60
91,,,6,3,3,100
92,,,18,11,2,72
93,,,3,2,2,52
94,3,100,33,22,,
95,,,14,8,1,64
96,,,25,30,1,50
97,2,74,2,2,,
98,,,14,6,3,100
99,3,100,3,6,,
100,1,53,4,3,,
101,,,16,20,1,50
102,1,60,15,14,,
103,,,16,16,1,83
104,0,0,33,1,,
105,3,100,14,5,,
106,2,98,17,18,,
107,,,10,26,1,47
108,3,100,6,14,,
109,2,56,3,3,,
110,1,79,6,7,,
111,,,16,10,1,82
112,1,68,17,7,,
113,3,100,5,18,,
114,3,100,14,7,,
115,3,100,7,18,,
116,2,52,1,2,,
117,3,100,10,12,,
118,,,8,7,1,81
119,1,74,1,1,,
120,,,19,32,2,56
121,,,18,12,1,94
122,2,78,7,5,,
123,2,50,2,1,,
124,,,25,33,1,50
125,2,53,12,2,,
