version,1,reserved,reserved,reserved,reserved,reserved
Viet Lotus,88JCJR99,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/12/27,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,The Reverend,10,9LGLGUVR,,10,
4,Space12345,10,8002Y989,,10,
5,Diggs,10,L82YQVU,,10,
6,Aaron,10,8L28V8UJ,,10,
7,MJP35,10,GRLV9L,,10,
8,Law,9,CVGQLQ98,,10,
9,Eleazar,9,C8GRJVL0,1,9,
10,Cash,9,99PYRUGC,1,9,
11,Aboy,9,VQ9PUJV2,1,9,
12,Tyrion,9,99G8QGJV,1,9,
13,Eric,9,YYGOV9VC,1,9,
14,Nicholas,9,RC00PQCL,1,9,
15,Beej,9,CR8JYPLG,1,9,
16,RedACE,9,GRJLGCUQ,1,9,
17,Mord,9,22JGQUCJQ,1,9,
18,Anthony,9,YPPQ8G99,1,9,
19,YYY,9,20YVJR2JG,,9,
20,Jim,9,R2RRQJG,,9,
21,Steve,9,QVRV9VGG,,9,
22,vtechno,9,RGRUPCV2,,9,
23,Joe,9,LG9GQQJ8,,9,
24,Brian,9,QJLVUGYJ,,9,
25,Simlin,9,2GO989G2U,,9,
26,Mr Incrediboyle,9,JGRY0R0L,,9,
27,Brodavidict,9,YYQQR2UY,,9,
28,Moose Knuckle,8,2PCQ29CR9,,9,
29,Katie-cakes,8,G2QQ0GGG2,,9,
30,MohamedMran,8,2GQ8VYRLV,1,8,
31,TyroneCoC,8,29G0GL8Y2,1,8,
32,Clanhuntaz,8,R9CVQPQU,1,8,
33,duckman,8,2G2RY2R98,1,8,
34,darkhorse,8,22YJ2U8YU,1,8,
35,Ninja,8,YCR9JGR8,1,8,
36,ATG,8,U8CRJP8R,,8,
37,Dragon Slayer,8,CV9L1YVC,,8,
38,RobWinn,8,99QQC2C0,,8,
39,liam,8,28Q8YCPL0,,7,
40,rocksteady,8,2GCL2V2OU,,6,
1,3,100,29,31,,
2,1,59,25,27,,
3,3,100,39,38,,
4,3,100,23,25,,
5,3,100,13,23,,
6,2,71,15,12,,
7,1,58,22,26,,
8,3,100,17,20,,
9,3,100,38,37,,
10,3,100,18,24,,
11,3,100,8,19,,
12,3,100,24,22,,
13,,,1,39,0,12
14,1,91,30,30,,
15,,,38,37,2,52
16,2,94,34,34,,
17,,,28,28,2,99
18,3,100,33,33,,
19,2,64,4,5,,
20,3,100,5,6,,
21,3,100,29,34,,
22,2,93,25,26,,
23,,,20,21,1,68
24,,,17,15,1,65
25,3,100,31,32,,
26,1,60,37,30,,
27,3,100,12,21,,
28,3,100,16,17,,
29,2,90,28,36,,
30,3,100,15,15,,
31,,,8,9,2,62
32,,,16,14,1,49
33,,,23,23,2,74
34,3,100,22,27,,
35,,,29,30,3,100
36,,,7,15,1,60
37,,,16,16,1,57
38,,,24,24,2,82
39,,,30,30,1,70
40,2,97,18,26,,
41,1,90,34,35,,
42,1,72,38,36,,
43,3,100,31,30,,
44,,,39,37,0,42
45,3,100,16,14,,
46,3,100,10,16,,
47,,,27,23,2,80
48,3,100,19,11,,
49,3,100,27,28,,
50,,,15,13,2,56
51,,,18,18,2,60
52,,,19,21,1,40
53,,,2,39,0,7
54,,,19,16,1,40
55,3,100,30,35,,
56,,,3,40,0,0
57,,,4,40,0,4
58,,,17,10,0,35
59,,,9,9,2,74
60,,,19,18,1,87
61,,,20,19,0,43
62,,,13,17,2,70
63,,,34,34,0,21
64,,,7,6,0,42
65,3,100,40,39,,
66,3,100,14,12,,
67,2,74,4,4,,
68,,,21,17,2,75
69,,,10,6,1,64
70,,,4,4,2,58
71,,,22,25,2,51
72,,,25,22,1,69
73,,,40,38,3,100
74,,,26,27,0,45
75,,,34,28,3,100
76,2,88,26,18,,
77,2,82,6,7,,
78,,,30,33,1,84
79,,,26,26,0,40
80,3,100,35,36,,
81,,,1,4,0,39
82,,,17,11,2,87
83,,,26,25,2,78
84,,,39,38,1,54
85,2,68,9,9,,
86,2,56,1,1,,
87,,,10,10,2,74
88,,,24,22,1,52
89,3,100,11,9,,
90,3,100,40,40,,
91,,,30,26,3,100
92,,,14,20,2,70
93,1,74,35,30,,
94,1,66,9,10,,
95,2,79,37,29,,
96,,,31,27,1,68
97,1,57,2,2,,
98,2,62,3,3,,
99,3,100,33,29,,
100,3,100,7,8,,
101,1,60,21,10,,
102,3,100,28,30,,
103,2,85,21,13,,
104,3,100,11,10,,
105,3,100,24,26,,
106,2,83,2,4,,
107,3,100,39,34,,
108,2,85,19,7,,
109,2,90,17,18,,
110,1,48,5,2,,
111,1,65,14,7,,
112,2,58,12,18,,
113,1,49,3,2,,
114,3,100,10,13,,
115,3,100,20,13,,
116,1,66,8,18,,
117,3,100,36,34,,
118,0,42,6,5,,
119,2,83,7,7,,
120,3,100,20,18,,
121,3,100,26,14,,
122,2,55,1,3,,
123,2,53,13,7,,
124,3,100,23,24,,
125,3,100,27,26,,
