version,1,reserved,reserved,reserved,reserved,reserved
Marnoland,9002Q82G,,JTJ,2R9RCV9V,,S1
40,,,,,,
2015/12/30,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,10,
3,The Reverend,10,9LGLGUVR,,10,
4,Diggs,10,L82YQVU,,10,
5,Space12345,10,8002Y989,,10,
6,Aaron,10,8L28V8UJ,,10,
7,Law,9,CVGQLQ98,1,9,
8,Eleazar,9,C8GRJVL0,1,9,
9,Cash,9,99PYRUGC,1,9,
10,Aboy,9,VQ9PUJV2,1,9,
11,Czech1Czech2,9,22CP2Y828,1,9,
12,Tyrion,9,99G8QGJV,1,9,
13,Eric,9,YYGOV9VC,1,9,
14,Beej,9,CR8JYPLG,1,9,
15,Nicholas,9,RC00PQCL,1,9,
16,Kighr,9,J0RJP9LG,,9,
17,RedACE,9,GRJLGCUQ,,9,
18,Mord,9,22JGQUCJQ,,9,
19,Anthony,9,YPPQ8G99,,9,
20,YYY,9,20YVJR2JG,,9,
21,Jippieh Yeah,9,YCYV88UV,,9,
22,Steve,9,QVRV9VGG,,9,
23,vtechno,9,RGRUPCV2,,9,
24,Brian,9,QJLVUGYJ,,9,
25,Simlin,9,2GO989G2U,,9,
26,Brodavidict,9,YYQQR2UY,,9,
27,Moose Knuckle,8,2PCQ29CR9,1,8,
28,Katie-cakes,8,G2QQ0GGG2,1,8,
29,MohamedMran,8,2GQ8VYRLV,1,8,
30,TyroneCoC,8,29G0GL8Y2,1,8,
31,duckman,8,2G2RY2R98,1,8,
32,darkhorse,8,22YJ2U8YU,1,8,
33,Ninja,8,YCR9JGR8,,8,
34,Dragon Slayer,8,CV9L1YVC,,8,
35,KrustyKiller,8,222RRp9V2,,8,
36,RobWinn,8,99QQC2C0,,8,
37,liam,8,28Q8YCPL0,,7,
38,rocksteady,8,2GCL2V2OU,,7,
39,Helix,8,80GPQ9008,,6,
40,lemur,7,2ULCJQU9C,,4,
1,2,78,7,16,,
2,3,100,19,21,,
3,,,27,26,3,100
4,3,100,27,33,,
5,,,31,30,3,100
6,0,25,32,30,,
7,,,16,15,2,77
8,1,73,14,7,,
9,2,75,4,5,,
10,3,100,39,37,,
11,2,59,5,3,,
12,,,26,25,2,65
13,2,77,13,19,,
14,,,9,8,2,64
15,,,37,37,2,76
16,,,17,16,2,56
17,1,80,31,28,,
18,,,3,2,0,40
19,,,15,14,0,47
20,,,24,23,2,78
21,3,100,34,31,,
22,,,14,13,2,63
23,,,28,29,2,87
24,,,35,34,3,100
25,,,32,31,3,100
26,,,2,1,2,50
27,3,100,36,35,,
28,,,37,36,2,99
29,2,84,30,29,,
30,3,100,39,39,,
31,3,100,3,4,,
32,,,33,32,2,71
33,3,100,28,28,,
34,,,21,20,2,69
35,,,6,5,1,52
36,2,60,17,15,,
37,,,34,33,3,100
38,3,100,11,11,,
39,3,100,27,30,,
40,3,100,37,32,,
41,3,100,21,14,,
42,,,36,35,2,84
43,,,20,19,2,61
44,2,77,36,34,,
45,,,30,27,2,79
46,3,100,23,22,,
47,2,97,13,20,,
48,2,87,34,29,,
49,3,100,28,29,,
50,3,100,7,19,,
51,1,52,12,17,,
52,2,99,24,24,,
53,3,100,40,38,,
54,1,69,18,18,,
55,3,100,29,27,,
56,2,60,6,6,,
57,2,60,22,10,,
58,2,94,14,9,,
59,3,100,11,12,,
60,,,22,21,2,53
61,2,84,10,15,,
62,3,100,24,18,,
63,1,87,25,25,,
64,1,78,23,23,,
65,2,96,19,24,,
66,1,56,22,13,,
67,3,100,9,7,,
68,2,71,35,36,,
69,3,100,32,34,,
70,3,100,31,36,,
71,3,100,25,23,,
72,1,55,12,16,,
73,3,100,9,10,,
74,1,49,17,8,,
75,2,75,33,29,,
76,3,100,20,13,,
77,1,67,18,17,,
78,3,100,33,30,,
79,3,100,20,25,,
80,,,13,12,2,57
81,,,36,29,3,100
82,,,37,34,2,84
83,,,25,24,2,82
84,,,29,28,3,100
85,2,97,15,9,,
86,,,5,4,0,40
87,,,23,22,3,100
88,,,37,33,3,100
89,,,3,1,1,53
90,,,38,36,3,100
91,0,2,38,1,,
92,0,0,38,2,,
93,,,12,11,1,47
94,1,63,2,2,,
95,,,33,27,3,100
96,1,64,5,5,,
97,,,10,9,2,90
98,,,5,5,2,54
99,,,12,6,1,69
100,3,100,10,8,,
101,,,28,26,3,100
102,2,67,3,2,,
103,,,24,14,0,23
104,,,30,23,3,100
105,,,40,30,3,100
106,,,8,7,2,73
107,,,39,31,3,100
108,3,100,8,15,,
109,,,25,25,2,69
110,0,46,1,1,,
111,,,4,3,0,37
112,3,100,15,16,,
113,3,100,26,26,,
114,,,7,4,2,93
115,3,100,40,40,,
116,,,25,21,2,81
117,3,100,29,28,,
118,,,24,16,3,100
119,,,18,8,2,90
120,,,19,17,2,64
121,,,25,19,2,74
122,0,47,4,6,,
123,,,26,20,2,54
124,,,15,18,2,90
125,,,11,10,2,69
126,,,26,28,1,43
127,2,98,16,17,,
128,,,26,37,0,44
129,,,20,11,2,62
130,,,22,17,0,48
131,,,4,2,0,40
132,3,100,26,24,,
133,2,58,2,1,,
134,,,10,7,2,50
135,1,67,6,5,,
136,,,12,9,2,54
137,,,4,6,1,46
138,3,100,30,27,,
139,,,26,24,2,62
140,1,75,8,9,,
141,,,25,15,2,82
142,1,57,16,9,,
143,,,15,3,2,95
144,2,63,1,2,,
145,1,70,21,17,,
146,,,26,18,2,70
147,,,18,12,0,39
148,3,100,35,35,,
149,,,17,13,2,66
150,,,26,22,1,45
151,,,17,10,2,61
