version,1,reserved,reserved,reserved,reserved,reserved
KerengkenG,9JPJCLJ2,,JTJ,2R9RCV9V,,S1
45,,,,,,
2016/01/01,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,The Reverend,10,9LGLGUVR,,11,
4,Diggs,10,L82YQVU,,11,
5,Aaron,10,8L28V8UJ,,11,
6,Atlas,10,RJ9PJ9CC,,11,
7,Law,9,CVGQLQ98,,10,
8,Eleazar,9,C8GRJVL0,1,9,
9,Aboy,9,VQ9PUJV2,1,9,
10,Czech1Czech2,9,22CP2Y828,1,9,
11,Tyrion,9,99G8QGJV,1,9,
12,Beej,9,CR8JYPLG,1,9,
13,Eric,9,YYGOV9VC,1,9,
14,Nicholas,9,RC00PQCL,1,9,
15,Whooboy,9,22UOVV2JJ,,9,
16,Kighr,9,J0RJP9LG,,9,
17,RedACE,9,GRJLGCUQ,,9,
18,Mord,9,22JGQUCJQ,,9,
19,Anthony,9,YPPQ8G99,,9,
20,YYY,9,20YVJR2JG,,9,
21,Jippieh Yeah,9,YCYV88UV,,9,
22,Jim,9,R2RRQJG,,9,
23,Steve,9,QVRV9VGG,1,8,
24,vtechno,9,RGRUPCV2,1,8,
25,Brian,9,QJLVUGYJ,1,8,
26,Brodavidict,9,YYQQR2UY,1,8,
27,Rokthar,9,LYOUL9GJ,1,8,
28,Simlin,9,2GO989G2U,1,8,
29,Mr Incrediboyle,9,JGRY0R0L,1,8,
30,Moose Knuckle,9,2PCQ29CR9,1,8,
31,MohamedMran,8,2GQ8VYRLV,,8,
32,Wilford Brimley,8,UGPJGJRU,,8,
33,TyroneCoC,8,29G0GL8Y2,,8,
34,duckman,8,2G2RY2R98,,8,
35,Tukutae,8,2GCPJY82Y,,8,
36,Ninja,8,YCR9JGR8,,8,
37,darkhorse,8,22YJ2U8YU,,8,
38,secretslayer297,8,P2UJ9YCU,,7,
39,Dragon Slayer,8,CV9L1YVC,,7,
40,KrustyKiller,8,222RRp9V2,,7,
41,RobWinn,8,99QQC2C0,,7,
42,liam,8,28Q8YCPL0,,7,
43,rocksteady,8,2GCL2V2OU,,7,
44,Helix,8,80GPQ9008,,7,
45,Lemur,7,2ULCJQU9C,,7,
1,3,100,9,11,,
2,3,100,32,24,,
3,2,85,30,27,,
4,0,36,23,14,,
5,2,87,12,8,,
6,3,100,40,38,,
7,3,100,34,29,,
8,2,99,27,19,,
9,3,100,21,13,,
10,1,81,28,21,,
11,3,100,42,28,,
12,3,100,19,22,,
13,2,72,13,16,,
14,3,100,15,12,,
15,3,100,8,9,,
16,3,100,41,35,,
17,3,100,33,25,,
18,1,69,32,27,,
19,3,100,38,36,,
20,1,75,30,31,,
21,0,49,5,6,,
22,3,100,35,26,,
23,2,70,24,18,,
24,3,100,37,30,,
25,3,100,25,21,,
26,3,100,41,34,,
27,3,100,11,17,,
28,3,100,38,40,,
29,0,35,3,5,,
30,2,78,10,10,,
31,1,75,31,23,,
32,3,100,43,39,,
33,,,30,25,3,100
34,,,33,33,2,87
35,3,100,45,45,,
36,1,96,37,23,,
37,2,66,5,7,,
38,1,93,35,27,,
39,3,100,19,16,,
40,2,73,28,18,,
41,,,40,40,1,66
42,,,44,38,3,100
43,,,43,34,3,100
44,,,42,29,3,100
45,3,100,22,8,,
46,,,40,27,3,100
47,1,54,31,32,,
48,,,1,1,0,39
49,,,29,21,2,53
50,,,28,17,2,69
51,2,95,17,14,,
52,3,100,44,41,,
53,,,24,10,1,59
54,,,32,24,2,84
55,,,31,25,3,100
56,1,72,20,19,,
57,,,45,45,0,39
58,,,6,6,2,71
59,,,35,28,2,84
60,,,22,14,3,100
61,,,21,13,2,64
62,3,100,45,44,,
63,3,100,26,20,,
64,,,20,12,2,57
65,2,73,18,15,,
66,,,39,39,1,51
67,3,100,11,15,,
68,,,11,11,1,41
69,,,27,19,3,100
70,,,4,4,2,53
71,,,3,2,2,50
72,3,100,42,27,,
73,,,34,30,1,67
74,3,100,39,23,,
75,,,20,18,1,44
76,1,87,15,14,,
77,1,75,17,10,,
78,,,32,23,1,57
79,3,100,22,10,,
80,3,100,36,33,,
81,1,56,27,14,,
82,,,45,38,3,100
83,,,39,33,2,71
84,3,100,26,19,,
85,,,37,35,1,66
86,,,26,20,2,53
87,,,25,16,3,100
88,,,38,34,1,50
89,,,41,29,3,100
90,,,37,27,3,100
91,3,100,12,14,,
92,3,100,36,31,,
93,,,42,42,2,62
94,,,39,36,3,100
95,,,38,32,3,100
96,,,5,5,1,50
97,,,36,26,3,100
98,,,2,2,1,52
99,,,35,30,1,63
100,,,24,18,2,70
101,,,12,8,1,76
102,,,13,9,1,61
103,,,20,15,0,2
104,,,7,35,1,8
105,,,5,3,2,75
106,,,8,5,3,100
107,,,23,13,3,100
108,,,34,32,2,85
109,,,16,14,2,95
110,,,35,36,2,87
111,,,15,12,2,66
112,,,32,41,1,43
113,3,100,14,18,,
114,,,17,19,2,53
115,,,34,26,3,100
116,,,35,24,2,87
117,,,12,7,2,84
118,,,9,3,3,100
119,2,73,29,18,,
120,,,7,1,3,100
121,0,48,20,7,,
122,,,19,17,0,43
123,,,19,16,2,61
124,3,100,44,42,,
125,,,32,10,2,79
126,3,100,40,37,,
127,3,100,34,32,,
128,,,11,7,2,99
129,1,48,2,3,,
130,,,14,8,1,45
131,0,42,7,4,,
132,2,94,1,1,,
133,,,32,22,3,100
134,1,52,21,6,,
135,,,33,9,3,100
136,0,44,14,6,,
137,1,60,9,7,,
138,2,78,6,7,,
139,1,53,7,5,,
140,3,100,43,43,,
141,,,35,21,1,66
142,1,56,1,2,,
143,0,27,4,4,,
144,3,100,13,9,,
145,0,44,10,6,,
146,1,40,6,5,,
147,1,61,16,8,,
148,0,33,4,3,,
149,2,59,3,6,,
150,,,18,11,0,35
151,1,58,29,19,,
152,1,67,33,24,,
153,0,38,18,5,,
154,,,7,41,1,10
155,2,68,2,4,,
156,2,73,23,8,,
157,,,7,20,1,4
158,,,1,4,0,43
159,3,100,39,24,,
160,1,70,8,8,,
161,,,7,40,1,20
162,3,100,25,17,,
163,3,100,24,16,,
164,2,70,16,7,,
